,time,price,change,volume,amount,type
0,15:00:00,25.25,--,0,0,卖盘
1,15:00:00,25.25,--,0,0,卖盘
2,15:00:00,25.25,-0.01,10,25250,卖盘
3,14:59:59,25.26,--,18,45468,买盘
4,14:59:57,25.26,--,103,260178,买盘
5,14:59:54,25.26,--,25,63150,买盘
6,14:59:51,25.26,0.01,75,189450,买盘
7,14:59:48,25.25,--,14,35350,卖盘
8,14:59:45,25.25,--,1,2525,卖盘
9,14:59:42,25.25,--,10,25250,卖盘
10,14:59:39,25.25,--,1,2525,卖盘
11,14:59:36,25.25,--,161,406525,买盘
12,14:59:33,25.25,--,92,232300,买盘
13,14:59:30,25.25,--,11,27775,买盘
14,14:59:27,25.25,--,42,106050,买盘
15,14:59:24,25.25,--,992,2504800,卖盘
16,14:59:21,25.25,-0.01,29,73225,卖盘
17,14:59:18,25.26,0.01,153,386478,买盘
18,14:59:15,25.25,--,12,30300,卖盘
19,14:59:12,25.25,--,48,121200,卖盘
20,14:59:09,25.25,--,435,1098375,卖盘
21,14:59:06,25.25,--,7,17675,卖盘
22,14:59:03,25.25,--,7,17675,买盘
23,14:59:00,25.25,--,16,40400,买盘
24,14:58:57,25.25,-0.01,65,164125,买盘
25,14:58:54,25.26,0.01,237,598662,买盘
26,14:58:51,25.25,-0.01,352,889633,卖盘
27,14:58:48,25.26,--,108,272808,买盘
28,14:58:45,25.26,--,50,126300,买盘
29,14:58:42,25.26,0.01,2,5052,买盘
30,14:58:39,25.25,-0.01,51,128775,卖盘
31,14:58:36,25.26,0.01,39,98514,买盘
32,14:58:33,25.25,--,153,386325,卖盘
33,14:58:30,25.25,--,24,60600,卖盘
34,14:58:27,25.25,--,39,98475,卖盘
35,14:58:24,25.25,-0.01,72,181800,卖盘
36,14:58:21,25.26,0.01,59,150726,买盘
37,14:58:18,25.25,--,296,747400,买盘
38,14:58:15,25.25,--,77,194425,买盘
39,14:58:12,25.25,--,75,189375,买盘
40,14:58:09,25.25,0.01,19,47975,买盘
41,14:58:06,25.24,-0.01,224,565376,卖盘
42,14:58:03,25.25,0.01,40,101000,买盘
43,14:58:00,25.24,--,10,25240,卖盘
44,14:57:57,25.24,--,15,37860,卖盘
45,14:57:54,25.24,--,35,88340,卖盘
46,14:57:50,25.24,-0.01,225,567900,卖盘
47,14:57:48,25.25,0.01,47,118675,买盘
48,14:57:45,25.24,-0.01,18,45432,卖盘
49,14:57:42,25.25,0.01,5,12625,买盘
50,14:57:36,25.24,--,14,35336,卖盘
51,14:57:33,25.24,-0.01,3,7571,卖盘
52,14:57:27,25.25,--,79,199475,买盘
