date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2014-12-31,10.93,11.26,11.12,10.93,37234.34,0.2,1.83,11.188,11.358,11.376,62539.43,81815.93,103786.45
2014-12-30,11.04,11.13,10.92,10.7,45749.46,-0.08,-0.73,11.182,11.589,11.391,65483.02,101473.63,107701.28
2014-12-29,11.48,11.58,11.0,10.96,85704.61,-0.48,-4.18,11.136,11.765,11.421,68206.41,114002.91,111573.27
2014-12-26,11.4,11.79,11.48,11.28,78171.76,0.06,0.53,11.128,11.904,11.449,71947.71,123388.12,113297.84
2014-12-25,11.13,11.64,11.42,10.97,65836.99,0.33,2.98,11.268,11.983,11.446,78210.99,161608.79,115806.85
2014-12-24,10.99,11.19,11.09,10.86,51952.29,0.4,3.74,11.528,12.0,11.448,101092.43,155182.6,119650.69
2014-12-23,10.8,11.4,10.69,10.66,59366.41,-0.27,-2.46,11.996,11.945,11.478,137464.25,150270.99,125292.22
2014-12-22,12.18,12.25,10.96,10.96,104411.12,-1.22,-10.02,12.394,11.834,11.55,159799.4,144393.09,131285.47
2014-12-19,12.59,12.72,12.18,12.02,109488.12,-0.54,-4.25,12.68,11.609,11.609,174828.52,133972.91,133972.91
2014-12-18,12.98,13.28,12.72,12.6,180244.2,-0.71,-5.29,12.698,11.546,11.546,245006.6,136693.44,136693.44
2014-12-17,12.64,13.6,13.43,12.32,233811.38,0.75,5.92,12.472,11.399,11.399,209272.78,131249.6,131249.6
2014-12-16,12.22,12.88,12.68,12.22,171042.19,0.29,2.34,11.894,11.109,11.109,163077.74,116597.91,116597.91
2014-12-15,12.61,12.9,12.39,12.13,179556.72,0.12,0.98,11.274,10.847,10.847,128986.78,107523.87,107523.87
2014-12-12,12.75,12.75,12.27,12.0,460378.5,0.68,5.87,10.538,10.538,10.538,93117.3,93117.3,93117.3
2014-12-11,11.59,11.59,11.59,11.59,1575.09,1.05,9.96,10.105,10.105,10.105,1302.0,1302.0,1302.0
2014-12-10,10.54,10.54,10.54,10.54,2836.21,0.96,10.02,9.61,9.61,9.61,1210.96,1210.96,1210.96
2014-12-09,9.58,9.58,9.58,9.58,587.37,0.87,9.99,9.145,9.145,9.145,398.34,398.34,398.34
2014-12-08,8.71,8.71,8.71,8.71,209.31,0.79,9.97,8.71,8.71,8.71,209.31,209.31,209.31
