,code,name,change,open,preclose,close,high,low,volume,amount
0,000001,上证指数,0.72,3054.1123,3061.5003,3083.5132,3090.4914,3051.8713,159684099,1751.0725
1,000002,Ａ股指数,0.72,3198.2217,3205.9783,3229.1315,3236.4278,3195.8582,159479972,1749.7269
2,000003,Ｂ股指数,-0.22,322.434,322.6209,321.9247,323.3171,321.3304,204127,1.3455
3,000008,综合指数,1.78,2709.1447,2713.8891,2762.1494,2763.2547,2706.7443,44294122,427.7152
4,000009,上证380,0.08,5200.7725,5211.361,5215.7686,5238.9991,5174.5059,42348668,404.8947
5,000010,上证180,1.01,7304.6171,7317.8483,7392.1033,7400.5252,7301.1831,54811602,569.2335
6,000011,基金指数,0.37,5734.2579,5735.442,5756.8808,5761.9799,5732.3563,17693057,306.4408
7,000012,国债指数,-0.05,160.4259,160.411,160.3279,160.4356,160.2973,216933,2.1587
8,000016,上证50,1.55,2336.6071,2339.2903,2375.4495,2375.6392,2335.3745,28906784,321.4534
9,000017,新综指,0.72,2578.7046,2584.9636,2603.6376,2609.5234,2576.7938,159447313,1748.7035
10,000300,沪深300,0.86,3350.9371,3356.6459,3385.3787,3387.2677,3349.1671,93386466,975.2212
11,000905,中证500,-0.15,5859.3374,5872.6391,5863.7832,5889.93,5820.2939,56685628,626.0681
12,399001,深证成指,0.12,9755.873,9776.45,9787.985999999999,9794.987,9703.1,14096277620,1985.1198
13,399002,深成指R,0.16,11548.32,11567.331,11586.333999999999,11594.621000000001,11485.851999999999,6399484533,794.721
14,399003,成份Ｂ指,1.32,5671.0380000000005,5660.7080000000005,5735.173000000001,5746.9169999999995,5658.791,10397087,0.8754
15,399004,深证100R,0.45,4493.376,4498.227,4518.588,4519.242,4475.954000000001,2398697487,318.3974
16,399005,中小板指,-0.06,6399.101,6407.04,6403.111,6413.960999999999,6364.344,1081636707,178.4479
17,399006,创业板指,0.12,1768.305,1772.4129999999998,1774.628,1774.899,1750.4029999999998,902554889,146.3324
18,399008,中小300,-0.21,1351.48,1353.733,1350.8570000000002,1354.26,1343.3129999999999,2402065506,344.4899
19,399100,新 指 数,0.02,7998.765,8014.633000000001,8016.251,8032.5,7949.116,13842482978,1966.0731
20,399101,中小板综,-0.23,10683.923,10705.948999999999,10681.203000000001,10713.282,10616.704,5273499253,792.3378
21,399106,深证综指,0.06,1815.326,1819.145,1820.1960000000001,1823.765,1805.3139999999999,14096277620,1985.1198
22,399107,深证Ａ指,0.06,1898.757,1902.7679999999998,1903.83,1907.57,1888.253,14075261757,1983.6991
23,399108,深证Ｂ指,0.58,1080.0910000000001,1079.829,1086.107,1087.6989999999998,1078.4660000000001,21015863,1.4207
24,399333,中小板R,-0.03,6997.173000000001,7003.589,7001.559,7013.423000000001,6959.168000000001,1081636707,178.4479
25,399606,创业板R,0.13,1831.3220000000001,1835.4460000000001,1837.87,1838.151,1812.7820000000002,902554889,146.3324
