,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,-0.259,23.08,23.06,23.24,22.74,23.14,2156900,1.8723100000000001,49619630,79.586,4.009,664704.0,265881.6
1,603998,方盛制药,-2.464,15.04,15.35,15.48,15.03,15.42,1267900,0.47103000000000006,19255173,94.0,6.882,651242.10688,404842.53888
2,603997,继峰股份,-0.155,25.78,25.86,25.97,25.6,25.82,5145369,4.51348,132246666,43.695,6.754,1082760.0,293892.0
3,603996,中新科技,-2.859,16.31,16.6,16.63,16.3,16.79,2156932,2.08853,35516591,41.821,3.503,489544.65,168441.525
4,603993,洛阳钼业,-2.064,4.27,4.3,4.3,4.13,4.36,69479848,0.53637,293769139,71.167,3.73,7210833.844473,5531243.008473
5,603991,至正股份,-0.939,42.22,42.4,43.37,42.03,42.62,1114700,5.96096,47406743,63.015,7.313,314686.761556,78951.4
6,603990,麦迪科技,-0.346,43.15,43.11,43.54,42.8,43.3,453184,2.26592,19523572,57.533,8.811,345200.0,86300.0
7,603989,艾华集团,0.941,38.61,38.21,38.79,37.7,38.25,2054624,2.43511,78827366,43.875,6.234,1158300.0,325771.875
8,603988,中电电机,-0.972,62.13,62.74,62.8,61.02,62.74,264450,1.18058,16489934,207.1,7.588,497040.0,139171.2
9,603987,康德莱,-2.463,26.14,26.81,26.97,26.08,26.8,1400011,2.66162,37107524,42.161,4.727,549698.06,137496.4
10,603986,兆易创新,0.322,189.99,189.48,192.5,186.9,189.38,797932,3.19173,151315428,89.741,14.116,1899900.0,474975.0
11,603985,N恒润,44.012,38.84,38.84,38.84,38.84,26.97,14100,0.07050000000000001,547644,24.604,5.077,310720.0,77680.0
12,603979,金诚信,-0.919,17.25,17.25,17.39,17.13,17.41,3855986,2.14311,66446384,41.071,2.081,776250.0,310370.28
13,603977,国泰集团,5.877,24.5,22.9,24.96,22.76,23.14,11655576,21.08462,279539748,41.525,5.435,541646.0,135436.0
14,603969,银龙股份,-5.969,23.63,24.5,25.58,23.51,25.13,44102463,28.89492,1077229777,65.639,5.814,945200.0,360665.8715
15,603968,醋化股份,-3.939,23.17,24.2,24.3,23.09,24.12,3724604,2.7266500000000002,88465764,32.181,3.609,473780.16,316502.2
16,603966,法兰泰克,-7.302,32.12,34.18,35.6,31.2,34.65,8957176,22.39294,304524664,68.34,6.6129999999999995,513920.0,128480.0
17,603960,克来机电,0.425,44.86,44.11,45.83,43.82,44.67,1662611,8.31306,74822249,74.767,8.7,358880.0,89720.0
18,603959,百利科技,-2.457,22.63,22.8,23.1,22.6,23.2,450700,0.8048200000000001,10315817,42.698,5.733,506912.0,126728.0
