,time,price,pchange,change,volume,amount,type
0,15:00:00,26.24,0.00,-0.01,0,0,卖盘
1,15:00:00,26.25,+0.04,0.0,12,31500,卖盘
2,14:59:59,26.25,+0.04,0.0,20,52500,卖盘
3,14:59:53,26.25,+0.04,0.0,68,178500,买盘
4,14:59:47,26.25,+0.04,0.01,7,18375,买盘
5,14:59:41,26.24,0.00,-0.01,14,36736,卖盘
6,14:59:38,26.25,+0.04,0.0,9,23625,买盘
7,14:59:35,26.25,+0.04,0.01,8,21000,买盘
8,14:59:32,26.24,0.00,0.01,2,5248,卖盘
9,14:59:29,26.23,-0.04,0.0,0,0,卖盘
10,14:59:26,26.23,-0.04,-0.02,8,20984,卖盘
11,14:59:23,26.25,+0.04,0.02,10,26250,买盘
12,14:59:17,26.23,-0.04,0.0,38,99674,卖盘
13,14:59:14,26.23,-0.04,-0.01,44,115412,卖盘
14,14:59:11,26.24,0.00,0.0,9,23616,卖盘
15,14:59:08,26.24,0.00,0.01,187,490688,买盘
16,14:59:05,26.23,-0.04,0.0,30,78690,卖盘
17,14:59:02,26.23,-0.04,0.0,12,31476,卖盘
18,14:58:59,26.23,-0.04,0.0,5,13115,卖盘
19,14:58:53,26.23,-0.04,0.0,9,23607,买盘
20,14:58:50,26.23,-0.04,0.0,9,23607,买盘
21,14:58:44,26.23,-0.04,-0.01,6,15738,卖盘
22,14:58:41,26.24,0.00,0.01,35,91840,买盘
23,14:58:38,26.23,-0.04,-0.01,1,2623,卖盘
24,14:58:35,26.24,0.00,0.01,2,5248,买盘
25,14:58:29,26.23,-0.04,0.0,10,26230,卖盘
26,14:58:20,26.23,-0.04,0.0,39,102297,卖盘
27,14:58:17,26.23,-0.04,-0.01,9,23607,卖盘
28,14:58:14,26.24,0.00,0.01,13,34112,买盘
29,14:58:11,26.23,-0.04,0.0,1,2623,卖盘
30,14:58:08,26.23,-0.04,-0.01,5,13115,卖盘
31,14:58:05,26.24,0.00,0.01,10,26240,买盘
32,14:57:59,26.23,-0.04,0.0,20,52460,卖盘
33,14:57:53,26.23,-0.04,-0.01,1,2623,卖盘
34,14:57:50,26.24,0.00,0.01,21,55104,买盘
35,14:57:46,26.23,-0.04,0.0,1,2623,卖盘
36,14:57:44,26.23,-0.04,0.0,9,23607,卖盘
37,14:57:34,26.23,-0.04,-0.01,40,104920,卖盘
38,14:57:31,26.24,0.00,0.01,5,13120,买盘
39,14:57:28,26.23,-0.04,-0.01,20,52460,卖盘
40,14:57:16,26.24,0.00,0.0,12,31488,买盘
41,14:57:10,26.24,0.00,0.01,20,52480,买盘
42,14:57:07,26.23,-0.04,-0.01,20,52460,卖盘
43,14:57:04,26.24,0.00,0.0,1,2624,买盘
44,14:57:01,26.24,0.00,0.01,13,34112,买盘
45,14:56:58,26.23,-0.04,-0.01,2,5246,卖盘
46,14:56:52,26.24,0.00,0.01,9,23616,买盘
47,14:56:49,26.23,-0.04,0.0,1,2623,卖盘
48,14:56:46,26.23,-0.04,-0.01,4,10492,卖盘
49,14:56:43,26.24,0.00,0.01,2,5248,买盘
50,14:56:40,26.23,-0.04,-0.01,10,26230,卖盘
51,14:56:31,26.24,0.00,0.01,1,2624,买盘
52,14:56:28,26.23,-0.04,0.0,27,70821,卖盘
53,14:56:25,26.23,-0.04,-0.01,17,44591,卖盘
54,14:56:22,26.24,0.00,0.01,26,68224,买盘
55,14:56:19,26.23,-0.04,0.0,14,36722,卖盘
56,14:56:16,26.23,-0.04,0.0,15,39345,卖盘
57,14:56:13,26.23,-0.04,0.01,43,112789,买盘
58,14:56:10,26.22,-0.08,0.0,2,5244,卖盘
59,14:56:07,26.22,-0.08,0.0,13,34086,卖盘
60,14:56:04,26.22,-0.08,-0.01,39,102258,卖盘
61,14:56:01,26.23,-0.04,0.0,1,2623,买盘
62,14:55:58,26.23,-0.04,-0.01,3,7869,中性盘
63,14:55:55,26.24,0.00,0.02,5,13120,买盘
64,14:55:52,26.22,-0.08,0.0,36,94392,卖盘
65,14:55:49,26.22,-0.08,0.0,6,15732,卖盘
66,14:55:46,26.22,-0.08,-0.01,88,230736,卖盘
67,14:55:40,26.23,-0.04,0.0,13,34099,卖盘
68,14:55:37,26.23,-0.04,0.0,24,62952,卖盘
69,14:55:34,26.23,-0.04,0.01,8,20984,买盘
70,14:55:31,26.22,-0.08,-0.02,15,39330,卖盘
71,14:55:28,26.24,0.00,0.0,0,0,买盘
72,14:55:22,26.24,0.00,0.01,16,41984,买盘
73,14:55:19,26.23,-0.04,0.01,9,23607,卖盘
74,14:55:16,26.22,-0.08,0.0,15,39330,卖盘
75,14:55:13,26.22,-0.08,0.0,0,0,卖盘
76,14:55:10,26.22,-0.08,-0.03,12,31464,卖盘
77,14:55:01,26.25,+0.04,0.0,26,68250,买盘
78,14:54:52,26.25,+0.04,0.0,0,0,中性盘
79,14:54:49,26.25,+0.04,0.0,809,2123861,买盘
80,14:54:46,26.25,+0.04,0.01,1,2625,买盘
81,14:54:43,26.24,0.00,-0.01,1,2624,卖盘
82,14:54:40,26.25,+0.04,-0.02,1,2625,卖盘
83,14:54:37,26.27,+0.11,0.02,2,5254,买盘
84,14:54:34,26.25,+0.04,0.0,4,10500,卖盘
85,14:54:31,26.25,+0.04,0.0,6,15750,中性盘
86,14:54:31,26.25,+0.04,-0.02,6,15750,卖盘
87,14:54:22,26.27,+0.11,0.01,6,15762,买盘
88,14:54:19,26.26,+0.08,-0.01,16,42016,卖盘
89,14:54:13,26.27,+0.11,0.01,2,5254,买盘
90,14:54:07,26.26,+0.08,-0.01,14,36764,卖盘
91,14:54:04,26.27,+0.11,0.0,0,0,买盘
92,14:54:01,26.27,+0.11,0.02,6,15762,买盘
93,14:53:58,26.25,+0.04,-0.02,55,144375,卖盘
94,14:53:55,26.27,+0.11,0.0,13,34151,买盘
95,14:53:49,26.27,+0.11,0.01,3,7881,买盘
96,14:53:46,26.26,+0.08,-0.01,17,44642,卖盘
97,14:53:43,26.27,+0.11,0.01,2,5254,买盘
98,14:53:34,26.26,+0.08,0.0,10,26260,卖盘
99,14:53:25,26.26,+0.08,0.0,38,99788,买盘
100,14:53:22,26.26,+0.08,0.01,4,10504,买盘
101,14:53:19,26.25,+0.04,-0.01,1,2625,卖盘
102,14:53:16,26.26,+0.08,0.01,3,7878,买盘
103,14:53:13,26.25,+0.04,-0.01,10,26250,卖盘
104,14:53:07,26.26,+0.08,0.01,6,15756,买盘
105,14:53:04,26.25,+0.04,0.0,11,28875,卖盘
106,14:53:01,26.25,+0.04,0.01,20,52500,卖盘
107,14:52:58,26.24,0.00,0.0,0,0,卖盘
108,14:52:55,26.24,0.00,0.0,50,131200,卖盘
109,14:52:52,26.24,0.00,0.0,5,13120,卖盘
110,14:52:49,26.24,0.00,-0.02,9,23616,卖盘
111,14:52:46,26.26,+0.08,0.0,7,18382,买盘
112,14:52:43,26.26,+0.08,0.01,12,31512,买盘
113,14:52:40,26.25,+0.04,0.01,3,7875,卖盘
114,14:52:37,26.24,0.00,0.0,0,0,卖盘
115,14:52:34,26.24,0.00,0.0,9,23616,卖盘
116,14:52:25,26.24,0.00,0.0,0,0,卖盘
117,14:52:22,26.24,0.00,0.0,11,28864,卖盘
118,14:52:16,26.24,0.00,-0.01,10,26240,卖盘
119,14:52:13,26.25,+0.04,-0.01,14,36750,中性盘
120,14:52:10,26.26,+0.08,0.0,2,5252,买盘
121,14:52:07,26.26,+0.08,0.02,1,2626,买盘
122,14:52:01,26.24,0.00,0.0,21,55104,卖盘
123,14:51:55,26.24,0.00,0.0,10,26240,卖盘
124,14:51:49,26.24,0.00,0.0,2,5248,卖盘
125,14:51:46,26.24,0.00,0.0,0,0,卖盘
126,14:51:43,26.24,0.00,-0.02,14,36736,卖盘
127,14:51:40,26.26,+0.08,0.02,1,2626,买盘
128,14:51:37,26.24,0.00,0.0,10,26240,卖盘
129,14:51:31,26.24,0.00,0.0,11,28864,卖盘
130,14:51:19,26.24,0.00,0.0,20,52480,买盘
131,14:51:16,26.24,0.00,0.0,10,26240,买盘
132,14:51:10,26.24,0.00,0.0,44,115456,卖盘
133,14:51:07,26.24,0.00,0.0,12,31488,卖盘
134,14:51:01,26.24,0.00,0.0,16,41984,卖盘
135,14:50:58,26.24,0.00,-0.02,11,28864,卖盘
136,14:50:55,26.26,+0.08,0.01,51,133926,买盘
137,14:50:52,26.25,+0.04,0.01,10,26250,买盘
138,14:50:49,26.24,0.00,0.01,18,47232,卖盘
139,14:50:43,26.23,-0.04,0.0,6,15738,卖盘
140,14:50:40,26.23,-0.04,-0.01,21,55083,卖盘
141,14:50:28,26.24,0.00,0.0,28,73472,卖盘
142,14:50:25,26.24,0.00,0.0,11,28864,卖盘
143,14:50:19,26.24,0.00,0.0,10,26240,卖盘
144,14:50:16,26.24,0.00,-0.02,2,5248,卖盘
145,14:50:10,26.26,+0.08,0.02,10,26260,买盘
146,14:50:06,26.24,0.00,-0.02,17,44608,卖盘
147,14:50:04,26.26,+0.08,0.03,11,28886,买盘
148,14:50:01,26.23,-0.04,0.0,0,0,卖盘
149,14:49:58,26.23,-0.04,0.0,1,2623,卖盘
150,14:49:55,26.23,-0.04,0.0,10,26230,卖盘
151,14:49:49,26.23,-0.04,0.0,3,8840,卖盘
152,14:49:46,26.23,-0.04,0.0,3,7974,卖盘
153,14:49:42,26.23,-0.04,-0.01,11,28853,卖盘
154,14:49:39,26.24,0.00,-0.02,3,7872,中性盘
155,14:49:33,26.26,+0.08,0.03,10,26260,买盘
156,14:49:30,26.23,-0.04,-0.01,11,28853,卖盘
157,14:49:28,26.24,0.00,0.0,9,23616,卖盘
158,14:49:22,26.24,0.00,0.01,11,28864,卖盘
159,14:49:19,26.23,-0.04,0.0,0,0,卖盘
160,14:49:15,26.23,-0.04,0.0,14,36722,卖盘
161,14:49:12,26.23,-0.04,-0.03,13,36092,卖盘
162,14:49:09,26.26,+0.08,0.03,1,2626,买盘
163,14:49:03,26.23,-0.04,0.0,0,0,中性盘
164,14:49:03,26.23,-0.04,0.0,0,0,卖盘
165,14:49:00,26.23,-0.04,-0.03,11,28853,卖盘
166,14:48:51,26.26,+0.08,0.03,2,5252,买盘
167,14:48:48,26.23,-0.04,-0.03,11,28853,卖盘
168,14:48:45,26.26,+0.08,0.0,5,13130,买盘
169,14:48:42,26.26,+0.08,0.03,10,26260,买盘
170,14:48:36,26.23,-0.04,-0.03,10,26230,卖盘
171,14:48:33,26.26,+0.08,-0.01,26,68276,买盘
172,14:48:30,26.27,+0.11,0.0,0,0,买盘
173,14:48:27,26.27,+0.11,0.04,2,5254,买盘
174,14:48:21,26.23,-0.04,-0.03,20,52460,卖盘
175,14:48:15,26.26,+0.08,0.03,5,13130,卖盘
176,14:48:12,26.23,-0.04,-0.04,16,41968,卖盘
177,14:48:09,26.27,+0.11,0.03,59,154993,买盘
178,14:48:06,26.24,0.00,0.0,20,52480,买盘
179,14:48:03,26.24,0.00,0.01,2,5248,卖盘
180,14:48:00,26.23,-0.04,0.0,23,60329,卖盘
181,14:47:57,26.23,-0.04,-0.01,93,243939,卖盘
182,14:47:48,26.24,0.00,0.0,2,5248,买盘
183,14:47:45,26.24,0.00,-0.02,255,669120,卖盘
184,14:47:36,26.26,+0.08,0.0,7,18382,卖盘
185,14:47:33,26.26,+0.08,0.0,67,175942,卖盘
186,14:47:21,26.26,+0.08,-0.01,10,26260,卖盘
187,14:47:15,26.27,+0.11,0.01,6,15762,买盘
188,14:47:12,26.26,+0.08,-0.01,11,28886,卖盘
189,14:47:09,26.27,+0.11,0.0,1,2627,买盘
190,14:47:03,26.27,+0.11,0.01,30,78810,买盘
191,14:47:00,26.26,+0.08,-0.01,11,28886,卖盘
192,14:46:54,26.27,+0.11,0.01,1,2627,买盘
193,14:46:48,26.26,+0.08,-0.01,11,28886,卖盘
194,14:46:45,26.27,+0.11,0.01,1,2627,买盘
195,14:46:39,26.26,+0.08,0.0,20,52520,卖盘
196,14:46:36,26.26,+0.08,0.0,11,28886,卖盘
197,14:46:33,26.26,+0.08,0.0,3,7878,卖盘
198,14:46:30,26.26,+0.08,-0.01,16,42016,卖盘
199,14:46:21,26.27,+0.11,0.01,2,5254,买盘
200,14:46:18,26.26,+0.08,-0.01,20,52520,卖盘
201,14:46:12,26.27,+0.11,0.0,1,2627,买盘
202,14:46:09,26.27,+0.11,0.01,14,36778,买盘
203,14:46:06,26.26,+0.08,0.0,10,26260,卖盘
204,14:45:57,26.26,+0.08,-0.01,12,31512,卖盘
205,14:45:54,26.27,+0.11,0.01,3,7881,买盘
206,14:45:45,26.26,+0.08,0.0,11,28886,卖盘
207,14:45:42,26.26,+0.08,0.0,13,34138,卖盘
208,14:45:39,26.26,+0.08,0.02,22,57772,买盘
209,14:45:36,26.24,0.00,-0.01,15,39360,卖盘
210,14:45:33,26.25,+0.04,-0.01,11,28875,卖盘
211,14:45:30,26.26,+0.08,0.01,3,7878,买盘
212,14:45:24,26.25,+0.04,-0.01,12,31500,卖盘
213,14:45:21,26.26,+0.08,0.01,1,2626,买盘
214,14:45:12,26.25,+0.04,-0.01,11,28875,卖盘
215,14:45:09,26.26,+0.08,0.01,3,7878,买盘
216,14:45:06,26.25,+0.04,0.0,2,5250,卖盘
217,14:45:03,26.25,+0.04,0.0,23,60375,卖盘
218,14:45:00,26.25,+0.04,-0.01,10,26250,卖盘
219,14:44:51,26.26,+0.08,-0.01,2,5252,卖盘
220,14:44:48,26.27,+0.11,0.0,19,49913,卖盘
221,14:44:45,26.27,+0.11,0.0,16,42032,买盘
222,14:44:42,26.27,+0.11,0.02,1,2627,买盘
223,14:44:36,26.25,+0.04,0.0,0,0,卖盘
224,14:44:30,26.25,+0.04,-0.03,102,267750,卖盘
225,14:44:27,26.28,+0.15,0.0,16,42048,卖盘
226,14:44:21,26.28,+0.15,0.02,12,31536,买盘
227,14:44:14,26.26,+0.08,-0.02,18,47268,卖盘
228,14:44:08,26.28,+0.15,0.02,1,2628,买盘
229,14:44:05,26.26,+0.08,-0.02,4,10504,卖盘
230,14:43:59,26.28,+0.15,0.0,2,5256,买盘
231,14:43:56,26.28,+0.15,0.0,0,0,中性盘
232,14:43:53,26.28,+0.15,-0.01,1,2628,卖盘
233,14:43:50,26.29,+0.19,0.0,24,63096,买盘
234,14:43:47,26.29,+0.19,0.01,1,2629,买盘
235,14:43:38,26.28,+0.15,0.0,1,2628,中性盘
236,14:43:38,26.28,+0.15,-0.01,1,2628,卖盘
237,14:43:26,26.29,+0.19,0.0,1,2629,买盘
238,14:43:11,26.29,+0.19,0.0,33,86757,卖盘
239,14:42:59,26.29,+0.19,0.01,39,102531,买盘
240,14:42:50,26.28,+0.15,-0.01,102,268056,卖盘
241,14:42:44,26.29,+0.19,-0.01,68,178772,卖盘
242,14:42:41,26.3,+0.23,0.01,3,7890,买盘
243,14:42:38,26.29,+0.19,-0.01,4,10516,卖盘
244,14:42:35,26.3,+0.23,0.01,2,5260,买盘
245,14:42:32,26.29,+0.19,0.0,1,2629,卖盘
246,14:42:29,26.29,+0.19,0.0,2,5258,卖盘
247,14:42:26,26.29,+0.19,0.0,24,63096,买盘
248,14:42:23,26.29,+0.19,0.0,6,15774,买盘
249,14:42:20,26.29,+0.19,0.01,1,2629,买盘
250,14:42:14,26.28,+0.15,0.0,2,5256,卖盘
251,14:42:11,26.28,+0.15,0.0,51,134028,卖盘
252,14:42:08,26.28,+0.15,0.0,2,5256,卖盘
253,14:42:05,26.28,+0.15,0.02,131,344268,买盘
254,14:41:59,26.26,+0.08,0.0,28,73528,卖盘
255,14:41:53,26.26,+0.08,-0.02,13,34138,卖盘
256,14:41:50,26.28,+0.15,0.02,24,63072,买盘
257,14:41:47,26.26,+0.08,-0.02,10,26260,卖盘
258,14:41:44,26.28,+0.15,0.0,11,28908,买盘
259,14:41:29,26.28,+0.15,0.02,1,2628,买盘
260,14:41:23,26.26,+0.08,0.0,10,26260,卖盘
261,14:41:17,26.26,+0.08,0.0,1,2626,卖盘
262,14:41:14,26.26,+0.08,0.0,8,21008,买盘
263,14:41:08,26.26,+0.08,0.01,6,15756,买盘
264,14:41:05,26.25,+0.04,-0.01,22,57750,卖盘
265,14:40:59,26.26,+0.08,-0.02,6,15756,卖盘
266,14:40:56,26.28,+0.15,-0.01,4,10512,买盘
267,14:40:47,26.29,+0.19,0.0,0,0,买盘
268,14:40:41,26.29,+0.19,0.03,2,5258,买盘
269,14:40:38,26.26,+0.08,-0.03,110,288860,卖盘
270,14:40:35,26.29,+0.19,0.0,1,2629,买盘
271,14:40:32,26.29,+0.19,-0.01,1,2629,卖盘
272,14:40:29,26.3,+0.23,0.0,15,39450,买盘
273,14:40:26,26.3,+0.23,0.0,4,10520,买盘
274,14:40:23,26.3,+0.23,0.0,0,0,买盘
275,14:40:08,26.3,+0.23,0.01,30,78900,买盘
276,14:40:05,26.29,+0.19,0.01,2,5258,买盘
277,14:40:02,26.28,+0.15,-0.02,20,52560,卖盘
278,14:39:56,26.3,+0.23,0.0,3,7890,买盘
279,14:39:53,26.3,+0.23,-0.02,52,136760,卖盘
280,14:39:47,26.32,+0.30,0.01,1,2632,买盘
281,14:39:41,26.31,+0.27,0.0,8,21048,卖盘
282,14:39:38,26.31,+0.27,0.0,2,5262,卖盘
