,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603113,金能科技,0.35,-1266.67,4.02,9.14,0.4,21039.87,-10826.45,,05-10
1,603086,先达股份,0.41,17.14,12.12,3.46,-1.02,2468.77,18.31,,05-10
2,002871,伟隆股份,0.21,23.53,5.49,3.55,,1096.0,24.85,,05-10
3,603926,铁流股份,0.3,15.38,5.85,5.35,-0.12,2742.48,18.67,,05-09
4,603728,鸣志电器,0.1,31.28,3.14,3.04,-0.02,2347.9,31.31,,05-08
5,300651,金陵体育,0.03,6.13,6.13,0.57,-0.48,196.64,6.08,,05-08
6,603229,奥翔药业,0.1,0.0,,4.83,,1203.36,5.11,,05-08
7,300643,万通智控,0.06,50.0,1.39,3.84,0.07,850.3,57.11,,05-04
8,300649,杭州园林,0.11,22.22,3.81,3.04,-0.46,547.53,21.42,,05-04
9,603985,恒润股份,0.51,25.59,7.65,6.68,0.81,3042.07,25.59,,05-04
10,603501,韦尔股份,0.1,25.0,2.22,4.32,0.19,3596.67,26.78,,05-03
11,300647,超频三,0.09,0.0,3.08,3.09,-0.14,841.71,9.3,,05-02
12,603505,金石资源,0.04,33.33,2.64,1.41,0.08,663.71,28.24,,05-02
13,300650,太龙照明,0.08,100.0,4.84,1.74,0.17,394.65,85.25,,05-02
14,002868,绿康生化,0.29,-14.71,3.31,9.32,0.25,2651.62,-14.17,,05-02
15,000792,盐湖股份,-0.15,-287.47,,-1.1,,-26465.01,-284.2,,04-29
16,600757,长江传媒,0.12,9.09,,2.49,,13967.87,0.63,,04-29
17,000011,深物业A,0.51,50510.0,,11.77,,30159.78,52167.63,,04-29
18,600775,南京熊猫,0.01,-71.81,,0.32,,1073.36,-71.69,,04-29
19,600037,歌华有线,0.13,-3.85,,1.39,,17739.05,-3.9,,04-29
20,600416,湘电股份,-0.04,-500.0,,-0.58,,-3701.72,-812.34,,04-29
21,603020,爱普股份,0.11,-69.42,,1.97,,3639.25,-38.83,,04-29
22,000333,美的集团,0.67,-27.17,,6.87,,435258.7,11.4,,04-29
23,600846,同济科技,0.05,25.0,,1.58,,3040.77,16.64,,04-29
24,002571,*ST德力,-0.05,13.89,,-1.21,,-1768.12,13.81,,04-29
25,000504,*ST生物,-0.02,4.67,,-173.42,,-489.72,5.11,,04-29
26,600881,亚泰集团,-0.08,33.33,,-1.74,,-19789.16,23.58,,04-29
27,000525,红太阳,0.27,466.88,,3.26,,15802.13,465.28,,04-29
28,600170,上海建工,0.07,-12.5,,2.21,,49998.58,0.63,,04-29
29,000995,*ST皇台,-0.08,300.0,,-35.04,,-1339.87,257.11,,04-29
30,600965,福成股份,0.03,-40.0,,1.4,,2477.04,-39.24,,04-29
31,002314,南山控股,-0.04,-123.53,,-1.25,,-7483.62,-125.81,,04-29
32,600188,兖州煤业,0.36,607.75,,3.99,,174856.7,606.49,,04-29
33,000563,陕国投A,0.04,-18.38,,1.52,,11816.56,-18.37,,04-29
34,600582,天地科技,0.0,-40.0,,0.08,,1155.51,-46.06,,04-29
35,600984,建设机械,-0.02,-54.55,,-0.32,,-1017.45,-54.6,,04-29
36,600207,安彩高科,-0.02,,,-0.95,,-1786.19,-2544.02,,04-29
37,002651,利君股份,0.03,50.0,,1.8,,3451.09,38.7,,04-29
38,000587,金洲慈航,0.1,-28.57,,1.16,,10840.43,-29.14,,04-29
39,000607,华媒控股,-0.02,12.93,,-0.96,,-1689.7,13.24,,04-29
40,600241,时代万恒,-0.04,-33.33,,-1.36,,-847.32,-36.09,,04-29
41,603668,天马科技,0.06,0.0,,1.81,,1186.21,26.25,,04-29
42,600261,阳光照明,0.08,14.29,,3.62,,11638.21,15.68,,04-29
43,600653,申华控股,-0.04,-12.22,,-3.52,,-8245.72,-5.81,,04-29
44,603718,海利生物,0.04,-60.0,,2.51,,2493.99,-11.52,,04-29
45,600299,安迪苏,0.12,-42.86,,2.58,,31655.28,-43.54,,04-29
46,000697,炼石有色,-0.03,190.27,,-1.3,,-1833.12,189.68,,04-29
47,600690,青岛海尔,0.29,8.78,,6.38,,173876.36,8.89,,04-29
48,601618,中国中冶,0.07,0.0,,2.35,,144173.8,5.61,,04-29
49,002769,普路通,0.11,-73.17,,3.34,,4035.47,-33.87,,04-29
50,000736,中房地产,-0.08,331.58,,-1.69,,-2450.01,337.29,,04-29
51,601880,大连港,0.01,-53.09,,0.88,,15625.94,26.75,,04-29
52,000018,神州长城,0.06,-65.99,,5.44,,9902.96,29.3,,04-29
53,600051,宁波联合,0.03,105.84,,0.44,,863.12,106.08,,04-29
54,600798,宁波海运,0.02,1791.67,,0.86,,2338.18,1755.2,,04-29
55,600068,葛洲坝,0.13,-6.43,,2.64,,74641.36,15.59,,04-29
56,000059,华锦股份,0.28,-2.61,,4.12,,44846.38,-2.62,,04-29
57,603058,永吉股份,0.06,0.0,,3.13,,2474.95,17.57,,04-29
58,600477,杭萧钢构,0.11,151.11,,5.43,,12054.78,229.36,,04-29
59,000898,鞍钢股份,0.15,-274.12,,2.35,,106900.0,-273.82,,04-29
60,600833,第一医药,0.06,6.07,,1.87,,1402.69,6.0,,04-29
61,603100,川仪股份,0.06,0.0,,1.25,,2368.87,-1.54,,04-29
62,000403,ST生化,0.07,16.67,,3.5,,1951.09,10.4,,04-29
63,600496,精工钢构,0.01,-35.43,,0.57,,2168.53,-35.53,,04-29
64,000917,电广传媒,0.07,-22.22,,0.92,,10109.34,-20.99,,04-29
65,600853,龙建股份,-0.01,-27.67,,-0.8,,-617.78,-27.55,,04-29
66,000423,东阿阿胶,0.92,11.05,,6.98,,60456.62,11.05,,04-29
67,600137,浪莎股份,0.04,-2.7,,0.76,,345.94,-2.8,,04-29
68,000961,中南建设,0.04,-68.03,,1.1,,15078.74,1.31,,04-29
69,600886,国投电力,0.14,-25.1,,3.17,,93000.71,-25.07,,04-29
70,600158,中体产业,-0.02,11.11,,-0.8,,-1264.4,11.38,,04-29
71,600551,时代出版,0.23,2.78,,2.27,,11597.1,2.74,,04-29
72,600176,中国巨石,0.19,-40.55,,4.2,,47031.58,30.77,,04-29
73,600193,创兴资源,0.01,350.0,,1.54,,402.46,280.03,,04-29
74,000568,泸州老窖,0.57,34.26,,6.99,,79746.8,34.19,,04-29
75,600587,新华医疗,0.11,0.0,,1.35,,4407.97,2.8,,04-29
76,000593,大通燃气,0.01,-14.29,,0.19,,208.24,2.47,,04-29
77,002030,达安基因,,,,1.67,,2698.18,0.85,,04-29
78,603633,徕木股份,0.07,0.0,,1.3,,874.03,39.21,,04-29
79,000632,三木集团,0.01,38.3,,0.24,,301.13,38.58,,04-29
80,600641,万业企业,0.15,72.1,,2.65,,11735.52,72.13,,04-29
81,603688,石英股份,0.07,15.71,,1.24,,1491.66,16.42,,04-29
82,002399,海普瑞,-0.01,-103.88,,-0.15,,-1208.13,-106.17,,04-29
83,000682,东方电子,0.01,44.07,,0.53,,835.56,45.68,,04-29
84,603808,歌力思,0.24,71.43,,3.41,,6031.19,153.15,,04-29
