,code,name,mbrg,nprg,nav,targ,epsg,seg
0,000011,深物业A,429.7262,52167.629,29.1054,18.8559,50510.0,29.1174
1,002352,顺丰控股,10983.4398,22009.0595,2905.1161,5119.4014,500.0,2899.2541
2,000822,山东海化,83.5382,15426.0937,6.6646,11.9622,13990.9091,6.6647
3,000023,深天地A,28.6215,14473.3382,4.0285,2.363,-2630.0,3.6926
4,000517,荣安地产,1139.7346,13199.2432,11.0213,12.7704,13600.0,11.0213
5,600291,西水股份,12965.0179,12999.2367,40.6345,-4.4593,3246.4594,8.379
6,002648,卫星石化,82.2763,11417.115,17.3469,14.6137,9710.8108,17.1569
7,000408,*ST金源,,10539.82,7685.5343,1371.1915,1066.6667,7736.0453
8,600217,中再资环,43.9937,9374.3202,14.5941,35.2762,13900.0,21.2925
9,000420,吉林化纤,71.2971,8473.1326,180.0277,67.4397,377.7778,180.61900000000003
10,300102,乾照光电,36.3172,7598.8982,3.6459,0.3474,7275.0,3.6459
11,600133,东湖高新,17.4141,7238.196999999999,50.027,10.9253,5599.4737,49.3512
12,002034,美欣达,-4.4275,6940.0463,72.2075,41.8553,-3100.0,75.5855
13,600293,三峡新材,1112.4669,6291.2344,408.1429,160.0154,2720.0,411.1812
14,600282,南钢股份,77.1744,4997.9314,75.5503,8.5054,4846.4286,12.6861
15,600759,洲际油气,203.2119,4787.5242,13.5126,24.5351,1020.0,6.7888
16,600634,富控互动,-22.0346,4693.9665,56.415,6.2078,4900.0,16.9263
17,600819,耀皮玻璃,3.4257,4511.6857,5.6091,-15.9736,40.0,7.0117
18,600508,上海能源,24.7813,3877.7324,8.0927,0.1453,2200.0,9.1463
19,002075,沙钢股份,103.5846,3806.4952,24.3082,23.965,2566.6667,23.4829
20,601225,陕西煤业,110.22399999999999,3805.2698,24.1649,11.0695,-7023.0769,19.7893
21,601015,陕西黑猫,98.3816,3798.6393,5.7341,3.054,50.0,10.7696
22,600512,腾达建设,-3.4634,3691.5583,132.1094,25.1095,1900.0,131.387
23,600746,江苏索普,50.648,3669.647,16.0308,36.3143,3639.0244,16.0308
24,601666,平煤股份,102.9566,3604.6211,20.1381,6.7466,7800.0,18.7098
25,000422,湖北宜化,-24.4637,3512.1094,-19.2031,-3.3043,180.0,-17.7029
26,600971,恒源煤电,63.1563,3174.2008,4.729,8.5403,5891.6667,7.5246
27,000510,金路集团,27.1686,3027.6101,9.4527,-7.779,1765.2174,11.0328
28,002601,龙蟒佰利,273.8921,3002.9102,445.2777,213.4115,222.2222,441.7908
29,600325,华发股份,326.4152,2833.2487,20.6355,19.026,1700.0,11.8895
30,300451,创业软件,190.8531,2812.1226,229.753,188.0341,800.0,225.502
31,000759,中百集团,-6.0873,2784.6911,6.7084,-6.5284,2707.0175,3.7013
32,600647,同达创业,-15.478,2632.4547,33.2565,13.8908,2023.8095,39.5305
33,000725,京东方A,77.7154,2443.3145,18.5355,31.2864,2200.0,4.4122
34,600067,冠城大通,105.5658,2414.7951,-7.7166,-2.7879,,0.5649
35,002624,完美世界,1511.4641,2275.0723,299.5335,290.6093,525.0,633.7565
36,002235,安妮股份,78.5892,2210.3245,512.4662,330.9894,360.0,556.0851
37,000985,大庆华科,94.8539,2188.3649,10.8823,10.8119,2100.0,10.8823
38,300346,南大光电,4.4534,2181.7263,-0.7122,0.0032,280.4878,-0.5582
39,603603,博天环境,80.8977,2149.6586,40.1098,80.0299,,55.4707
40,000960,锡业股份,42.3715,2040.491,5.6529,3.0186,-1110.3093,4.6127
41,601011,宝泰隆,77.5603,2005.0503,2.3312,15.8958,835.2941,2.8274
42,000778,新兴铸管,7.3288,1948.3310000000001,10.7975,-1.4340000000000002,472.8972,13.0523
43,002125,湘潭电化,39.7155,1857.9758,2.9924,14.2126,1400.0,2.6985
44,600328,兰太实业,46.5131,1843.2587,12.5252,-2.5451,616.6667,7.5287
45,600628,新世界,-5.8958,1834.3807,72.0865,18.9737,1300.0,72.1508
46,000425,徐工机械,72.4704,1780.5191,0.496,3.7544,2800.0,0.4554
47,002120,韵达股份,769.9162,1777.4362,806.4138,588.4318,300.0,872.0747
48,300288,朗玛信息,211.0212,1735.0546,64.9887,146.1813,1508.5779,32.1916
49,600516,方大炭素,46.3558,1582.7046,1.6207,-4.2404,568.75,2.2444
50,601600,中国铝业,95.9754,1579.2414,11.68,3.0021,2300.0,-0.6993
51,600966,博汇纸业,31.9822,1549.4398,9.4605,1.9646,1767.0886,9.851
52,600460,士兰微,36.3505,1537.8310000000001,19.5123,12.6321,1200.0,4.8619
53,600758,红阳能源,62.313,1469.8937,10.8919,-1.3499,1300.0,10.8919
54,000544,中原环保,104.4246,1458.8542,401.4507,143.099,800.0,432.55400000000003
55,000830,鲁西化工,57.3477,1427.6471,11.3524,11.8602,-1862.5,10.9318
56,600246,万通地产,122.4426,1393.4967,116.5297,4.2646,843.5897,127.9198
57,600233,圆通速递,1406.4277,1376.6931,550.8731,586.9439,28.0724,683.6519
