,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
0,000971,高升控股,0.8804,408.905,31635.1625,0.0114,0.2041,1763.8413
1,002649,博彦科技,1.1067,325.2914,12977.2657,0.0277,0.3338,1078.4901
2,603377,东方时尚,311.9184,1.1541,7400.8953,0.0486,0.2172,1657.4586
3,300467,迅游科技,10.3635,34.7373,5247.8809,0.0686,0.0822,4379.562
4,000415,渤海金控,6.3877,56.3583,3851.0433,0.0935,0.1219,2953.2404
5,300347,泰格医药,0.7589,474.3708,3229.5833,0.1115,0.3282,1096.8921
6,600870,厦华电子,1.0979,327.8987,2965.1198,0.1214,0.1473,2443.9919
7,603569,长久物流,0.797,451.6939,1675.2318,0.2149,0.3606,998.3361
8,002707,众信旅游,4.578,78.637,1458.4512,0.2468,0.8905,404.2673
9,000088,盐田港,2.9457,122.212,1415.4718,0.2543,0.0562,6405.694
10,600452,涪陵电力,5.6714,63.4764,1111.7618,0.3238,0.8332,432.0691
11,000429,粤高速A,8.9446,40.2477,836.8591,0.4302,0.2461,1462.82
12,600897,厦门空港,1.4855,242.3426,815.5776,0.4414,0.46799999999999997,769.2308
13,603598,引力传媒,2.8751,125.213,796.8751,0.4518,0.7241,497.1689
14,002400,省广股份,0.6917,520.4568,744.0247,0.4839,0.2761,1303.8754
15,600576,万家文化,0.6078,592.3001,674.7056,0.5336,0.1697,2121.3907
16,300518,盛讯达,0.5847,615.7004,626.0618,0.575,0.0471,7643.3121
17,000712,锦龙股份,,,396.5195,0.9079,0.0003,1200000.0
18,600605,汇通能源,1.5482,232.5281,374.3922,0.9616,0.9979,360.7576
19,600270,外运发展,1.3752,261.7801,337.60400000000004,1.0663,0.2526,1425.1781
20,300170,汉得信息,0.3256,1105.6511,303.6191,1.1857,0.1952,1844.2623
21,601519,*ST智慧,1.9134,188.1468,284.4089,1.2658,0.1997,1802.7041
22,300383,光环新网,1.2333,291.8998,212.715,1.6924,0.3142,1145.767
23,000503,海虹控股,3.861,93.2401,199.8985,1.8009,0.0366,9836.0656
24,600131,岷江水电,18.9193,19.0282,187.7529,1.9174,0.9276,388.0983
25,002018,华信国际,0.6878,523.408,187.5797,1.9192,0.5676,634.2495
26,601518,吉林高速,,,119.9032,3.0024,0.1519,2369.9803
27,000791,甘肃电投,0.6048,595.2381,119.5413,3.0115,0.1786,2015.6775
28,600865,百大集团,14.8021,24.3209,118.9028,3.0277,0.7305,492.8131
29,002039,黔源电力,2.6429,136.214,118.5532,3.0366,0.4422,814.1113
30,000089,深圳机场,1.7814,202.0882,95.9748,3.7510000000000003,0.239,1506.2762
31,600221,海南航空,10.3515,34.7776,94.5869,3.806,0.3797,948.1169
32,600168,武汉控股,0.2081,1729.9375,92.2416,3.9028,0.1461,2464.0657
33,600233,圆通速递,18.3726,19.5944,89.6385,4.0161,0.5587,644.3530000000001
