,year,gdp_yoy,pi,si,industry,ti
0,2015,100.0,4.6,41.6,35.0,53.7
1,2014,100.0,4.7,47.8,39.2,47.5
2,2013,100.0,4.3,48.5,40.5,47.2
3,2012,100.0,5.2,49.9,41.9,44.9
4,2011,100.0,4.2,52.0,45.9,43.8
5,2010,100.0,3.6,57.4,49.6,39.0
6,2009,100.0,4.0,52.3,40.7,43.7
7,2008,100.0,5.2,48.6,43.4,46.2
8,2007,100.0,2.7,50.1,43.8,47.3
9,2006,100.0,4.4,49.7,42.3,45.9
10,2005,100.0,5.2,50.5,43.1,44.3
11,2004,100.0,7.3,51.8,47.6,40.8
12,2003,100.0,3.1,57.9,51.6,39.0
13,2002,100.0,4.1,49.4,44.3,46.5
14,2001,100.0,4.6,46.4,42.0,49.0
15,2000,100.0,4.1,59.6,56.9,36.2
16,1999,100.0,6.0,57.8,55.0,36.2
17,1998,100.0,7.6,60.9,55.4,31.5
18,1997,100.0,6.8,59.7,58.3,33.5
19,1996,100.0,9.6,62.9,58.5,27.5
20,1995,100.0,9.1,64.3,58.5,26.6
21,1994,100.0,6.6,67.9,62.6,25.5
22,1993,100.0,7.9,65.5,59.1,26.6
23,1992,100.0,8.4,64.5,57.6,27.1
24,1991,100.0,7.1,62.8,58.0,30.1
25,1990,100.0,41.7,41.0,39.7,17.3
