,year,end_for,for_rate,asset_for,asset_rate,goods_for,goods_rate
0,2015,59.9,4.2,41.7,2.9,-2.6,-0.2
1,2014,49.6,3.6,46.9,3.4,4.5,0.3
2,2013,48.2,3.7,54.2,4.2,-2.4,-0.2
3,2012,56.7,4.3,42.0,3.2,1.3,0.1
4,2011,62.7,6.0,45.2,4.3,-7.9,-0.8
5,2010,46.9,4.9,66.0,7.0,-12.9,-1.4
6,2009,57.7,5.2,87.1,8.0,-44.8,-4.1
7,2008,44.7,4.3,51.8,5.0,3.5,0.3
8,2007,46.1,6.5,43.6,6.2,10.3,1.5
9,2006,40.4,5.4,43.6,5.5,16.0,2.1
10,2005,38.7,4.4,38.5,4.3,22.8,2.6
11,2004,39.5,4.0,54.5,5.5,6.0,0.6
12,2003,35.8,3.6,63.2,6.3,1.0,0.1
13,2002,43.9,4.0,48.5,4.4,7.6,0.7
14,2001,50.2,4.2,49.9,4.1,-0.1,
15,2000,65.1,5.5,22.4,1.9,12.5,1.0
16,1999,74.7,5.7,23.7,1.8,1.6,0.1
17,1998,57.1,4.4,26.4,2.1,16.5,1.3
18,1997,37.0,3.4,18.6,1.7,44.4,4.2
19,1996,60.1,6.0,34.3,3.4,5.6,0.6
20,1995,44.7,4.9,55.0,6.0,0.3,
21,1994,30.2,4.0,43.8,5.7,26.0,3.4
22,1993,59.5,8.3,78.6,11.0,-38.1,-5.3
23,1992,72.5,10.3,34.2,4.9,-6.8,-1.0
24,1991,65.1,6.0,24.3,2.2,10.6,1.0
25,1990,47.8,1.8,1.8,0.1,50.4,1.9
26,1989,39.6,1.6,16.4,0.7,44.0,1.8
27,1988,49.6,5.6,39.4,4.5,11.0,1.2
28,1987,50.3,5.8,23.5,2.7,26.2,3.1
29,1986,45.0,4.0,23.2,2.0,31.8,2.8
30,1985,85.5,11.5,80.9,10.9,-66.4,-8.9
31,1984,69.3,10.5,40.5,6.2,-9.8,-1.5
32,1983,74.1,8.1,40.4,4.4,-14.5,-1.6
33,1982,64.7,5.9,23.8,2.2,11.5,1.0
34,1981,93.4,4.9,-4.3,-0.2,10.9,0.5
35,1980,71.8,5.6,26.4,2.1,1.8,0.1
36,1979,87.3,6.6,15.4,1.2,-2.7,-0.2
37,1978,39.4,4.6,66.0,7.7,-5.4,-0.6
