,month,cpi
0,2017.4,101.2
1,2017.3,100.92
2,2017.2,100.8
3,2017.1,102.55
4,2016.12,102.08
5,2016.11,102.25
6,2016.10,102.1
7,2016.9,101.9
8,2016.8,101.34
9,2016.7,101.77
10,2016.6,101.88
11,2016.5,102.04
12,2016.4,102.33
13,2016.3,102.3
14,2016.2,102.28
15,2016.1,101.75
16,2015.12,101.64
17,2015.11,101.49
18,2015.10,101.27
19,2015.9,101.6
20,2015.8,101.96
21,2015.7,101.65
22,2015.6,101.39
23,2015.5,101.23
24,2015.4,101.51
25,2015.3,101.38
26,2015.2,101.43
27,2015.1,100.76
28,2014.12,101.51
29,2014.11,101.44
30,2014.10,101.6
31,2014.9,101.63
32,2014.8,101.99
33,2014.7,102.29
34,2014.6,102.34
35,2014.5,102.48
36,2014.4,101.8
37,2014.3,102.38
38,2014.2,101.95
39,2014.1,102.49
40,2013.12,102.5
41,2013.11,103.02
42,2013.10,103.21
43,2013.9,103.05
44,2013.8,102.57
45,2013.7,102.67
46,2013.6,102.67
47,2013.5,102.1
48,2013.4,102.39
49,2013.3,102.07
50,2013.2,103.22
51,2013.1,102.03
52,2012.12,102.52
53,2012.11,102.04
54,2012.10,101.72
55,2012.9,101.91
56,2012.8,102.05
57,2012.7,101.78
58,2012.6,102.15
59,2012.5,103.0
60,2012.4,103.37
61,2012.3,103.59
62,2012.2,103.16
63,2012.1,104.55
64,2011.12,104.1
65,2011.11,104.2
66,2011.10,105.5
67,2011.9,106.1
68,2011.8,106.2
69,2011.7,106.5
70,2011.6,106.4
71,2011.5,105.5
72,2011.4,105.3
73,2011.3,105.4
74,2011.2,104.9
75,2011.1,104.9
76,2010.12,104.6
77,2010.11,105.1
78,2010.10,104.4
79,2010.9,103.6
80,2010.8,103.5
81,2010.7,103.3
82,2010.6,102.9
83,2010.5,103.1
84,2010.4,102.8
85,2010.3,102.4
86,2010.2,102.7
87,2010.1,101.5
88,2009.12,101.9
89,2009.11,100.6
90,2009.10,99.5
91,2009.9,99.2
92,2009.8,98.8
93,2009.7,98.2
94,2009.6,98.3
95,2009.5,98.6
96,2009.4,98.5
97,2009.3,98.8
98,2009.2,98.4
99,2009.1,101.0
100,2008.12,101.2
101,2008.11,102.4
102,2008.10,104.0
103,2008.9,104.6
104,2008.8,104.9
105,2008.7,106.3
106,2008.6,107.1
107,2008.5,107.7
108,2008.4,108.5
109,2008.3,108.3
110,2008.2,108.7
111,2008.1,107.1
112,2007.12,106.5
113,2007.11,106.9
114,2007.10,106.5
115,2007.9,106.2
116,2007.8,106.5
117,2007.7,105.6
118,2007.6,104.4
119,2007.5,103.4
120,2007.4,103.0
121,2007.3,103.3
122,2007.2,102.7
123,2007.1,102.2
124,2006.12,102.8
125,2006.11,101.9
126,2006.10,101.4
127,2006.9,101.5
128,2006.8,101.3
129,2006.7,101.0
130,2006.6,101.5
131,2006.5,101.4
132,2006.4,101.2
133,2006.3,100.8
134,2006.2,100.9
135,2006.1,101.9
136,2005.12,101.6
137,2005.11,101.3
138,2005.10,101.2
139,2005.9,100.9
140,2005.8,101.3
141,2005.7,101.8
142,2005.6,101.6
143,2005.5,101.8
144,2005.4,101.8
145,2005.3,102.7
146,2005.2,103.9
147,2005.1,101.9
148,2004.12,102.4
149,2004.11,102.8
150,2004.10,104.3
151,2004.9,105.2
152,2004.8,105.3
153,2004.7,105.3
154,2004.6,105.0
155,2004.5,104.4
156,2004.4,103.8
157,2004.3,103.0
158,2004.2,102.1
159,2004.1,103.2
160,2003.12,103.2
161,2003.11,103.0
162,2003.10,101.8
163,2003.9,101.1
164,2003.8,100.9
165,2003.7,100.5
166,2003.6,100.3
167,2003.5,100.7
168,2003.4,101.0
169,2003.3,100.9
170,2003.2,100.2
171,2003.1,100.4
172,2002.12,99.6
173,2002.11,99.3
174,2002.10,99.2
175,2002.9,99.3
176,2002.8,99.3
177,2002.7,99.1
178,2002.6,99.2
179,2002.5,98.9
180,2002.4,98.7
181,2002.3,99.2
182,2002.2,100.0
183,2002.1,99.0
184,2001.12,99.7
185,2001.11,99.7
186,2001.10,100.2
187,2001.9,99.9
188,2001.8,101.0
189,2001.7,101.5
190,2001.6,101.4
191,2001.5,101.7
192,2001.4,101.6
193,2001.3,100.8
194,2001.2,100.0
195,2001.1,101.2
196,2000.12,101.5
197,2000.11,101.3
198,2000.10,100.0
199,2000.9,100.0
200,2000.8,100.3
201,2000.7,100.5
202,2000.6,100.5
203,2000.5,100.1
204,2000.4,99.7
205,2000.3,99.8
206,2000.2,100.7
207,2000.1,99.8
208,1999.12,99.0
209,1999.11,99.1
210,1999.10,99.4
211,1999.9,99.2
212,1999.8,98.7
213,1999.7,98.6
214,1999.6,97.9
215,1999.5,97.8
216,1999.4,97.8
217,1999.3,98.2
218,1999.2,98.7
219,1999.1,98.8
220,1998.12,99.0
221,1998.11,98.8
222,1998.10,98.9
223,1998.9,98.5
224,1998.8,98.6
225,1998.7,98.6
226,1998.6,98.7
227,1998.5,99.0
228,1998.4,99.7
229,1998.3,100.7
230,1998.2,99.9
231,1998.1,100.3
232,1997.12,100.4
233,1997.11,101.1
234,1997.10,101.5
235,1997.9,101.8
236,1997.8,101.9
237,1997.7,102.7
238,1997.6,102.8
239,1997.5,102.8
240,1997.4,103.2
241,1997.3,104.0
242,1997.2,105.6
243,1997.1,105.9
244,1996.12,107.0
245,1996.11,106.9
246,1996.10,107.0
247,1996.9,107.4
248,1996.8,108.1
249,1996.7,108.3
250,1996.6,108.6
251,1996.5,108.9
252,1996.4,109.7
253,1996.3,109.8
254,1996.2,109.3
255,1996.1,109.0
256,1995.12,110.1
257,1995.11,111.2
258,1995.10,112.1
259,1995.9,113.2
260,1995.8,114.5
261,1995.7,116.7
262,1995.6,118.2
263,1995.5,120.3
264,1995.4,120.7
265,1995.3,121.3
266,1995.2,122.4
267,1995.1,124.1
268,1994.12,125.5
269,1994.11,127.5
270,1994.10,127.7
271,1994.9,127.3
272,1994.8,125.8
273,1994.7,124.0
274,1994.6,122.6
275,1994.5,121.3
276,1994.4,121.7
277,1994.3,122.4
278,1994.2,123.2
279,1994.1,121.1
280,1993.12,118.8
281,1993.11,116.7
282,1993.10,115.9
283,1993.9,115.7
284,1993.8,116.0
285,1993.7,116.2
286,1993.6,115.1
287,1993.5,114.0
288,1993.4,112.6
289,1993.3,112.2
290,1993.2,110.5
291,1993.1,110.3
292,1992.12,108.8
293,1992.11,108.2
294,1992.10,107.9
295,1992.9,107.5
296,1992.8,105.8
297,1992.7,105.2
298,1992.6,104.8
299,1992.5,104.7
300,1992.4,107.1
301,1992.3,105.3
302,1992.2,105.3
303,1992.1,105.5
304,1991.12,104.5
305,1991.11,104.4
306,1991.10,104.8
307,1991.9,104.5
308,1991.8,104.9
309,1991.7,104.7
310,1991.6,104.4
311,1991.5,103.6
312,1991.4,101.3
313,1991.3,101.6
314,1991.2,101.0
315,1991.1,102.2
316,1990.12,104.3
317,1990.11,103.7
318,1990.10,103.1
319,1990.9,102.9
320,1990.8,102.5
321,1990.7,101.1
322,1990.6,101.1
323,1990.5,102.7
324,1990.4,103.2
325,1990.3,103.4
326,1990.2,104.4
327,1990.1,104.3
