,code,name,type,report_date,pre_eps,range
0,002514,宝馨科技,预升,2017-04-29,0.07,0%~30%
1,002639,雪人股份,预盈,2017-04-28,-0.03,0
2,002112,三变科技,预亏,2017-04-28,0.004,0
3,002103,广博股份,预增,2017-04-28,0.04,50%~100%
4,002715,登云股份,预盈,2017-04-28,-0.05,100%~200%
5,002567,唐人神,预增,2017-04-28,0.0483,110%~140%
6,002532,新界泵业,预增,2017-04-28,0.0858,50%~100%
7,002573,清新环境,预升,2017-04-27,0.08,10%~20%
8,002665,首航节能,预亏,2017-04-27,0.02,0
9,002867,周大生,预升,2017-04-27,0.26,20.32
10,603180,金牌厨柜,预升,2017-04-27,0.09,27%~49%
11,002871,伟隆股份,预升,2017-04-27,0.17,24.85
12,002306,*ST云网,减亏,2017-04-26,-0.01,0
13,002488,金固股份,预亏,2017-04-26,-0.04,0
14,002088,鲁阳节能,预增,2017-04-26,0.0315,100%~140%
15,603086,先达股份,预升,2017-04-26,0.35,24.04
16,002309,中利集团,预亏,2017-04-25,0.02,0
17,600482,中国动力,预升,2017-04-25,0.09,5.87
18,002341,新纶科技,预升,2017-04-25,0.0549,0%~30%
19,002512,达华智能,预亏,2017-04-25,0.0054,0
20,002432,九安医疗,预亏,2017-04-25,-0.0387,0
21,002571,*ST德力,预亏,2017-04-24,-0.0396,0
22,600844,*ST丹科,预盈,2017-04-22,-0.0447,0
23,603385,惠达卫浴,预升,2017-04-22,0.13,35%~45%
24,601058,赛轮金宇,预亏,2017-04-22,0.09,0
25,000798,中水渔业,减亏,2017-04-22,-0.0235,57%~62%
26,600410,华胜天成,预亏,2017-04-22,0.0085,0
27,600487,亨通光电,预增,2017-04-22,0.0925,100%~150%
28,600979,广安爱众,预增,2017-04-21,0.0291,0
29,600491,龙元建设,预增,2017-04-21,0.0546,70%~80%
30,002556,辉隆股份,预增,2017-04-21,0.06,50%~70%
31,601699,潞安环能,预增,2017-04-21,0.01,0
32,002748,世龙实业,预增,2017-04-21,0.1232,300%~340%
33,002501,利源精制,预升,2017-04-20,0.1,5%~25%
34,002693,双成药业,减亏,2017-04-20,-0.03,0
35,002337,赛象科技,减亏,2017-04-20,-0.01,0
36,603007,花王股份,预增,2017-04-20,0.05,486
37,600188,兖州煤业,预增,2017-04-20,0.0503,580%~600%
38,600958,东方证券,预增,2017-04-20,0.08,99.55
39,000887,中鼎股份,预升,2017-04-20,0.21,30%~40%
40,300554,三超新材,预增,2017-04-20,0.1376,42.18%~77.73%
41,000558,莱茵体育,预降,2017-04-20,0.0193,0
42,002035,华帝股份,预增,2017-04-20,0.13,50%~70%
43,600121,*ST郑煤,预盈,2017-04-20,-0.1192,0
44,601126,四方股份,预亏,2017-04-20,0.0122,-296
45,600644,乐山电力,预降,2017-04-19,0.059000000000000004,-7.8
46,600456,宝钛股份,减亏,2017-04-19,-0.1156,0
47,002297,博云新材,减亏,2017-04-19,-0.0196,0
48,600388,龙净环保,预升,2017-04-19,0.07,18.52
49,601677,明泰铝业,预升,2017-04-19,0.11,45
50,600288,大恒科技,减亏,2017-04-19,-0.0477,0
51,600366,宁波韵升,预减,2017-04-19,1.2275,-87%
52,002538,司尔特,预降,2017-04-19,0.066,-40%~-10%
53,002211,宏达新材,预盈,2017-04-19,-0.0073,0
54,601901,方正证券,预减,2017-04-19,0.1,-52.24
55,601899,紫金矿业,预增,2017-04-19,0.003,1400%~1500%
56,600888,新疆众和,预增,2017-04-19,0.0152,230%~280%
57,002048,宁波华翔,预增,2017-04-19,0.2,50%~90%
58,300650,太龙照明,预增,2017-04-19,0.04,71%~95%
59,603113,金能科技,预增,2017-04-19,-0.03,4568.76
60,603165,荣晟环保,预增,2017-04-18,0.3,236
61,000893,东凌国际,预亏,2017-04-15,0.0029,0
62,002619,巨龙管业,预增,2017-04-18,0.09,43.2%~93.2%
63,600917,重庆燃气,预升,2017-04-18,0.06,0.13
64,603878,武进不锈,预盈,2017-04-18,-0.02,0
65,600782,新钢股份,预盈,2017-04-18,-0.07,0
66,600884,杉杉股份,预增,2017-04-18,0.086,60%~110%
67,603728,鸣志电器,预升,2017-04-18,0.0745,25%~28%
68,600628,新世界,预增,2017-04-17,0.03,1830%~1880%
69,603229,奥翔药业,预升,2017-04-17,0.1,1.92%~10.79%
