,code,name,date,nums,nlast,count,clast,amount,ratio
0,603993,洛阳钼业,2015-03-31,15,-93,3137.97,-1408.15,42644.95,0.24
1,603806,福斯特,2015-03-31,1,-2,7.56,-4.54,338.14,0.08
2,603766,隆鑫通用,2015-03-31,5,-60,477.20,-1991.93,9023.84,0.23
3,603688,石英股份,2015-03-31,3,-5,0.30,-23.21,6.49,0.00
4,603606,东方电缆,2015-03-31,2,-14,6.15,-107.07,161.29,0.04
5,603588,高能环境,2015-03-31,2,-29,21.09,-84.86,1283.30,0.04
6,603555,贵人鸟,2015-03-31,3,-36,286.65,-205.83,9795.00,0.47
7,603456,九洲药业,2015-03-31,11,-7,1568.40,60.12,74655.98,10.95
8,603368,柳州医药,2015-03-31,11,-5,252.57,-61.78,14876.67,3.39
9,603366,日出东方,2015-03-31,3,-65,120.37,-1651.04,2816.71,0.15
10,603288,海天味业,2015-03-31,3,-132,51.30,-2695.33,2639.19,0.05
11,603167,渤海轮渡,2015-03-31,2,-10,1329.09,-587.97,19471.23,2.76
12,603128,华贸物流,2015-03-31,3,-21,1123.93,-987.33,27423.93,1.37
13,603111,康尼机电,2015-03-31,2,1,116.26,112.86,3170.41,0.30
14,603099,长白山,2015-03-31,2,-2,475.98,469.93,9229.25,4.64
15,603019,中科曙光,2015-03-31,9,-15,344.24,70.90,24086.70,0.96
16,603008,喜临门,2015-03-31,3,-41,277.24,-6745.84,5200.98,0.88
17,603005,晶方科技,2015-03-31,2,-56,26.98,-611.35,1497.03,0.16
18,603001,奥康国际,2015-03-31,2,-46,34.00,-608.04,759.22,0.08
19,601998,中信银行,2015-03-31,12,-188,1178.14,-32500.68,8671.10,0.04
20,601992,金隅股份,2015-03-31,4,-150,217.57,-13649.91,2430.26,0.03
21,601991,大唐发电,2015-03-31,4,-32,76.37,-1851.34,488.79,0.01
22,601989,中国重工,2015-03-31,50,-186,72648.42,-50095.29,729390.17,3.96
23,601988,中国银行,2015-03-31,128,-163,119815.63,-84483.12,524792.47,0.57
24,601965,中国汽研,2015-03-31,5,-58,1914.99,-200.18,33780.38,1.99
25,601958,金钼股份,2015-03-31,1,-94,799.99,-5068.78,9183.85,0.25
26,601939,建设银行,2015-03-31,17,-146,4130.41,-66505.48,25195.48,0.43
27,601933,永辉超市,2015-03-31,14,-129,19522.70,-11916.05,225096.73,3.00
28,601929,吉视传媒,2015-03-31,4,-100,750.38,-4693.03,10670.35,0.24
29,601928,凤凰传媒,2015-03-31,3,-90,161.49,-5281.49,2328.69,0.06
30,601918,新集能源,2015-03-31,1,-37,1.00,-4057.31,7.21,0.00
31,601908,京运通,2015-03-31,1,-50,16.50,-1057.69,284.25,0.01
32,601901,方正证券,2015-03-31,16,-123,60140.65,9216.73,847381.78,9.56
33,601899,紫金矿业,2015-03-31,13,-103,10722.05,-28384.52,46319.27,0.68
34,601898,中煤能源,2015-03-31,3,-120,110.06,-12570.39,757.23,0.01
35,601888,中国国旅,2015-03-31,24,-147,1896.28,-3418.56,117067.62,1.94
36,601886,江河集团,2015-03-31,5,-37,331.02,67.37,3780.24,0.29
37,601877,正泰电器,2015-03-31,12,-54,3298.48,-3581.41,135600.45,2.49
38,601872,招商轮船,2015-03-31,5,-49,235.42,-9499.22,1596.15,0.05
39,601857,中国石油,2015-03-31,21,-127,5816.87,-17335.59,68231.83,0.04
40,601818,光大银行,2015-03-31,43,-217,17984.14,-149967.64,85064.98,0.45
41,601808,中海油服,2015-03-31,2,-115,23.65,-3216.88,525.22,0.01
42,601801,皖新传媒,2015-03-31,9,-67,2310.82,-311.89,63131.57,1.27
43,601800,中国交建,2015-03-31,8,-161,56.44,-16406.09,1043.56,0.00
44,601799,星宇股份,2015-03-31,7,-23,533.62,-503.95,14375.84,2.23
45,601789,宁波建工,2015-03-31,3,-6,12.36,-8.25,139.09,0.01
46,601788,光大证券,2015-03-31,10,-90,171.84,-17113.34,4794.34,0.04
47,601766,中国中车,2015-03-31,20,-144,6426.17,-43953.28,109180.62,0.28
48,601727,上海电气,2015-03-31,11,-74,364.29,-7091.00,3978.04,0.04
49,601717,郑煤机,2015-03-31,1,-50,2479.99,-5040.69,22567.88,1.80
50,601700,风范股份,2015-03-31,2,-14,63.35,-1838.21,1756.12,0.06
51,601699,潞安环能,2015-03-31,7,-129,2606.44,-8340.49,31928.89,0.87
52,601688,华泰证券,2015-03-31,85,-224,51792.67,-7391.24,1559477.33,9.51
53,601677,明泰铝业,2015-03-31,1,-15,14.75,-705.27,233.05,0.03
54,601669,中国电建,2015-03-31,12,-134,8688.23,-7441.62,85926.58,0.91
55,601668,中国建筑,2015-03-31,92,-197,51432.75,-85380.27,394489.22,1.73
56,601633,长城汽车,2015-03-31,25,-150,8550.33,-4270.81,444702.88,1.42
57,601628,中国人寿,2015-03-31,41,-290,8225.13,-23179.17,304740.90,0.39
58,601618,中国中冶,2015-03-31,3,-105,1550.00,-15275.48,8695.50,0.10
59,601608,中信重工,2015-03-31,2,-43,13.33,-495.13,85.98,0.00
60,601607,上海医药,2015-03-31,13,-131,2547.88,-6210.49,57887.74,1.32
61,601601,中国太保,2015-03-31,112,-203,31206.49,-21720.41,1057899.92,4.96
62,601600,中国铝业,2015-03-31,12,-121,5074.21,-19540.98,32018.29,0.46
63,601588,北辰实业,2015-03-31,7,-10,6605.30,-348.63,40012.15,2.48
64,601567,三星医疗,2015-03-31,3,-21,345.46,-1256.65,11272.39,0.34
65,601555,东吴证券,2015-03-31,16,-183,8372.68,-19729.52,191818.14,2.90
66,601519,*ST智慧,2015-03-31,20,-31,786.18,-590.46,23239.60,0.40
67,601398,工商银行,2015-03-31,71,-79,48186.09,-55507.43,234184.39,0.18
68,601390,中国中铁,2015-03-31,21,-135,3453.57,-28210.97,43618.62,0.19
69,601377,兴业证券,2015-03-31,32,-160,50991.53,-2026.16,806686.05,7.61
70,601369,陕鼓动力,2015-03-31,2,-62,116.38,-3088.72,1167.27,0.07
71,601336,新华保险,2015-03-31,33,-259,3398.79,-11163.12,180169.79,1.63
72,601333,广深铁路,2015-03-31,1,-97,1988.88,-11108.41,9586.40,0.35
73,601328,交通银行,2015-03-31,58,-244,46076.68,-95977.28,294430.01,1.17
74,601318,中国平安,2015-03-31,419,-264,65648.75,-16411.23,5136358.13,6.07
75,601311,骆驼股份,2015-03-31,7,-64,3587.34,-1466.98,68267.16,4.23
76,601299,中国北车,2015-03-31,20,-167,6830.48,-50182.78,125749.05,0.67
77,601288,农业银行,2015-03-31,23,-134,18079.99,-150459.09,66353.56,0.06
78,601258,庞大集团,2015-03-31,2,-90,1307.38,-4711.88,10929.68,0.20
79,601238,广汽集团,2015-03-31,1,-33,120.34,-1043.58,1182.97,0.03
80,601233,桐昆股份,2015-03-31,6,-75,1986.31,-3354.07,24729.59,2.06
81,601231,环旭电子,2015-03-31,5,-95,305.09,-2547.34,11422.61,0.14
82,601226,华电重工,2015-03-31,6,-20,20.80,-65.46,425.47,0.05
83,601225,陕西煤业,2015-03-31,2,-106,1315.62,-6299.61,10735.44,0.13
84,601222,林洋能源,2015-03-31,10,-27,2800.63,-88.77,105051.66,1.61
85,601218,吉鑫科技,2015-03-31,1,-23,50.00,-2539.52,532.50,0.05
86,601216,君正集团,2015-03-31,10,-71,489.23,-1429.02,9774.90,0.06
87,601208,东材科技,2015-03-31,1,-65,780.53,-6651.78,8492.17,1.25
88,601199,江南水务,2015-03-31,2,-7,419.53,-219.20,10836.41,0.45
89,601186,中国铁建,2015-03-31,18,-133,2244.28,-16081.71,41721.09,0.20
90,601169,北京银行,2015-03-31,9,-165,2263.47,-46554.91,24694.44,0.15
91,601168,西部矿业,2015-03-31,7,-85,2131.97,-6254.90,21298.36,0.89
92,601166,兴业银行,2015-03-31,305,-128,152786.06,-2412.78,2805152.11,8.02
93,601139,深圳燃气,2015-03-31,9,-26,6618.34,4371.65,71875.15,3.03
94,601126,四方股份,2015-03-31,14,-44,1193.22,203.19,33207.35,1.47
95,601117,中国化学,2015-03-31,1,-129,134.04,-18152.84,1308.23,0.03
96,601111,中国国航,2015-03-31,3,-109,3527.62,-7224.44,33265.43,0.41
97,601100,恒立液压,2015-03-31,1,-30,2101.56,-3662.08,31292.29,3.34
98,601099,太平洋,2015-03-31,27,-62,8173.32,-19758.39,113037.05,1.26
99,601098,中南传媒,2015-03-31,12,-117,1324.62,-4808.99,29671.55,0.74
100,601088,中国神华,2015-03-31,15,-189,5435.06,-25279.21,109190.33,0.33
101,601058,赛轮金宇,2015-03-31,14,-40,791.18,-3894.77,15763.75,0.35
102,601028,玉龙股份,2015-03-31,1,-5,35.00,-262.47,833.70,0.04
103,601012,隆基股份,2015-03-31,8,-78,1238.25,-2348.35,64005.01,0.70
104,601010,文峰股份,2015-03-31,8,-41,363.77,-461.29,10694.70,0.20
