,opDate,stockCode,securityAbbr,rzye,rzmre,rzche,rqyl,rqmcl,rqchl
0,2017-05-11,601989,中国重工,4175678493,95899360,205533568,1816334,843000,430748
1,2017-05-10,601989,中国重工,4285312701,66054383,69558136,1404082,113000,452000
2,2017-05-09,601989,中国重工,4288816454,61527495,78593166,1743082,622800,45200
3,2017-05-08,601989,中国重工,4305882125,100668798,108813166,1165482,45000,405700
4,2017-05-05,601989,中国重工,4314026493,119537908,113553932,1526182,190000,330000
5,2017-05-04,601989,中国重工,4307212997,106319014,81437251,1666182,544700,91000
6,2017-05-03,601989,中国重工,4282236962,77141673,71168585,1212482,100000,363466
7,2017-05-02,601989,中国重工,4276263874,72379626,60788744,1475948,363500,247000
8,2017-04-28,601989,中国重工,4264672992,66935658,111049892,1359448,111700,679800
9,2017-04-27,601989,中国重工,4308787226,160762096,183807233,1927548,680700,401800
10,2017-04-26,601989,中国重工,4331832363,215975384,312896666,1648648,261000,1086700
11,2017-04-25,601989,中国重工,4428753645,203957628,157673149,2474348,1326200,485966
12,2017-04-24,601989,中国重工,4382469166,123098990,191082875,1634114,328466,83400
13,2017-04-21,601989,中国重工,4450407545,87765147,143244412,1389048,199300,628200
14,2017-04-20,601989,中国重工,4505886810,122689468,155215466,1817948,728100,64300
15,2017-04-19,601989,中国重工,4538412808,165397732,173645376,1154148,0,894000
16,2017-04-18,601989,中国重工,4546660452,129066286,169302672,2048148,908100,33200
17,2017-04-17,601989,中国重工,4586896838,163611446,184058020,1173248,39700,307100
18,2017-04-14,601989,中国重工,4607343412,212714370,229675259,1440648,231700,199642
19,2017-04-13,601989,中国重工,4624304301,192340307,254108360,1408590,338448,232600
20,2017-04-12,601989,中国重工,4679899661,335148303,464759462,1302742,213500,1055500
21,2017-04-11,601989,中国重工,4809510820,658083225,521510932,2144742,675500,1246158
22,2017-04-10,601989,中国重工,4672938527,398713151,264983429,2715400,1238000,520100
23,2017-04-07,601989,中国重工,4536590579,378626569,373650720,1997500,829100,928800
24,2017-04-06,601989,中国重工,4531614730,252447775,257104200,2097200,738900,595300
25,2017-04-05,601989,中国重工,4536271155,253413794,213720650,1953600,583800,978100
26,2017-03-31,601989,中国重工,4496578011,212221101,240041403,2347900,1048800,437842
27,2017-03-30,601989,中国重工,4524398313,111790020,112008487,1736942,202942,541900
28,2017-03-29,601989,中国重工,4524616780,133148628,141374590,2075900,918500,149100
29,2017-03-28,601989,中国重工,4532842742,65725659,93947776,1306500,184900,745800
30,2017-03-27,601989,中国重工,4561759359,109027578,120937501,1867400,575000,577200
31,2017-03-24,601989,中国重工,4573669282,142171752,176568912,1869600,747500,662500
32,2017-03-23,601989,中国重工,4607761662,132136786,93928723,1784600,579000,231800
33,2017-03-22,601989,中国重工,4569553599,100271465,142220988,1437400,53100,100000
34,2017-03-21,601989,中国重工,4611503122,64729680,69622353,1484300,67100,459900
35,2017-03-20,601989,中国重工,4616395795,60799834,85501481,1877100,624500,196800
36,2017-03-17,601989,中国重工,4649535661,74356042,175481607,1449400,51600,280700
37,2017-03-16,601989,中国重工,4750661226,113026844,116549932,1678500,463000,200000
38,2017-03-15,601989,中国重工,4754184314,74662465,99021013,1415500,200100,105000
39,2017-03-14,601989,中国重工,4767808120,168632723,78423122,1320400,46000,288500
40,2017-03-13,601989,中国重工,4677598519,62966574,86962641,1562900,260000,130000
41,2017-03-10,601989,中国重工,4701594586,64777087,82001841,1432900,15000,384666
42,2017-03-09,601989,中国重工,4718819340,152514017,172028834,1802566,245900,420534
43,2017-03-08,601989,中国重工,4738334157,147390025,161535247,1977200,550700,250500
44,2017-03-07,601989,中国重工,4752479379,157811377,162552780,1677000,250000,268600
45,2017-03-06,601989,中国重工,4757220782,96423414,112598032,1695600,268000,361500
46,2017-03-03,601989,中国重工,4773395400,124993556,120952916,1789100,361500,577600
47,2017-03-02,601989,中国重工,4769354760,165327830,198106752,2005200,266100,326800
48,2017-03-01,601989,中国重工,4802133682,183945302,157167871,2065900,486800,94600
49,2017-02-28,601989,中国重工,4775356251,88144687,92535472,1673700,91000,133900
50,2017-02-27,601989,中国重工,4779760932,116347286,140444004,1716600,10800,581500
51,2017-02-24,601989,中国重工,4803857650,180258934,168542702,2287300,761700,414300
52,2017-02-23,601989,中国重工,4792141418,216285378,134213344,1939900,255300,211200
53,2017-02-22,601989,中国重工,4710069384,155960562,156190358,1895800,191000,211731
54,2017-02-21,601989,中国重工,4710299180,164786135,176071136,1916531,162100,357700
55,2017-02-20,601989,中国重工,4721584181,223364396,169503230,2112131,536400,789770
56,2017-02-17,601989,中国重工,4667723015,302976707,290909216,2365501,976100,498700
57,2017-02-16,601989,中国重工,4655655524,154090040,205430940,1888101,153700,510200
58,2017-02-15,601989,中国重工,4706996424,416998727,446007301,2244601,377800,490600
59,2017-02-14,601989,中国重工,4735759963,234763464,232201315,2357401,309500,187500
60,2017-02-13,601989,中国重工,4733197814,281212203,232107691,2235401,100600,802200
61,2017-02-10,601989,中国重工,4684093302,498150444,494779386,2937001,1070300,849000
62,2017-02-09,601989,中国重工,4680722244,422069606,392828470,2715701,205400,688300
63,2017-02-08,601989,中国重工,4651481108,501592114,367672656,3198601,1268400,450800
64,2017-02-07,601989,中国重工,4517561650,153870257,158303137,2381001,220000,164500
65,2017-02-06,601989,中国重工,4521994530,159162298,165116525,2325501,82200,1023899
66,2017-02-03,601989,中国重工,4527948757,302391632,208426497,3267200,1579000,4300
67,2017-01-26,601989,中国重工,4433983622,93750067,199160760,1692500,6700,760231
68,2017-01-25,601989,中国重工,4539394315,144852507,169714606,2446031,175200,208700
69,2017-01-24,601989,中国重工,4564256414,119066031,199788980,2479531,23400,963000
70,2017-01-23,601989,中国重工,4644979363,344718290,338587182,3419131,1404500,225000
71,2017-01-20,601989,中国重工,4638848255,145926668,119773983,2239631,204100,1043500
72,2017-01-19,601989,中国重工,4612460924,114029961,121356996,3079031,136631,267500
73,2017-01-18,601989,中国重工,4619787959,118875237,172447606,3209900,356400,92500
74,2017-01-17,601989,中国重工,4673360328,182290117,127832140,2946000,137300,358614
75,2017-01-16,601989,中国重工,4619315924,189072942,481737769,3167314,629100,360386
76,2017-01-13,601989,中国重工,4911980751,277503855,270971564,2898600,180800,436300
77,2017-01-12,601989,中国重工,4905448460,402510721,397212327,3154100,144200,451400
78,2017-01-11,601989,中国重工,4900150066,250662844,321876578,3461300,606800,249400
79,2017-01-10,601989,中国重工,4971363800,288592724,326340866,3103900,228000,697020
80,2017-01-09,601989,中国重工,5009111942,554750016,388731884,3572920,1283220,114100
81,2017-01-06,601989,中国重工,4843093810,294743085,289352601,2403800,234000,1057100
82,2017-01-05,601989,中国重工,4837703326,320282316,310715067,3226900,601500,374300
83,2017-01-04,601989,中国重工,4828136077,243009280,278376539,2999700,225500,524100
84,2017-01-03,601989,中国重工,4863503336,279615974,184942440,3298300,1174300,404500
