,stockCode,securityAbbr,rzmre,rzye,rqmcl,rqyl,rqye,rzrqye,opDate
0,000001,平安银行,67509258,3568650256,29700,876908,8032477,3576682733,2017-01-03
1,000002,万 科Ａ,83015991,2302578467,90836,786755,16309431,2318887898,2017-01-03
2,000006,深振业Ａ,77960220,1537562412,214000,334010,3229877,1540792289,2017-01-03
3,000009,中国宝安,67539347,2921259423,45300,417305,4365010,2925624433,2017-01-03
4,000012,南 玻Ａ,52880355,1461755667,0,62300,710220,1462465887,2017-01-03
5,000022,深赤湾Ａ,18424391,104967762,50900,70200,1356966,106324728,2017-01-03
6,000027,深圳能源,5730941,544038802,0,20923,144787,544183589,2017-01-03
7,000028,国药一致,6222267,144846554,0,4600,310040,145156594,2017-01-03
8,000030,富奥股份,4552038,19004811,0,0,0,19004811,2017-01-03
9,000031,中粮地产,16664690,1007968699,20000,25000,225500,1008194199,2017-01-03
10,000039,中集集团,9503165,1013452135,0,105835,1566358,1015018493,2017-01-03
11,000043,中航地产,75972764,584704845,0,0,0,584704845,2017-01-03
12,000046,泛海控股,5848086,563372755,5000,86600,811442,564184197,2017-01-03
13,000049,德赛电池,37156924,481277971,10200,13248,535087,481813058,2017-01-03
14,000050,深天马Ａ,0,1025656111,0,3000,56460,1025712571,2017-01-03
15,000060,中金岭南,42514027,1571703768,500,298000,3364420,1575068188,2017-01-03
16,000061,农 产 品,13645516,1105704193,10000,28700,361620,1106065813,2017-01-03
17,000062,深圳华强,28990511,813023195,400,1600,45264,813068459,2017-01-03
18,000063,中兴通讯,65244811,2633055236,16400,206990,3353238,2636408474,2017-01-03
19,000069,华侨城Ａ,60435360,1397391017,34700,549341,3828906,1401219923,2017-01-03
20,000078,海王生物,15911950,943262363,0,54350,344579,943606942,2017-01-03
21,000088,盐 田 港,5366018,356676949,60700,75600,545832,357222781,2017-01-03
22,000089,深圳机场,3910242,426749507,700,35000,288400,427037907,2017-01-03
23,000099,中信海直,57573558,620597187,0,0,0,620597187,2017-01-03
