,opDate,rzye,rzmre,rqyl,rqylje,rqmcl,rzrqjyzl
0,2016-12-12,545636500112,31162678070,517859220,3579624571,83839951,549216124683
1,2016-12-09,552842108711,26820353251,538778789,3669446342,93808717,556511555053
2,2016-12-08,554108985855,23898531152,519305685,3692335096,95894711,557801320951
3,2016-12-07,553519950153,24070429642,489271972,3533985798,83557693,557053935951
4,2016-12-06,552796495709,22502287281,486530914,3420881587,83049594,556217377296
5,2016-12-05,552584304283,32964380204,503114693,3459620852,100734285,556043925135
6,2016-12-02,552942591967,37792654678,495343851,3646377298,68000163,556588969265
7,2016-12-01,555785149855,36512524580,552004472,3841995830,100266615,559627145685
8,2016-11-30,553319387731,38009703417,506692809,3623238146,50799789,556942625877
9,2016-11-29,550196731263,49413534718,544702721,3827897378,94585947,554024628641
10,2016-11-28,546721796406,41134076209,572810333,3889652394,129391632,550611448800
11,2016-11-25,541073208543,34030570478,501453341,3584196203,63936966,544657404746
12,2016-11-24,541913908842,33906643087,567936112,3824549910,106844753,545738458752
13,2016-11-23,541686542434,35396629202,526193407,3586996836,74331524,545273539270
14,2016-11-22,542008130531,37589023793,542024944,3586448687,106051188,545594579218
15,2016-11-21,538823020390,32816415500,510095248,3515686889,91673033,542338707279
16,2016-11-18,535057333809,28680837457,505681128,3342644447,82417417,538399978256
17,2016-11-17,536057751317,29092021043,519016876,3591333097,91203935,539649084414
18,2016-11-16,535701347651,31599321935,482953798,3369798586,72436987,539071146237
19,2016-11-15,532962827325,35512135262,476691015,3515075241,68217977,536477902566
20,2016-11-14,530434954651,47161377775,496669558,3455894457,99913739,533890849108
21,2016-11-11,524606038523,43717351669,482698727,3451229128,84919692,528057267651
22,2016-11-10,524100406163,35916279752,486231069,3430919078,93839585,527531325241
23,2016-11-09,520589849944,35512155182,462410746,3192679339,82817210,523782529283
24,2016-11-08,517880324403,27167238686,462988347,3333262968,84189547,521213587371
25,2016-11-07,517199830196,25675769223,442842002,3167668799,71740701,520367498995
26,2016-11-04,515916361686,27702389256,412984066,3027101051,48299358,518943462737
27,2016-11-03,516372674587,35185628006,432318559,3185394756,75471916,519558069343
28,2016-11-02,512202186235,25005871992,405074419,2978091658,45269483,515180277893
29,2016-11-01,512090091838,22527066066,405192780,2980140097,47955298,515070231935
30,2016-10-31,510247896561,19877461369,394882433,2889058916,44174035,513136955477
31,2016-10-28,508646408411,23432607213,414787502,2942339368,65997917,511588747779
32,2016-10-27,512147647095,22057706294,394421882,2867404567,29135306,515015051662
33,2016-10-26,511241718608,26837389154,446092326,3047214321,76024903,514288932929
34,2016-10-25,509481313469,28013985325,399692664,2938692369,31563950,512420005838
35,2016-10-24,506651209666,31973297399,433450220,3062310997,71104158,509713520663
36,2016-10-21,502362504192,24048546481,419385750,2929633779,67679796,505292137971
37,2016-10-20,502719680826,20264716528,396722645,2786501246,35699000,505506182072
38,2016-10-19,502224582657,24632359171,402945727,2818854308,54739907,505043436965
39,2016-10-18,501292033743,25202934394,392963150,2805307720,56407223,504097341463
40,2016-10-17,498028728910,22216720236,420388098,2866511869,62002962,500895240779
41,2016-10-14,496412883860,19548242666,422481098,2891899790,44694709,499304783650
42,2016-10-13,497309822724,20303030805,438553008,3013468547,66699273,500323291271
43,2016-10-12,495554017689,18404348514,406734625,2690801688,36990083,498244819377
44,2016-10-11,493155823819,23454512182,418551097,2815512031,77300340,495971335850
45,2016-10-10,490131918314,23559668411,375738521,2485754138,51608471,492617672452
46,2016-09-30,485368046034,10947748818,363099308,2302076042,8089909,487670122076
47,2016-09-29,492459294682,13966699339,397543343,2559643250,30521234,495018937932
48,2016-09-28,493935142585,12346963447,449641915,2761111210,35129214,496696253795
49,2016-09-27,494949863817,14803735855,462171998,2904498020,52782678,497854361837
50,2016-09-26,495311007534,18398310421,476130925,2921256301,79824556,498232263835
51,2016-09-23,495548458994,15777430126,443885874,2757532261,36732719,498305991255
52,2016-09-22,497769188223,18424362327,449913652,2842252320,40987349,500611440543
53,2016-09-21,498866810752,14949437717,446683649,2786995059,45304902,501653805811
54,2016-09-20,498636196708,15176233151,448011985,2789447018,46584823,501425643726
55,2016-09-19,497965398653,15970987319,458113075,2886141226,97715212,500851539879
56,2016-09-14,496229314357,15678069181,399261828,2560130168,33751163,498789444525
57,2016-09-13,499635099269,18045851868,426244384,2715487728,30621776,502350586997
58,2016-09-12,499740145178,25293646673,465709861,2893896356,66451677,502634041534
59,2016-09-09,501701136676,21402589584,456713699,2887751901,34540563,504588888577
60,2016-09-08,503708906192,19861671600,464077236,2941733401,31236471,506650639593
61,2016-09-07,503273563343,25787343636,486415126,3021243613,58620249,506294806956
62,2016-09-06,503013816371,24868965139,466174782,2942855884,55852469,505956672255
63,2016-09-05,500516748119,19738718257,470316954,2926669963,58457638,503443418082
64,2016-09-02,499592197550,19720914539,477936580,3055378796,75347741,502647576346
65,2016-09-01,501535695782,20956719333,464663438,3021949312,61126202,504557645094
66,2016-08-31,501716007963,20539638820,445541370,2972281463,54635530,504688289426
67,2016-08-30,501004637549,18127747375,459464394,2942132684,68741513,503946770233
68,2016-08-29,501477435834,19262597443,433383078,2723176228,52040537,504200612062
69,2016-08-26,499937745356,20244740587,413193125,2648511173,34680854,502586256529
70,2016-08-25,500791792381,23464991931,440284911,2748060930,53762538,503539853311
71,2016-08-24,500400801436,20520998519,437582114,2753149425,47004479,503153950861
72,2016-08-23,499734417220,23174573771,442672350,2793503662,57331203,502527920882
73,2016-08-22,499145177131,27494751512,428532762,2738433455,43399057,501883610586
74,2016-08-19,498282428488,28438491033,420104549,2677317602,73765265,500959746090
75,2016-08-18,498543748648,35091631592,403174145,2638732511,41562691,501182481159
76,2016-08-17,495659051254,32177481153,411112441,2685725798,40993272,498344777052
77,2016-08-16,493566088751,41889657998,425996915,2754629970,63014807,496320718721
78,2016-08-15,486485232335,45599596654,456701529,2883440312,92273965,489368672647
79,2016-08-12,479839424564,22006966793,465115409,2705740435,56541175,482545164999
