,rzmre,rzye,rqmcl,rqyl,rqye,rzrqye,opDate
0,38277263968,329575457077,290786402,328745900,2217097425,331792554502,2015-01-05
0,37065808766,330337451354,234959735,336234242,2275278509,332612729863,2015-01-06
0,30805638905,333570682580,204113638,342875246,2340163403,335910845983,2015-01-07
0,28316028226,334537113612,209058725,324338597,2248088027,336785201639,2015-01-08
0,29236879032,334096183516,261141219,300986514,2076584482,336172767998,2015-01-09
0,24331316036,336071465357,234181290,286924013,1985929255,338057394612,2015-01-12
0,22634216323,337225655535,246749378,284409172,1968502622,339194158157,2015-01-13
0,23342662784,341201284890,225359998,275175916,1885368528,343086653418,2015-01-14
0,23670699950,343792509454,250484696,286478745,1960122114,345752631568,2015-01-15
0,29221750218,344702543733,231980680,299066189,2021372924,346723916657,2015-01-16
0,31304297213,340806323416,234662006,246894127,1670336448,342476659864,2015-01-19
0,31398009953,340126356514,336107596,259622924,1781817717,341908174231,2015-01-20
0,38564665690,341025863121,386802664,305343266,2097482947,343123346068,2015-01-21
0,35282495509,344239309794,305167079,324206632,2215205369,346454515163,2015-01-22
0,34841262077,345978090123,248725551,317300913,2122592943,348100683066,2015-01-23
0,31920558738,348777876608,288242119,338834870,2257850624,351035727232,2015-01-26
0,35437544742,350754154067,249811362,318630344,2147278973,352901433040,2015-01-27
0,29225212133,351851747816,244789757,303573505,2053256497,353905004313,2015-01-28
0,24539193611,352732777953,273910756,290243130,1972118240,354704896193,2015-01-29
0,24095669842,351955320963,238686387,276848034,1879167301,353834488264,2015-01-30
0,21344037815,352561010716,213413158,252855955,1756294688,354317305404,2015-02-02
0,25631316321,352958981329,256240585,276127733,1900281199,354859262528,2015-02-03
0,28895466563,354705059515,277211245,274178384,1881711629,356586771144,2015-02-04
0,35743098208,357390541396,306153041,272193497,1831424701,359221966097,2015-02-05
0,26222898191,358519133183,276209853,239049040,1601486889,360120620072,2015-02-06
0,23153875152,361064738115,374575849,230612824,1563247989,362627986104,2015-02-09
0,23874968775,366237990662,333712665,230048820,1583915766,367821906428,2015-02-10
0,26694491460,368845039520,269864795,229244488,1610231794,370455271314,2015-02-11
0,26286269049,368826323472,222629340,227482806,1605529923,370431853395,2015-02-12
0,31880587339,360003378069,282465937,229505421,1643148312,361646526381,2015-02-13
0,35912607418,359694721711,269441277,242116004,1725771717,361420493428,2015-02-16
0,31013959715,352316072724,172001322,231361782,1679482887,353995555611,2015-02-17
0,37884632567,364632460913,215292471,246703315,1778216882,366410677795,2015-02-25
0,34216148792,368651595358,250854806,264214864,1892189423,370543784781,2015-02-26
0,37019956379,371532933772,237175728,263062701,1909555786,373442489558,2015-02-27
0,50204155827,379682012989,364993497,277649739,2043880922,381725893911,2015-03-02
0,51158018793,387698010985,321906050,262309664,1945233104,389643244089,2015-03-03
0,42690922863,393446997427,339268584,278736213,2026477899,395473475326,2015-03-04
0,44225720686,399795847200,341343600,264907608,1966640873,401762488073,2015-03-05
0,38284855895,402334159659,351725197,249381236,1855284739,404189444398,2015-03-06
0,35150008533,406795907407,399289922,241173474,1800104570,408596011977,2015-03-09
0,41198368628,413963887171,429948612,226608594,1729680246,415693567417,2015-03-10
0,39828994953,422017577470,399421741,215420060,1607738035,423625315505,2015-03-11
0,42983488621,430130407909,359215537,221427662,1636224538,431766632447,2015-03-12
0,37807633718,431586133514,317434825,225945311,1672140493,433258274007,2015-03-13
0,51817200508,430037375813,438957290,268341650,1971019595,432008395408,2015-03-16
0,61492982750,432620976886,443646862,273539023,2081796516,434702773402,2015-03-17
0,61433866336,439079318940,443850638,290072802,2229156054,441308474994,2015-03-18
0,58208444120,445156834921,307707743,281311862,2185054379,447341889300,2015-03-19
0,62900138777,449976925205,393858548,304350559,2301310757,452278235962,2015-03-20
0,66646329157,456468114455,392789862,321474072,2461658730,458929773185,2015-03-23
0,79907649786,465149520648,390946343,312335439,2424227164,467573747812,2015-03-24
0,72150523501,475561580264,370579663,314743397,2453452221,478015032485,2015-03-25
0,64379996644,480092915137,396144870,324099949,2457863759,482550778896,2015-03-26
0,49474009451,484087216047,342580626,334795365,2558214628,486645430675,2015-03-27
0,61710664790,489166892146,373054952,356576053,2729213200,491896105346,2015-03-30
0,68420906330,493765560657,393155982,338886850,2628145327,496393705984,2015-03-31
0,66032640455,502453651639,443562681,364316957,2857234816,505310886455,2015-04-01
0,71263078124,509988379711,420837622,368945154,2870700924,512859080635,2015-04-02
0,72768292844,516676930961,372632372,381957722,2977171835,519654102796,2015-04-03
0,76411247986,527220275303,426168950,397736318,3121859985,530342135288,2015-04-07
0,80029308212,534127452357,445994387,387788700,3034345778,537161798135,2015-04-08
0,76120386757,542269865845,476544087,365528545,2852037480,545121903325,2015-04-09
0,65937150651,549425865491,450801200,373732017,2973504472,552399369963,2015-04-10
0,72802345092,559273638521,468240947,363008446,2932318981,562205957502,2015-04-13
0,69349225871,566988822226,491757530,344502232,2808226817,569797049043,2015-04-14
0,65204872955,575375934708,432041797,335933076,2616345990,577992280698,2015-04-15
0,54538805711,580313399643,429185996,341914406,2724163171,583037562814,2015-04-16
0,70769195200,575980304237,504722331,356680372,2843849931,578824154168,2015-04-17
0,78017172912,573835282051,498586432,348021544,2742050269,576577332320,2015-04-20
0,68385035141,576547480301,538328897,360746047,2950727296,579498207597,2015-04-21
0,79322143124,579014805811,486271237,373347999,3138872016,582153677827,2015-04-22
0,81592776204,583954018000,473751321,371342955,3123824480,587077842480,2015-04-23
0,76169130205,588116857679,427961969,369574380,3052072824,591168930503,2015-04-24
0,75863303973,595346164786,495880929,382235136,3196091290,598542256076,2015-04-27
0,74649207663,597896481649,409616365,361059164,3005907060,600902388709,2015-04-28
0,65407486554,604040735304,496015480,371173804,3087185923,607127921227,2015-04-29
0,65134586611,606682432092,390758142,368361389,3017240033,609699672125,2015-04-30
0,59481464470,615989564964,401255695,373377992,3040818126,619030383090,2015-05-04
0,64816633651,624593202195,465593669,316980824,2539901865,627133104060,2015-05-05
0,60906907976,631054246062,512732447,303481684,2413249355,633467495417,2015-05-06
0,46405705807,634109844230,433799512,267809433,2172420457,636282264687,2015-05-07
0,53164484221,629920926522,404161650,266275976,2265422560,632186349082,2015-05-08
0,75294385738,634800787585,542479694,325349942,2749431056,637550218641,2015-05-11
0,78369189860,638556990053,428842507,340728490,2903865717,641460855770,2015-05-12
