,code,name,date,count,ratio
0,002279,久其软件,2017-05-31,1231.59,1.75
1,300226,上海钢联,2017-05-31,103.12,0.65
2,300297,蓝盾股份,2017-05-31,2963.55,2.52
3,600157,永泰能源,2017-05-31,123115.58,9.91
4,002726,龙大肉食,2017-05-30,414.00,0.93
5,002800,天顺股份,2017-05-30,1919.00,25.70
6,300296,利亚德,2017-05-30,2753.07,1.69
7,300513,恒泰实达,2017-05-30,2627.20,34.50
8,600538,国发股份,2017-05-30,18518.52,39.88
9,601198,东兴证券,2017-05-30,10000.00,3.63
10,000035,中国天楹,2017-05-29,42695.61,34.47
11,002076,雪莱特,2017-05-29,186.45,0.51
12,002132,恒星科技,2017-05-29,402.33,0.32
13,002340,格林美,2017-05-29,6474.00,1.70
14,300299,富春股份,2017-05-29,2204.62,5.80
15,300319,麦捷科技,2017-05-29,184.86,0.79
16,600380,健康元,2017-05-29,1027.90,0.65
17,600477,杭萧钢构,2017-05-29,1227.79,1.16
18,600999,招商证券,2017-05-29,18972.71,2.83
19,000078,海王生物,2017-05-28,1560.00,0.59
20,002369,卓翼科技,2017-05-28,391.33,0.67
21,300027,华谊兄弟,2017-05-28,3063.36,1.10
22,300231,银信科技,2017-05-28,57.66,0.17
23,300279,和晶科技,2017-05-28,1052.63,6.57
24,300465,高伟达,2017-05-28,1326.40,2.93
25,002178,延华智能,2017-05-27,764.08,1.05
26,002745,木林森,2017-05-27,8382.79,15.87
27,300190,维尔利,2017-05-27,6000.00,14.70
28,300468,四方精创,2017-05-27,910.69,8.64
29,603885,吉祥航空,2017-05-27,2100.00,1.64
30,603998,方盛制药,2017-05-27,195.25,0.45
31,002035,华帝股份,2017-05-26,171.60,0.47
32,002077,大港股份,2017-05-26,4620.69,7.96
33,300512,中亚股份,2017-05-26,1070.00,3.96
34,002157,正邦科技,2017-05-25,741.60,0.32
35,002558,世纪游轮,2017-05-25,15957.45,9.46
36,002671,龙泉股份,2017-05-25,1356.62,2.85
37,300124,汇川技术,2017-05-25,258.48,0.15
38,300166,东方国信,2017-05-25,291.45,0.44
39,300370,安控科技,2017-05-25,1044.45,1.09
40,300389,艾比森,2017-05-25,9.99,0.03
41,600410,华胜天成,2017-05-25,147.42,0.13
42,600811,东方集团,2017-05-25,85125.10,29.79
43,002798,帝王洁具,2017-05-24,1068.37,12.37
44,002458,益生股份,2017-05-23,140.15,0.42
45,002708,光洋股份,2017-05-23,1929.10,4.11
46,600019,宝钢股份,2017-05-23,1130.67,0.05
47,300036,超图软件,2017-05-22,25.92,0.06
48,300193,佳士科技,2017-05-22,573.06,1.13
49,002063,远光软件,2017-05-21,1.48,0.00
50,300195,长荣股份,2017-05-21,3647.10,8.41
51,300058,蓝色光标,2017-05-20,229.45,0.11
52,300138,晨光生物,2017-05-20,111.26,0.42
53,300301,长方集团,2017-05-20,10000.00,12.66
54,600090,同济堂,2017-05-20,33478.03,23.25
55,603686,龙马环卫,2017-05-20,169.50,0.62
56,002239,奥特佳,2017-05-19,6380.08,5.71
57,002317,众生药业,2017-05-19,641.04,0.79
58,002670,国盛金控,2017-05-19,36479.03,24.36
59,300194,福安药业,2017-05-19,907.96,0.76
60,300233,金城医药,2017-05-19,29.20,0.07
61,300410,正业科技,2017-05-19,1808.90,9.18
62,603339,四方冷链,2017-05-19,510.00,2.43
63,000676,智度股份,2017-05-18,248.04,0.26
64,000997,新大陆,2017-05-18,100.80,0.11
65,300218,安利股份,2017-05-18,4752.00,21.90
66,300243,瑞丰高材,2017-05-18,71.23,0.34
67,300247,乐金健康,2017-05-18,200.00,0.25
68,300248,新开普,2017-05-18,1100.92,3.39
69,600211,西藏药业,2017-05-18,3148.00,17.53
70,603898,好莱客,2017-05-18,177.00,0.59
71,000420,吉林化纤,2017-05-17,35000.00,17.76
72,002174,游族网络,2017-05-17,54741.64,63.56
73,300059,东方财富,2017-05-17,24640.66,5.77
74,300157,恒泰艾普,2017-05-17,3206.31,4.50
75,300166,东方国信,2017-05-17,7848.13,11.96
76,300231,银信科技,2017-05-17,309.78,0.90
77,603959,百利科技,2017-05-17,5040.00,22.50
78,002092,中泰化学,2017-05-16,30510.56,14.21
79,002390,信邦制药,2017-05-16,9474.33,5.56
80,002516,旷达科技,2017-05-16,2954.75,1.97
81,002609,捷顺科技,2017-05-16,11.89,0.02
82,300219,鸿利智汇,2017-05-16,286.96,0.43
83,300318,博晖创新,2017-05-16,195.42,0.24
84,300460,惠伦晶体,2017-05-16,883.36,5.25
85,300468,四方精创,2017-05-16,117.09,1.11
86,300497,富祥股份,2017-05-16,161.49,1.44
87,600380,健康元,2017-05-16,68.00,0.04
88,603779,威龙股份,2017-05-16,4240.58,21.18
89,002004,华邦健康,2017-05-15,12730.69,6.26
90,002071,长城影视,2017-05-15,19011.53,36.18
91,002263,大东南,2017-05-15,4125.00,2.20
92,002327,富安娜,2017-05-15,350.38,0.40
93,002364,中恒电气,2017-05-15,30.00,0.05
94,300048,合康新能,2017-05-15,1737.93,2.21
95,300279,和晶科技,2017-05-15,829.93,5.18
96,300297,蓝盾股份,2017-05-15,156.20,0.13
97,300414,中光防雷,2017-05-15,1813.00,10.61
98,300455,康拓红外,2017-05-15,1050.00,3.75
99,600346,恒力股份,2017-05-15,25157.23,8.90
100,600589,广东榕泰,2017-05-15,2535.54,3.60
101,600770,综艺股份,2017-05-15,19540.00,15.03
102,603601,再升科技,2017-05-15,5703.13,14.77
103,300104,乐视网,2017-05-14,1171.80,0.59
104,600051,宁波联合,2017-05-14,339.20,1.09
105,002191,劲嘉股份,2017-05-13,65.87,0.05
106,002249,大洋电机,2017-05-13,62.06,0.03
107,002372,伟星新材,2017-05-13,912.60,0.91
108,300045,华力创通,2017-05-13,217.20,0.39
109,300319,麦捷科技,2017-05-13,15.64,0.07
110,000038,深大通,2017-05-12,101.15,0.31
111,002196,方正电机,2017-05-12,200.81,0.76
112,002527,新时达,2017-05-12,312.10,0.50
113,002657,中科金财,2017-05-12,1861.69,5.51
114,300133,华策影视,2017-05-12,3229.47,1.85
115,300158,振东制药,2017-05-12,247.80,0.48
116,300286,安科瑞,2017-05-12,130.10,0.91
117,300316,晶盛机电,2017-05-12,85.47,0.09
118,300355,蒙草生态,2017-05-12,2770.05,2.76
119,300363,博腾股份,2017-05-12,108.73,0.26
120,600198,大唐电信,2017-05-12,3077.42,3.49
121,600566,济川药业,2017-05-12,2816.93,3.48
122,002797,第一创业,2017-05-11,98003.06,44.77
123,300026,红日药业,2017-05-11,1713.69,0.57
124,300040,九洲电气,2017-05-11,224.28,0.65
125,300433,蓝思科技,2017-05-11,16152.28,7.40
126,600200,江苏吴中,2017-05-11,141.00,0.19
127,600652,游久游戏,2017-05-11,3099.34,3.72
128,603885,吉祥航空,2017-05-11,14758.11,11.50
129,000529,广弘控股,2017-05-10,268.66,0.46
130,002080,中材科技,2017-05-10,21729.83,26.93
131,002092,中泰化学,2017-05-10,40553.35,18.89
132,002392,北京利尔,2017-05-10,8261.65,6.89
133,002421,达实智能,2017-05-10,945.44,0.49
134,002642,荣之联,2017-05-10,9312.91,14.65
135,002712,思美传媒,2017-05-10,272.25,0.86
136,002796,世嘉科技,2017-05-10,991.50,12.39
137,300004,南风股份,2017-05-10,1413.99,2.78
138,300043,星辉娱乐,2017-05-10,9730.47,7.82
139,300287,飞利信,2017-05-10,20446.26,14.25
140,300342,天银机电,2017-05-10,1790.89,4.19
141,300496,中科创达,2017-05-10,358.96,0.89
142,600217,中再资环,2017-05-10,2821.50,2.00
143,601222,林洋能源,2017-05-10,31942.63,18.11
144,300051,三五互联,2017-05-09,1311.23,3.55
145,300272,开能环保,2017-05-09,19.01,0.06
146,300335,迪森股份,2017-05-09,75.33,0.21
147,300343,联创互联,2017-05-09,6570.39,11.13
148,300353,东土科技,2017-05-09,1999.19,3.87
149,300451,创业软件,2017-05-09,874.00,3.60
150,600138,中青旅,2017-05-09,2112.18,2.92
151,600565,迪马股份,2017-05-09,87365.94,36.12
152,000887,中鼎股份,2017-05-08,9920.20,8.04
153,002335,科华恒盛,2017-05-08,4147.29,15.30
154,002516,旷达科技,2017-05-08,68582.15,45.62
155,002614,蒙发利,2017-05-08,802.78,1.45
156,002654,万润科技,2017-05-08,3653.53,4.41
157,300510,金冠电气,2017-05-08,4595.00,26.43
158,603101,汇嘉时代,2017-05-08,1200.00,5.00
159,000166,申万宏源,2017-05-05,13905.00,0.69
160,000816,智慧农业,2017-05-05,24750.00,17.44
161,002251,步步高,2017-05-05,3157.19,3.65
162,002334,英威腾,2017-05-05,1170.88,1.55
163,002517,恺英网络,2017-05-05,297.00,0.41
164,002607,亚夏汽车,2017-05-05,9881.42,21.68
165,300159,新研股份,2017-05-05,4961.05,3.33
166,300224,正海磁材,2017-05-05,1286.15,1.54
167,300338,开元股份,2017-05-05,7.02,0.02
168,300507,苏奥传感,2017-05-05,2115.20,31.73
169,600590,泰豪科技,2017-05-05,826.95,1.24
170,000501,鄂武商A,2017-05-04,718.64,1.21
171,300269,联建光电,2017-05-04,2412.50,3.93
172,300270,中威电子,2017-05-04,341.66,1.25
173,300456,耐威科技,2017-05-04,60.00,0.32
174,300511,雪榕生物,2017-05-04,5089.80,33.93
175,600497,驰宏锌锗,2017-05-04,54919.96,12.74
176,600499,科达洁能,2017-05-04,3399.09,2.41
177,600807,天业股份,2017-05-04,840.00,0.95
178,603158,腾龙股份,2017-05-04,200.24,0.92
179,603528,多伦科技,2017-05-03,1085.00,5.25
180,603766,隆鑫通用,2017-05-03,532.63,0.63
181,000100,TCL集团,2017-05-02,12455.34,1.02
182,300144,宋城演艺,2017-05-02,232.41,0.16
183,300434,金石东方,2017-05-02,2179.74,16.03
