,code,name,date,weight
0,600874,创业环保,2017-04-05,0.09
1,600970,中材国际,2017-04-05,0.28
2,000401,冀东水泥,2017-04-05,0.25
3,002342,巨力索具,2017-04-05,0.14
4,600125,铁龙物流,2017-04-05,0.22
5,002325,洪涛股份,2017-04-05,0.15
6,002051,中工国际,2017-04-05,0.26
7,601000,唐山港,2017-04-05,0.27
8,002371,北方华创,2017-04-05,0.13
9,600516,方大炭素,2017-04-05,0.23
10,002460,赣锋锂业,2017-04-05,0.57
11,002217,合力泰,2017-04-05,0.22
12,002410,广联达,2017-04-05,0.25
13,002038,双鹭药业,2017-04-05,0.26
14,000600,建投能源,2017-04-05,0.17
15,002572,索菲亚,2017-04-05,0.46
16,600717,天津港,2017-04-05,0.26
17,002508,老板电器,2017-04-05,0.43
18,601002,晋亿实业,2017-04-05,0.13
19,000050,深天马Ａ,2017-04-05,0.24
20,000970,中科三环,2017-04-05,0.32
21,000418,小天鹅Ａ,2017-04-05,0.22
22,603025,大豪科技,2017-04-05,0.04
23,002353,杰瑞股份,2017-04-05,0.25
24,600435,北方导航,2017-04-05,0.31
25,002056,横店东磁,2017-04-05,0.16
26,600487,亨通光电,2017-04-05,0.55
27,000959,首钢股份,2017-04-05,0.3
28,000680,山推股份,2017-04-05,0.18
29,600765,中航重机,2017-04-05,0.18
30,002332,仙琚制药,2017-04-05,0.12
31,002439,启明星辰,2017-04-05,0.3
32,300001,特锐德,2017-04-05,0.16
33,002271,东方雨虹,2017-04-05,0.37
34,600017,日照港,2017-04-05,0.2
35,600335,国机汽车,2017-04-05,0.1
36,600298,安琪酵母,2017-04-05,0.21
37,002581,未名医药,2017-04-05,0.16
38,000786,北新建材,2017-04-05,0.3
39,002340,格林美,2017-04-05,0.42
40,000028,国药一致,2017-04-05,0.28
41,000400,许继电气,2017-04-05,0.27
42,002431,棕榈股份,2017-04-05,0.22
43,002233,塔牌集团,2017-04-05,0.1
44,601801,皖新传媒,2017-04-05,0.16
45,600266,北京城建,2017-04-05,0.37
46,300113,顺网科技,2017-04-05,0.26
47,600259,广晟有色,2017-04-05,0.16
48,002238,天威视讯,2017-04-05,0.07
49,000006,深振业Ａ,2017-04-05,0.19
50,600056,中国医药,2017-04-05,0.31
51,000877,天山股份,2017-04-05,0.23
52,600291,西水股份,2017-04-05,0.12
53,000519,中兵红箭,2017-04-05,0.23
54,600859,王府井,2017-04-05,0.12
55,600967,内蒙一机,2017-04-05,0.26
56,002573,清新环境,2017-04-05,0.31
57,601689,拓普集团,2017-04-05,0.16
58,600183,生益科技,2017-04-05,0.24
59,600729,重庆百货,2017-04-05,0.16
60,300156,神雾环保,2017-04-05,0.52
61,300287,飞利信,2017-04-05,0.19
62,000049,德赛电池,2017-04-05,0.16
63,000513,丽珠集团,2017-04-05,0.2
64,601231,环旭电子,2017-04-05,0.19
65,000897,津滨发展,2017-04-05,0.16
66,600416,湘电股份,2017-04-05,0.24
67,601012,隆基股份,2017-04-05,0.46
68,600528,中铁工业,2017-04-05,0.38
69,600872,中炬高新,2017-04-05,0.22
70,002405,四维图新,2017-04-05,0.45
71,600392,盛和资源,2017-04-05,0.2
