,code,name
0,300001,特锐德
1,300002,神州泰岳
2,300003,乐普医疗
3,300004,南风股份
4,300005,探路者
5,300006,莱美药业
6,300007,汉威电子
7,300008,天海防务
8,300009,安科生物
9,300010,立思辰
10,300011,鼎汉技术
11,300012,华测检测
12,300013,新宁物流
13,300014,亿纬锂能
14,300015,爱尔眼科
15,300016,北陆药业
16,300017,网宿科技
17,300018,中元股份
18,300019,硅宝科技
19,300020,银江股份
20,300021,大禹节水
21,300022,吉峰农机
22,300023,宝德股份
23,300024,机器人
24,300025,华星创业
25,300026,红日药业
26,300027,华谊兄弟
27,300028,金亚科技
28,300029,天龙光电
29,300030,阳普医疗
30,300031,宝通科技
31,300032,金龙机电
32,300033,同花顺
33,300034,钢研高纳
34,300035,中科电气
35,300036,超图软件
36,300037,新宙邦
37,300038,梅泰诺
38,300039,上海凯宝
39,300040,九洲电气
40,300041,回天新材
41,300042,朗科科技
42,300043,星辉娱乐
43,300044,赛为智能
44,300045,华力创通
45,300046,台基股份
46,300047,天源迪科
47,300048,合康新能
48,300049,福瑞股份
49,300050,世纪鼎利
50,300051,三五互联
51,300052,中青宝
52,300053,欧比特
53,300054,鼎龙股份
54,300055,万邦达
55,300056,三维丝
56,300057,万顺股份
57,300058,蓝色光标
58,300059,东方财富
59,300061,康耐特
60,300062,中能电气
61,300063,天龙集团
62,300064,豫金刚石
63,300065,海兰信
64,300066,三川智慧
65,300067,安诺其
66,300068,南都电源
67,300069,金利华电
68,300070,碧水源
69,300071,华谊嘉信
70,300072,三聚环保
71,300073,当升科技
72,300074,华平股份
73,300075,数字政通
74,300076,GQY视讯
75,300077,国民技术
76,300078,思创医惠
77,300079,数码视讯
78,300080,易成新能
79,300081,恒信移动
80,300082,奥克股份
81,300083,劲胜精密
82,300084,海默科技
83,300085,银之杰
84,300086,康芝药业
85,300087,荃银高科
86,300088,长信科技
87,300089,文化长城
88,300090,盛运环保
89,300091,金通灵
90,300092,科新机电
91,300093,金刚玻璃
92,300094,国联水产
93,300095,华伍股份
94,300096,易联众
95,300097,智云股份
96,300098,高新兴
97,300099,精准信息
98,300100,双林股份
99,300101,振芯科技
100,300102,乾照光电
101,300103,达刚路机
102,300104,乐视网
103,300105,龙源技术
104,300106,西部牧业
105,300107,建新股份
106,300108,双龙股份
107,300109,新开源
108,300110,华仁药业
109,300111,向日葵
110,300112,万讯自控
111,300113,顺网科技
112,300114,中航电测
113,300115,长盈精密
114,300116,坚瑞沃能
115,300117,嘉寓股份
116,300118,东方日升
117,300119,瑞普生物
118,300120,经纬电材
119,300121,阳谷华泰
120,300122,智飞生物
121,300123,太阳鸟
122,300124,汇川技术
123,300125,易世达
124,300126,锐奇股份
125,300127,银河磁体
126,300128,锦富技术
127,300129,泰胜风能
128,300130,新国都
129,300131,英唐智控
130,300132,青松股份
131,300133,华策影视
132,300134,大富科技
133,300135,宝利国际
134,300136,信维通信
135,300137,先河环保
136,300138,晨光生物
137,300139,晓程科技
138,300140,中环装备
139,300141,和顺电气
140,300142,沃森生物
141,300143,星河生物
142,300144,宋城演艺
143,300145,中金环境
144,300146,汤臣倍健
145,300147,香雪制药
146,300148,天舟文化
147,300149,量子高科
148,300150,世纪瑞尔
149,300151,昌红科技
150,300152,科融环境
151,300153,科泰电源
152,300154,瑞凌股份
153,300155,安居宝
154,300156,神雾环保
155,300157,恒泰艾普
156,300158,振东制药
157,300159,新研股份
158,300160,秀强股份
159,300161,华中数控
160,300162,雷曼股份
161,300163,先锋新材
162,300164,通源石油
163,300165,天瑞仪器
164,300166,东方国信
165,300167,迪威视讯
166,300168,万达信息
167,300169,天晟新材
168,300170,汉得信息
169,300171,东富龙
170,300172,中电环保
171,300173,智慧松德
172,300174,元力股份
173,300175,朗源股份
174,300176,鸿特精密
175,300177,中海达
176,300178,腾邦国际
177,300179,四方达
178,300180,华峰超纤
179,300181,佐力药业
180,300182,捷成股份
181,300183,东软载波
182,300184,力源信息
183,300185,通裕重工
184,300187,永清环保
185,300188,美亚柏科
186,300189,神农基因
187,300190,维尔利
188,300191,潜能恒信
189,300192,科斯伍德
190,300193,佳士科技
191,300194,福安药业
192,300195,长荣股份
193,300196,长海股份
194,300197,铁汉生态
195,300198,纳川股份
