,code,name,area
0,600637,东方明珠,上海
1,002561,徐家汇,上海
2,300493,润欣科技,上海
3,601727,上海电气,上海
4,600615,丰华股份,上海
5,600601,方正科技,上海
6,300067,安诺其,上海
7,600530,交大昂立,上海
8,600620,天宸股份,上海
9,601607,上海医药,上海
10,600665,天地源,上海
11,002324,普利特,上海
12,600844,*ST丹科,上海
13,603690,至纯科技,上海
14,600320,振华重工,上海
15,600655,豫园商城,上海
16,600605,汇通能源,上海
17,300336,新文化,上海
18,600834,申通地铁,上海
19,300126,锐奇股份,上海
20,300008,天海防务,上海
21,603108,润达医疗,上海
22,600635,大众公用,上海
23,600073,上海梅林,上海
24,603886,元祖股份,上海
25,601872,招商轮船,上海
26,603003,龙宇燃油,上海
27,600097,开创国际,上海
28,600676,交运股份,上海
29,603009,北特科技,上海
30,600675,中华企业,上海
31,600104,上汽集团,上海
32,300627,华测导航,上海
33,300380,安硕信息,上海
34,600663,陆家嘴,上海
35,603987,康德莱,上海
36,603515,欧普照明,上海
37,603633,徕木股份,上海
38,600630,龙头股份,上海
39,603881,数据港,上海
40,600654,*ST中安,上海
41,600653,申华控股,上海
42,603030,全筑股份,上海
43,002195,二三四五,上海
44,600741,华域汽车,上海
45,600836,界龙实业,上海
46,300551,古鳌科技,上海
47,600150,中国船舶,上海
48,600503,华丽家族,上海
49,600748,上实发展,上海
50,002605,姚记扑克,上海
51,600490,鹏欣资源,上海
52,300590,移为通信,上海
53,600688,上海石化,上海
54,600822,上海物贸,上海
55,000863,三湘印象,上海
56,601519,*ST智慧,上海
57,603022,新通联,上海
58,300642,透景生命,上海
59,300327,中颖电子,上海
60,600835,上海机电,上海
61,300168,万达信息,上海
62,600650,锦江投资,上海
63,600848,上海临港,上海
64,600643,爱建集团,上海
65,600613,神奇制药,上海
66,600636,*ST爱富,上海
67,600696,*ST匹凸,上海
68,600634,富控互动,上海
69,600532,宏达矿业,上海
70,600695,绿庭投资,上海
71,600846,同济科技,上海
72,600608,*ST沪科,上海
73,002506,协鑫集成,上海
74,300442,普丽盛,上海
75,600018,上港集团,上海
76,002162,悦心健康,上海
77,600680,*ST上普,上海
78,600845,宝信软件,上海
79,600851,海欣股份,上海
80,600618,氯碱化工,上海
81,603128,华贸物流,上海
82,600624,复旦复华,上海
83,002401,中远海科,上海
84,300129,泰胜风能,上海
85,300059,东方财富,上海
86,600841,上柴股份,上海
87,600196,复星医药,上海
88,600278,东方创业,上海
89,300017,网宿科技,上海
90,600081,东风科技,上海
91,600626,申达股份,上海
92,002184,海得控制,上海
93,600826,兰生股份,上海
94,600692,亚通股份,上海
95,002058,威 尔 泰,上海
96,601616,广电电气,上海
97,600833,第一医药,上海
98,002451,摩恩电气,上海
99,601866,中远海发,上海
100,600823,世茂股份,上海
101,002116,中国海诚,上海
102,603718,海利生物,上海
103,600649,城投控股,上海
104,300245,天玑科技,上海
105,300039,上海凯宝,上海
106,600837,海通证券,上海
107,300330,华虹计通,上海
108,002706,良信电器,上海
109,300171,东富龙,上海
110,603885,吉祥航空,上海
111,600882,广泽股份,上海
112,300508,维宏股份,上海
113,600500,中化国际,上海
114,000668,荣丰控股,上海
115,600827,百联股份,上海
116,600272,开开实业,上海
117,601231,环旭电子,上海
118,002346,柘中股份,上海
119,600628,新世界,上海
120,600517,置信电气,上海
121,600850,华东电脑,上海
122,002278,神开股份,上海
123,300180,华峰超纤,上海
124,603330,上海天洋,上海
125,600819,耀皮玻璃,上海
126,603887,城地股份,上海
127,601595,上海电影,上海
128,600284,浦东建设,上海
129,601788,光大证券,上海
130,300262,巴安水务,上海
131,600640,号百控股,上海
132,601211,国泰君安,上海
133,300226,上海钢联,上海
134,002636,金安国纪,上海
135,603012,创力集团,上海
136,603729,龙韵股份,上海
137,600838,上海九百,上海
138,603868,飞科电器,上海
139,603159,上海亚虹,上海
140,300578,会畅通讯,上海
141,603991,至正股份,上海
142,002252,上海莱士,上海
143,300286,安科瑞,上海
144,600619,海立股份,上海
145,300501,海顺新材,上海
146,600689,上海三毛,上海
147,300225,金力泰,上海
148,002527,新时达,上海
149,600623,华谊集团,上海
150,601328,交通银行,上海
151,600679,上海凤凰,上海
152,600088,中视传媒,上海
153,600824,益民集团,上海
154,600641,万业企业,上海
155,600661,新南洋,上海
156,600611,大众交通,上海
157,600170,上海建工,上海
158,300511,雪榕生物,上海
159,600638,新黄浦,上海
160,600622,嘉宝集团,上海
161,002028,思源电气,上海
162,600818,中路股份,上海
163,600612,老凤祥,上海
164,600708,光明地产,上海
165,002669,康达新材,上海
166,002825,纳尔股份,上海
167,300483,沃施股份,上海
168,600614,鹏起科技,上海
169,300222,科大智能,上海
170,300230,永利股份,上海
171,002328,新朋股份,上海
172,600648,外高桥,上海
173,600651,飞乐音响,上海
174,603232,格尔软件,上海
175,603918,金桥信息,上海
176,002568,百润股份,上海
177,600825,新华传媒,上海
178,600050,中国联通,上海
179,600000,浦发银行,上海
180,600621,华鑫股份,上海
181,600639,浦东金桥,上海
182,600604,市北高新,上海
183,600629,华建集团,上海
184,603039,泛微网络,上海
185,600652,游久游戏,上海
186,600210,紫江企业,上海
187,300326,凯利泰,上海
188,600061,国投安信,上海
189,600420,现代制药,上海
190,002565,顺灏股份,上海
191,300609,汇纳科技,上海
192,600820,隧道股份,上海
193,300613,富瀚微,上海
194,300236,上海新阳,上海
195,300272,开能环保,上海
196,600606,绿地控股,上海
197,300170,汉得信息,上海
198,002269,美邦服饰,上海
199,300469,信息发展,上海
200,600754,锦江股份,上海
201,600895,张江高科,上海
202,600732,*ST新梅,上海
203,603196,日播时尚,上海
204,603197,保隆科技,上海
205,603855,华荣股份,上海
206,601601,中国太保,上海
207,600094,大名城,上海
208,603728,鸣志电器,上海
209,002454,松芝股份,上海
210,600119,长江投资,上海
211,603501,韦尔股份,上海
212,603579,荣泰健康,上海
213,002178,延华智能,上海
214,603006,联明股份,上海
215,601200,上海环境,上海
216,300398,飞凯材料,上海
217,600171,XD上海贝,上海
218,300074,华平股份,上海
219,300462,华铭智能,上海
220,600026,中远海能,上海
221,600072,中船科技,上海
222,600021,上海电力,上海
223,600662,强生控股,上海
224,603960,克来机电,上海
225,300153,科泰电源,上海
226,601229,上海银行,上海
227,600816,安信信托,上海
228,600647,同达创业,上海
229,600151,航天机电,上海
230,600602,云赛智联,上海
231,601968,宝钢包装,上海
232,300061,康耐特,上海
233,600597,光明乳业,上海
234,600642,申能股份,上海
235,600115,东方航空,上海
236,300378,鼎捷软件,上海
237,601021,春秋航空,上海
238,002486,嘉麟杰,上海
239,603131,上海沪工,上海
240,600193,创兴资源,上海
241,603020,爱普股份,上海
242,603899,晨光文具,上海
243,600958,东方证券,上海
244,600767,*ST运盛,上海
245,600616,金枫酒业,上海
246,300253,卫宁健康,上海
247,600610,中毅达,上海
248,600508,上海能源,上海
249,603777,来伊份,上海
250,600009,上海机场,上海
251,603189,网达软件,上海
252,002022,科华生物,上海
253,603037,凯众股份,上海
254,600843,上工申贝,上海
255,002858,力盛赛车,上海
256,600315,上海家化,上海
257,002158,汉钟精机,上海
258,600019,宝钢股份,上海
259,600265,ST景谷,云南
260,002059,云南旅游,云南
261,002750,龙津药业,云南
262,000807,云铝股份,云南
263,600792,云煤能源,云南
264,002053,云南能投,云南
265,002033,丽江旅游,云南
266,300142,沃森生物,云南
267,002727,一心堂,云南
268,000903,云内动力,云南
269,600995,文山电力,云南
270,002428,云南锗业,云南
271,600459,贵研铂业,云南
272,002812,创新股份,云南
273,000878,云南铜业,云南
274,600883,博闻科技,云南
275,000560,昆百大Ａ,云南
276,600422,昆药集团,云南
277,300505,川金诺,云南
278,600096,云天化,云南
279,002200,云投生态,云南
280,000948,南天信息,云南
281,002265,西仪股份,云南
282,000667,美好置业,云南
283,002114,罗平锌电,云南
284,601099,太平洋,云南
285,600725,ST云维,云南
286,600497,驰宏锌锗,云南
287,000960,锡业股份,云南
288,600239,云南城投,云南
289,600806,*ST昆机,云南
290,000538,云南白药,云南
291,000975,银泰资源,内蒙
292,600988,赤峰黄金,内蒙
293,000426,兴业矿业,内蒙
294,600887,伊利股份,内蒙
295,000611,*ST天首,内蒙
296,300049,福瑞股份,内蒙
297,600295,鄂尔多斯,内蒙
298,600291,西水股份,内蒙
299,002128,露天煤业,内蒙
300,300355,蒙草生态,内蒙
301,002688,金河生物,内蒙
302,600201,生物股份,内蒙
303,600277,亿利洁能,内蒙
304,000683,远兴能源,内蒙
305,300239,东宝生物,内蒙
306,600863,内蒙华电,内蒙
307,600328,兰太实业,内蒙
308,600010,包钢股份,内蒙
309,000780,*ST平能,内蒙
310,600111,北方稀土,内蒙
311,600967,内蒙一机,内蒙
312,600191,华资实业,内蒙
313,600091,ST明科,内蒙
314,600262,北方股份,内蒙
315,601216,君正集团,内蒙
316,300204,舒泰神,北京
317,000620,新华联,北京
318,300010,立思辰,北京
319,600980,北矿科技,北京
320,000931,中 关 村,北京
321,300058,蓝色光标,北京
322,601818,光大银行,北京
323,600271,航天信息,北京
324,300287,飞利信,北京
325,600405,动力源,北京
