,code,name,c_name
0,600196,复星医药,免疫治疗
1,600267,海正药业,免疫治疗
2,600568,中珠医疗,免疫治疗
3,600572,康恩贝,免疫治疗
4,600645,中源协和,免疫治疗
5,600851,海欣股份,免疫治疗
6,000504,*ST生物,免疫治疗
7,000516,国际医学,免疫治疗
8,000806,银河生物,免疫治疗
9,002038,双鹭药业,免疫治疗
10,002399,海普瑞,免疫治疗
11,002605,姚记扑克,免疫治疗
12,300009,安科生物,免疫治疗
13,300016,北陆药业,免疫治疗
14,300030,阳普医疗,免疫治疗
15,300147,香雪制药,免疫治疗
16,300181,佐力药业,免疫治疗
17,300238,冠昊生物,免疫治疗
18,300272,开能环保,免疫治疗
19,300273,和佳股份,免疫治疗
20,300294,博雅生物,免疫治疗
21,600008,首创股份,雄安新区
22,600135,乐凯胶片,雄安新区
23,600149,*ST坊展,雄安新区
24,600155,宝硕股份,雄安新区
25,600230,沧州大化,雄安新区
26,600246,万通地产,雄安新区
27,600266,北京城建,雄安新区
28,600340,华夏幸福,雄安新区
29,600376,首开股份,雄安新区
30,600463,空港股份,雄安新区
31,600480,凌云股份,雄安新区
32,600482,中国动力,雄安新区
33,600550,保变电气,雄安新区
34,600717,天津港,雄安新区
35,600722,金牛化工,雄安新区
36,600787,中储股份,雄安新区
37,601000,唐山港,雄安新区
38,601258,庞大集团,雄安新区
39,601633,长城汽车,雄安新区
40,601992,金隅股份,雄安新区
41,603616,韩建河山,雄安新区
42,603969,银龙股份,雄安新区
43,000401,冀东水泥,雄安新区
44,000600,建投能源,雄安新区
45,000615,京汉股份,雄安新区
46,000638,万方发展,雄安新区
47,000687,华讯方舟,雄安新区
48,000709,河钢股份,雄安新区
49,000786,北新建材,雄安新区
50,000856,冀东装备,雄安新区
51,000897,津滨发展,雄安新区
52,000916,华北高速,雄安新区
53,000923,河北宣工,雄安新区
54,000958,东方能源,雄安新区
55,000959,首钢股份,雄安新区
56,002108,沧州明珠,雄安新区
57,002146,荣盛发展,雄安新区
58,002342,巨力索具,雄安新区
59,002431,棕榈股份,雄安新区
60,002457,青龙管业,雄安新区
61,002477,雏鹰农牧,雄安新区
62,002542,中化岩土,雄安新区
63,002616,长青集团,雄安新区
64,002691,冀凯股份,雄安新区
65,300075,数字政通,雄安新区
66,300107,建新股份,雄安新区
67,300117,嘉寓股份,雄安新区
68,300137,先河环保,雄安新区
