,code,name,date,weight
0,600008,首创股份,2017-04-05,0.12
1,000651,格力电器,2017-04-05,1.55
2,600340,华夏幸福,2017-04-05,0.27
3,601021,春秋航空,2017-04-05,0.09
4,600685,中船防务,2017-04-05,0.12
5,600068,葛洲坝,2017-04-05,0.34
6,300002,神州泰岳,2017-04-05,0.14
7,300072,三聚环保,2017-04-05,0.38
8,300146,汤臣倍健,2017-04-05,0.08
9,000778,新兴铸管,2017-04-05,0.13
10,600150,中国船舶,2017-04-05,0.2
11,600089,特变电工,2017-04-05,0.38
12,000002,万 科Ａ,2017-04-05,1.43
13,600690,青岛海尔,2017-04-05,0.38
14,000568,泸州老窖,2017-04-05,0.3
15,000063,中兴通讯,2017-04-05,0.42
16,000709,河钢股份,2017-04-05,0.17
17,601669,中国电建,2017-04-05,0.35
18,002466,天齐锂业,2017-04-05,0.29
19,000413,东旭光电,2017-04-05,0.23
20,002450,康得新,2017-04-05,0.49
21,601857,中国石油,2017-04-05,0.4
22,300070,碧水源,2017-04-05,0.34
23,000338,潍柴动力,2017-04-05,0.29
24,601611,中国核建,2017-04-05,0.09
25,002146,荣盛发展,2017-04-05,0.13
26,000963,华东医药,2017-04-05,0.23
27,000156,华数传媒,2017-04-05,0.1
28,600352,浙江龙盛,2017-04-05,0.22
29,601933,永辉超市,2017-04-05,0.23
30,002142,宁波银行,2017-04-05,0.37
31,601618,中国中冶,2017-04-05,0.3
32,000858,五 粮 液,2017-04-05,0.84
33,000333,美的集团,2017-04-05,1.53
34,000768,中航飞机,2017-04-05,0.35
35,300059,东方财富,2017-04-05,0.33
36,000423,东阿阿胶,2017-04-05,0.35
37,000538,云南白药,2017-04-05,0.45
38,600029,南方航空,2017-04-05,0.29
39,600837,海通证券,2017-04-05,1.22
40,002202,金风科技,2017-04-05,0.26
41,001979,招商蛇口,2017-04-05,0.44
42,600208,新湖中宝,2017-04-05,0.17
43,601111,中国国航,2017-04-05,0.17
44,600873,梅花生物,2017-04-05,0.15
45,300033,同花顺,2017-04-05,0.14
46,600028,中国石化,2017-04-05,0.63
47,601877,正泰电器,2017-04-05,0.09
48,600332,白云山,2017-04-05,0.16
49,300144,宋城演艺,2017-04-05,0.12
50,600795,国电电力,2017-04-05,0.4
51,300124,汇川技术,2017-04-05,0.22
52,601009,南京银行,2017-04-05,0.45
53,601668,中国建筑,2017-04-05,1.46
54,601006,大秦铁路,2017-04-05,0.47
55,601901,方正证券,2017-04-05,0.36
56,601998,中信银行,2017-04-05,0.21
57,601800,中国交建,2017-04-05,0.29
58,600383,金地集团,2017-04-05,0.26
59,600104,上汽集团,2017-04-05,0.91
60,601186,中国铁建,2017-04-05,0.64
61,600023,浙能电力,2017-04-05,0.24
62,600036,招商银行,2017-04-05,2.01
63,600066,宇通客车,2017-04-05,0.3
64,601727,上海电气,2017-04-05,0.27
65,601928,凤凰传媒,2017-04-05,0.08
66,300015,爱尔眼科,2017-04-05,0.13
67,600498,烽火通信,2017-04-05,0.13
68,601607,上海医药,2017-04-05,0.27
69,601766,中国中车,2017-04-05,1.06
70,600886,国投电力,2017-04-05,0.31
71,600018,上港集团,2017-04-05,0.2
72,600376,首开股份,2017-04-05,0.14
73,600674,川投能源,2017-04-05,0.2
74,601169,北京银行,2017-04-05,1.23
75,600741,华域汽车,2017-04-05,0.23
76,000738,航发控制,2017-04-05,0.12
77,601988,中国银行,2017-04-05,0.79
78,600688,上海石化,2017-04-05,0.15
79,600038,中直股份,2017-04-05,0.12
80,601018,宁波港,2017-04-05,0.23
81,600415,小商品城,2017-04-05,0.22
82,600115,东方航空,2017-04-05,0.21
83,600959,江苏有线,2017-04-05,0.17
84,601216,君正集团,2017-04-05,0.13
85,601390,中国中铁,2017-04-05,0.7
86,600309,万华化学,2017-04-05,0.33
87,600276,恒瑞医药,2017-04-05,0.79
88,601939,建设银行,2017-04-05,0.41
89,002304,洋河股份,2017-04-05,0.54
90,600297,广汇汽车,2017-04-05,0.16
91,600820,隧道股份,2017-04-05,0.21
92,601166,兴业银行,2017-04-05,2.23
93,600153,建发股份,2017-04-05,0.19
94,600606,绿地控股,2017-04-05,0.2
95,600000,浦发银行,2017-04-05,1.43
96,002027,分众传媒,2017-04-05,0.08
97,600648,外高桥,2017-04-05,0.08
98,601633,长城汽车,2017-04-05,0.17
99,600900,长江电力,2017-04-05,0.9
100,600867,通化东宝,2017-04-05,0.21
101,601118,海南橡胶,2017-04-05,0.09
102,600887,伊利股份,2017-04-05,1.18
103,000728,国元证券,2017-04-05,0.26
104,601555,东吴证券,2017-04-05,0.27
105,601288,农业银行,2017-04-05,1.31
106,600021,上海电力,2017-04-05,0.11
107,601888,中国国旅,2017-04-05,0.29
108,000425,徐工机械,2017-04-05,0.18
109,601718,际华集团,2017-04-05,0.14
110,002299,圣农发展,2017-04-05,0.08
111,000776,广发证券,2017-04-05,0.53
112,600999,招商证券,2017-04-05,0.39
113,000008,神州高铁,2017-04-05,0.08
114,600704,物产中大,2017-04-05,0.13
115,000671,阳 光 城,2017-04-05,0.09
116,603993,洛阳钼业,2017-04-05,0.21
117,002008,大族激光,2017-04-05,0.24
118,600061,国投安信,2017-04-05,0.17
119,601155,新城控股,2017-04-05,0.15
120,600009,上海机场,2017-04-05,0.3
121,000069,华侨城Ａ,2017-04-05,0.25
122,601989,中国重工,2017-04-05,0.71
123,002415,海康威视,2017-04-05,0.6
124,601211,国泰君安,2017-04-05,0.87
125,601398,工商银行,2017-04-05,1.07
126,600518,康美药业,2017-04-05,0.57
127,600196,复星医药,2017-04-05,0.29
128,000783,长江证券,2017-04-05,0.34
129,600037,歌华有线,2017-04-05,0.11
130,002236,大华股份,2017-04-05,0.24
131,601788,光大证券,2017-04-05,0.31
132,601688,华泰证券,2017-04-05,0.58
133,002310,东方园林,2017-04-05,0.19
134,600016,民生银行,2017-04-05,2.06
135,600519,贵州茅台,2017-04-05,2.01
136,600015,华夏银行,2017-04-05,0.62
137,601198,东兴证券,2017-04-05,0.21
138,600170,上海建工,2017-04-05,0.18
139,002024,苏宁云商,2017-04-05,0.42
140,000876,新 希 望,2017-04-05,0.17
141,601225,陕西煤业,2017-04-05,0.13
142,600754,锦江股份,2017-04-05,0.05
143,601601,中国太保,2017-04-05,0.89
144,600085,同仁堂,2017-04-05,0.18
145,600585,海螺水泥,2017-04-05,0.44
146,000001,平安银行,2017-04-05,0.81
147,000039,中集集团,2017-04-05,0.13
148,600705,中航资本,2017-04-05,0.29
149,002739,万达院线,2017-04-05,0.27
150,600030,中信证券,2017-04-05,1.31
151,601818,光大银行,2017-04-05,0.67
152,601088,中国神华,2017-04-05,0.39
153,002074,国轩高科,2017-04-05,0.16
154,600663,陆家嘴,2017-04-05,0.18
155,600482,中国动力,2017-04-05,0.13
156,600737,中粮糖业,2017-04-05,0.12
157,002085,万丰奥威,2017-04-05,0.2
158,000402,金 融 街,2017-04-05,0.15
159,601328,交通银行,2017-04-05,1.76
160,300017,网宿科技,2017-04-05,0.2
161,600048,保利地产,2017-04-05,0.7
162,300182,捷成股份,2017-04-05,0.1
163,600637,东方明珠,2017-04-05,0.31
164,600660,福耀玻璃,2017-04-05,0.33
165,002736,国信证券,2017-04-05,0.37
166,000625,长安汽车,2017-04-05,0.32
167,601872,招商轮船,2017-04-05,0.12
168,601608,中信重工,2017-04-05,0.08
169,600666,奥瑞德,2017-04-05,0.13
170,600654,*ST中安,2017-04-05,0.14
171,600547,山东黄金,2017-04-05,0.27
172,600485,信威集团,2017-04-05,0.22
173,600406,国电南瑞,2017-04-05,0.25
174,600100,同方股份,2017-04-05,0.26
175,600050,中国联通,2017-04-05,0.65
176,600010,包钢股份,2017-04-05,0.31
177,300315,掌趣科技,2017-04-05,0.18
178,300168,万达信息,2017-04-05,0.13
179,300104,乐视网,2017-04-05,0.41
180,300027,华谊兄弟,2017-04-05,0.17
181,002426,胜利精密,2017-04-05,0.13
182,002252,上海莱士,2017-04-05,0.21
183,002195,二三四五,2017-04-05,0.12
184,002129,中环股份,2017-04-05,0.11
185,002081,金 螳 螂,2017-04-05,0.18
186,002049,紫光国芯,2017-04-05,0.12
187,000503,海虹控股,2017-04-05,0.26
188,000157,中联重科,2017-04-05,0.22
189,000100,TCL 集团,2017-04-05,0.27
190,002475,立讯精密,2017-04-05,0.22
191,002153,石基信息,2017-04-05,0.07
192,000826,启迪桑德,2017-04-05,0.19
193,600109,国金证券,2017-04-05,0.3
194,601318,中国平安,2017-04-05,4.12
195,000977,浪潮信息,2017-04-05,0.12
196,000750,国海证券,2017-04-05,0.2
197,601919,中远海控,2017-04-05,0.24
198,600177,雅戈尔,2017-04-05,0.22
199,600703,三安光电,2017-04-05,0.33
200,600839,四川长虹,2017-04-05,0.16
201,002470,金正大,2017-04-05,0.12
202,601628,中国人寿,2017-04-05,0.43
203,600031,三一重工,2017-04-05,0.29
204,002594,比亚迪,2017-04-05,0.28
205,002714,牧原股份,2017-04-05,0.12
206,601258,庞大集团,2017-04-05,0.15
207,000166,申万宏源,2017-04-05,0.39
208,601377,兴业证券,2017-04-05,0.37
209,002065,东华软件,2017-04-05,0.21
210,601336,新华保险,2017-04-05,0.36
211,600271,航天信息,2017-04-05,0.24
212,002183,怡 亚 通,2017-04-05,0.16
213,601099,太平洋,2017-04-05,0.33
214,000009,中国宝安,2017-04-05,0.21
215,000725,京东方Ａ,2017-04-05,0.87
216,600958,东方证券,2017-04-05,0.48
217,002456,欧菲光,2017-04-05,0.3
218,000793,华闻传媒,2017-04-05,0.23
219,000060,中金岭南,2017-04-05,0.18
220,600221,海南航空,2017-04-05,0.23
221,600111,北方稀土,2017-04-05,0.28
222,600718,东软集团,2017-04-05,0.2
223,002174,游族网络,2017-04-05,0.1
224,000686,东北证券,2017-04-05,0.18
225,000623,吉林敖东,2017-04-05,0.22
226,600060,海信电器,2017-04-05,0.15
227,600362,江西铜业,2017-04-05,0.15
228,600583,海油工程,2017-04-05,0.18
229,600157,永泰能源,2017-04-05,0.2
230,000895,双汇发展,2017-04-05,0.23
231,002152,广电运通,2017-04-05,0.11
232,600019,宝钢股份,2017-04-05,0.61
233,002673,西部证券,2017-04-05,0.26
234,601899,紫金矿业,2017-04-05,0.39
235,601600,中国铝业,2017-04-05,0.33
236,000540,中天金融,2017-04-05,0.2
237,600871,石化油服,2017-04-05,0.07
238,600188,兖州煤业,2017-04-05,0.04
239,600535,天士力,2017-04-05,0.27
240,600895,张江高科,2017-04-05,0.14
241,000415,渤海金控,2017-04-05,0.14
242,002465,海格通信,2017-04-05,0.21
243,000630,铜陵有色,2017-04-05,0.21
244,000800,一汽轿车,2017-04-05,0.1
245,002241,歌尔股份,2017-04-05,0.32
246,000983,西山煤电,2017-04-05,0.16
247,600875,东方电气,2017-04-05,0.12
248,600570,恒生电子,2017-04-05,0.22
249,000627,天茂集团,2017-04-05,0.1
250,600256,广汇能源,2017-04-05,0.15
251,000792,盐湖股份,2017-04-05,0.14
252,600074,保千里,2017-04-05,0.13
253,300251,光线传媒,2017-04-05,0.09
254,601958,金钼股份,2017-04-05,0.08
255,002007,华兰生物,2017-04-05,0.21
256,002131,利欧股份,2017-04-05,0.1
257,000718,苏宁环球,2017-04-05,0.09
258,000559,万向钱潮,2017-04-05,0.15
259,600549,厦门钨业,2017-04-05,0.1
260,600373,中文传媒,2017-04-05,0.13
261,600252,中恒集团,2017-04-05,0.13
262,600893,航发动力,2017-04-05,0.27
263,000027,深圳能源,2017-04-05,0.09
264,600489,中金黄金,2017-04-05,0.21
265,002500,山西证券,2017-04-05,0.13
266,601985,中国核电,2017-04-05,0.35
267,002230,科大讯飞,2017-04-05,0.34
268,600827,百联股份,2017-04-05,0.13
269,300058,蓝色光标,2017-04-05,0.12
270,600649,城投控股,2017-04-05,0.21
271,601127,小康股份,2017-04-05,0.04
272,603885,吉祥航空,2017-04-05,0.06
273,600372,中航电子,2017-04-05,0.11
274,600118,中国卫星,2017-04-05,0.2
275,600739,辽宁成大,2017-04-05,0.22
276,601866,中远海发,2017-04-05,0.14
277,002424,贵州百灵,2017-04-05,0.08
278,601333,广深铁路,2017-04-05,0.18
279,000712,锦龙股份,2017-04-05,0.11
280,002385,大北农,2017-04-05,0.14
281,000555,神州信息,2017-04-05,0.06
282,600369,西南证券,2017-04-05,0.18
283,603000,人民网,2017-04-05,0.1
284,000938,紫光股份,2017-04-05,0.09
285,000839,中信国安,2017-04-05,0.3
286,000061,农 产 品,2017-04-05,0.08
287,600783,鲁信创投,2017-04-05,0.07
288,000917,电广传媒,2017-04-05,0.16
289,300085,银之杰,2017-04-05,0.05
290,600582,天地科技,2017-04-05,0.1
291,300024,机器人,2017-04-05,0.25
292,002568,百润股份,2017-04-05,0.04
293,300133,华策影视,2017-04-05,0.08
294,600588,用友网络,2017-04-05,0.14
295,002292,奥飞娱乐,2017-04-05,0.11
296,600816,安信信托,2017-04-05,0.21
297,600804,鹏博士,2017-04-05,0.23
298,600446,金证股份,2017-04-05,0.11
299,002797,第一创业,2017-04-05,0.07
