,code,name
0,000033,*ST新都
1,000155,*ST川化
2,000403,ST生化
3,000408,*ST金源
4,000410,*ST沈机
5,000504,*ST生物
6,000505,*ST珠江
7,000511,*ST烯碳
8,000526,*ST紫学
9,000595,*ST宝实
10,000611,*ST天首
11,000613,*ST东海A
12,000629,*ST钒钛
13,000633,*ST合金
14,000659,*ST中富
15,000691,ST亚太
16,000693,*ST华泽
17,000710,*ST天仪
18,000755,*ST三维
19,000780,*ST平能
20,000803,*ST金宇
21,000809,*ST新城
22,000913,*ST钱江
23,000922,*ST佳电
24,000932,*ST华菱
25,000953,*ST河化
26,000968,*ST煤气
27,000972,*ST中基
28,000982,*ST 中绒
29,000995,*ST皇台
30,002070,*ST众和
31,002134,*ST普林
32,002207,*ST准油
33,002248,*ST东数
34,002289,*ST宇顺
35,002306,*ST云网
36,002312,*ST三泰
37,002379,*ST鲁丰
38,002473,*ST圣莱
39,002490,*ST墨龙
40,002504,*ST弘高
41,002571,*ST德力
42,600091,ST明科
43,600112,*ST天成
44,600121,*ST郑煤
45,600145,*ST新亿
46,600149,*ST坊展
47,600225,*ST松江
48,600228,*ST昌九
49,600234,ST山水
50,600247,ST成城
51,600265,ST景谷
52,600275,*ST昌鱼
53,600301,ST南化
54,600401,*ST海润
55,600403,*ST大有
56,600423,*ST柳化
57,600425,*ST青松
58,600432,*ST吉恩
59,600540,*ST新赛
60,600556,ST慧球
61,600608,*ST沪科
62,600636,*ST爱富
63,600654,*ST中安
64,600680,*ST上普
65,600696,*ST匹凸
66,600710,*ST常林
67,600725,ST云维
68,600732,*ST新梅
69,600733,S*ST前锋
70,600747,*ST大控
71,600767,*ST运盛
72,600806,*ST昆机
73,600815,*ST厦工
74,600817,*ST宏盛
75,600844,*ST丹科
76,600847,*ST万里
77,600860,*ST京城
78,600877,*ST嘉陵
79,601005,*ST重钢
80,601106,*ST一重
81,601519,*ST智慧
82,601558,*ST锐电
