,date,ON_5,ON_10,ON_20,1W_5,1W_10,1W_20,2W_5,2W_10,2W_20,1M_5,1M_10,1M_20,3M_5,3M_10,3M_20,6M_5,6M_10,6M_20,9M_5,9M_10,9M_20,1Y_5,1Y_10,1Y_20
0,2017-01-03,2.2352,2.2824,2.2931,2.5536,2.5482,2.5244,2.8086,2.7879,2.7401,3.2992,3.2682,3.1733,3.2659,3.2452,3.1942,3.2843,3.2638,3.2128,3.3122,3.2966,3.2463,3.3689,3.3556,3.3061
1,2017-01-04,2.2168,2.2651,2.2868,2.5532,2.5489,2.527,2.8124,2.7937,2.7471,3.3068,3.2804,3.1906,3.2739,3.2539,3.2036,3.2918,3.2725,3.2221,3.3205,3.3039,3.256,3.375,3.3627,3.3153
2,2017-01-05,2.1936,2.2436,2.2787,2.539,2.5419,2.5261,2.811,2.7969,2.7529,3.3195,3.2941,3.2085,3.2897,3.2661,3.2149,3.3056,3.2839,3.2324,3.3336,3.313,3.2661,3.389,3.3724,3.3259
3,2017-01-06,2.1706,2.2207,2.2697,2.5184,2.5316,2.5236,2.8048,2.7981,2.7581,3.3417,3.3114,3.2275,3.3245,3.2873,3.2311,3.3365,3.3033,3.2473,3.3595,3.3288,3.2797,3.4132,3.3866,3.3388
4,2017-01-09,2.1434,2.1978,2.2598,2.4918,2.5183,2.5195,2.7922,2.797,2.7622,3.3753,3.3332,3.2484,3.373,3.3154,3.2505,3.3811,3.3291,3.2656,3.3949,3.3497,3.2957,3.4452,3.4045,3.3534
5,2017-01-10,2.1208,2.178,2.25,2.4538,2.5037,2.5147,2.7812,2.7949,2.766,3.4191,3.3591,3.2712,3.4272,3.3466,3.2713,3.43,3.3571,3.2857,3.4337,3.3729,3.3128,3.4792,3.424,3.3688
6,2017-01-11,2.1072,2.162,2.2404,2.4228,2.488,2.5094,2.7708,2.7916,2.769,3.4679,3.3873,3.2949,3.4861,3.38,3.293,3.4843,3.3881,3.3067,3.4757,3.3981,3.3306,3.5146,3.4448,3.3841
7,2017-01-12,2.1018,2.1477,2.2306,2.4068,2.4729,2.5042,2.761,2.786,2.7712,3.524,3.4218,3.3215,3.5491,3.4194,3.3179,3.5393,3.4224,3.3291,3.5167,3.4252,3.3488,3.5451,3.4671,3.3996
8,2017-01-13,2.1002,2.1354,2.2202,2.3982,2.4583,2.4988,2.7571,2.781,2.7741,3.5764,3.4591,3.3489,3.5988,3.4616,3.3441,3.5809,3.4587,3.3522,3.5459,3.4527,3.3668,3.5678,3.4905,3.4154
9,2017-01-16,2.1098,2.1266,2.2108,2.401,2.4464,2.4941,2.7604,2.7763,2.7775,3.6187,3.497,3.3754,3.6361,3.5046,3.3703,3.6114,3.4962,3.3753,3.566,3.4805,3.3845,3.5832,3.5142,3.431
10,2017-01-17,2.1419,2.1313,2.2069,2.4145,2.4342,2.4912,2.7695,2.7754,2.7816,3.6547,3.5369,3.4025,3.6701,3.5487,3.3969,3.638,3.534,3.3989,3.5834,3.5086,3.4026,3.599,3.5391,3.4473
11,2017-01-18,2.1867,2.1469,2.206,2.4373,2.4301,2.4895,2.7899,2.7804,2.787,3.6915,3.5797,3.43,3.7028,3.5944,3.4242,3.6615,3.5729,3.4227,3.599,3.5374,3.4207,3.6158,3.5652,3.464
12,2017-01-19,2.2389,2.1703,2.207,2.4661,2.4365,2.4892,2.8322,2.7966,2.7968,3.7228,3.6234,3.4587,3.7327,3.6409,3.4535,3.6848,3.6121,3.448,3.6125,3.5646,3.4388,3.631,3.5881,3.4802
13,2017-01-20,2.2933,2.1967,2.2087,2.5051,2.4517,2.4916,2.8812,2.8192,2.8086,3.7523,3.6644,3.4879,3.7595,3.6792,3.4832,3.7041,3.6425,3.4729,3.6245,3.5852,3.457,3.6446,3.6062,3.4964
14,2017-01-22,2.3027,2.2062,2.202,2.5418,2.4714,2.4948,2.9276,2.844,2.8205,3.7769,3.6978,3.5155,3.7851,3.7106,3.513,3.7244,3.6679,3.4985,3.6363,3.6012,3.4754,3.6579,3.6206,3.5125
15,2017-01-23,2.2864,2.2141,2.1961,2.5758,2.4952,2.4994,2.9703,2.8699,2.8324,3.7969,3.7258,3.5425,3.8087,3.7394,3.543,3.7429,3.6905,3.5238,3.6473,3.6154,3.4941,3.6685,3.6337,3.5289
16,2017-01-24,2.2536,2.2201,2.1911,2.6074,2.5224,2.5052,3.007,2.8985,2.845,3.8097,3.7506,3.569,3.8269,3.7649,3.5724,3.7593,3.7104,3.5492,3.6576,3.6283,3.5132,3.6763,3.646,3.5454
17,2017-01-25,2.2138,2.2263,2.187,2.6366,2.5514,2.5121,3.0296,2.9309,2.8585,3.8166,3.7697,3.5957,3.8373,3.785,3.6022,3.7749,3.7298,3.5761,3.6697,3.6411,3.5331,3.687,3.659,3.563
18,2017-01-26,2.2445,2.2689,2.2021,2.6562,2.5807,2.5195,3.0633,2.9723,2.8766,3.8229,3.7876,3.6233,3.8472,3.8033,3.6325,3.7939,3.749,3.6039,3.685,3.6547,3.5537,3.7011,3.6728,3.5816
19,2017-02-03,2.2503,2.2765,2.2015,2.6652,2.6035,2.5249,3.0742,3.0009,2.8886,3.8365,3.8067,3.6519,3.8647,3.8249,3.6647,3.8169,3.7706,3.6334,3.7079,3.6721,3.5763,3.7229,3.6904,3.6023
20,2017-02-04,2.2667,2.2765,2.2039,2.6674,2.6216,2.5279,3.0786,3.0245,2.8999,3.8523,3.8246,3.6808,3.8836,3.8462,3.6974,3.8429,3.7929,3.6634,3.7364,3.6919,3.6002,3.7502,3.7093,3.6242
21,2017-02-06,2.2895,2.2715,2.2092,2.6606,2.634,2.532,3.0821,3.0446,2.9125,3.8701,3.8399,3.7098,3.9055,3.8662,3.7303,3.8707,3.815,3.6939,3.7701,3.7138,3.6256,3.783,3.7296,3.6474
22,2017-02-07,2.3127,2.2632,2.2168,2.6495,2.643,2.5398,3.0821,3.0558,2.9262,3.8903,3.8534,3.7384,3.9377,3.8875,3.7642,3.8964,3.8356,3.7238,3.805,3.7374,3.651,3.8166,3.7518,3.6699
23,2017-02-08,2.2621,2.2533,2.225,2.6379,2.647,2.5494,3.0639,3.0636,2.9414,3.9121,3.8675,3.7659,3.9855,3.9163,3.7977,3.9233,3.8586,3.7506,3.838,3.7615,3.6733,3.8491,3.7751,3.6906
24,2017-02-09,2.2729,2.2616,2.2339,2.6343,2.6497,2.5606,3.0688,3.0715,2.9578,3.9336,3.8851,3.7914,4.0308,3.9477,3.8292,3.9486,3.8828,3.7753,3.8656,3.7868,3.694,3.8753,3.7991,3.7098
25,2017-02-10,2.2751,2.2709,2.2425,2.6293,2.6484,2.5718,3.0784,3.0785,2.9742,3.9543,3.9033,3.8146,4.0784,3.981,3.8602,3.9722,3.9075,3.799,3.8895,3.813,3.7142,3.898,3.8241,3.7289
26,2017-02-13,2.2723,2.2809,2.2505,2.6283,2.6445,2.5834,3.0865,3.0843,2.9914,3.9747,3.9224,3.8365,4.129,4.0173,3.8911,4.0023,3.9365,3.8234,3.9102,3.8401,3.7342,3.9178,3.8504,3.7482
27,2017-02-14,2.2683,2.2905,2.2584,2.6268,2.6381,2.5948,3.0929,3.0875,3.0092,3.9918,3.941,3.8554,4.1688,4.0532,3.9191,4.0339,3.9652,3.8475,3.9285,3.8668,3.7539,3.935,3.8758,3.7674
28,2017-02-15,2.2661,2.2641,2.2665,2.6256,2.6317,2.6062,3.0964,3.0802,3.0262,4.006,3.9591,3.8733,4.1948,4.0901,3.9467,4.0671,3.9952,3.8721,3.9476,3.8928,3.7738,3.9515,3.9003,3.7866
29,2017-02-16,2.2783,2.2756,2.276,2.6275,2.6309,2.6172,3.1,3.0844,3.0426,4.0196,3.9766,3.8917,4.2163,4.1236,3.9742,4.0955,4.022,3.8963,3.9644,3.915,3.7935,3.9663,3.9208,3.8056
30,2017-02-17,2.2968,2.2859,2.2812,2.6357,2.6325,2.6271,3.1044,3.0914,3.0579,4.0338,3.9941,3.9093,4.2331,4.1557,4.001,4.1225,4.0473,3.9201,3.9787,3.9341,3.813,3.9793,3.9387,3.824
