,date,bank,ON_B,ON_A,1W_B,1W_A,2W_B,2W_A,1M_B,1M_A,3M_B,3M_A,6M_B,6M_A,9M_B,9M_A,1Y_B,1Y_A
0,2015-01-04,工商银行,3.6,3.6,4.8,4.8,5.5,5.5,5.5,5.5,4.6,4.6,4.4,4.4,4.4,4.4,4.6,4.6
1,2015-01-04,农业银行,3.65,3.65,4.9,4.9,5.85,5.85,5.65,5.65,5.15,5.15,4.75,4.75,4.62,4.62,4.72,4.72
2,2015-01-04,中国银行,3.62,3.62,4.9,4.9,5.7,5.7,5.73,5.73,5.13,5.13,4.7,4.7,4.65,4.65,4.72,4.72
3,2015-01-04,建设银行,3.6,3.6,4.83,4.83,5.55,5.55,5.73,5.73,5.13,5.13,4.9,4.9,4.73,4.73,4.83,4.83
4,2015-01-04,交通银行,3.69,3.69,4.93,4.93,5.88,5.88,5.65,5.65,5.13,5.13,4.7465,4.7465,4.626,4.626,4.735,4.735
5,2015-01-04,招商银行,3.65,3.65,5.0,5.0,5.9,5.9,5.85,5.85,5.15,5.15,4.75,4.75,4.62,4.62,4.73,4.73
6,2015-01-04,中信银行,3.6,3.6,4.8,4.8,5.7,5.7,5.72,5.72,5.2,5.2,4.75,4.75,4.63,4.63,4.73,4.73
7,2015-01-04,光大银行,3.7,3.7,5.0,5.0,6.0,6.0,5.5,5.5,5.14,5.14,4.75,4.75,4.62,4.62,4.73,4.73
8,2015-01-04,兴业银行,3.61,3.61,4.7,4.7,5.0,5.0,5.0,5.0,5.05,5.05,5.0,5.0,4.88,4.88,4.85,4.85
9,2015-01-04,浦发银行,3.65,3.65,4.9,4.9,5.8,5.8,5.6,5.6,5.13,5.13,4.74,4.74,4.62,4.62,4.73,4.73
10,2015-01-04,北京银行,3.65,3.65,4.9,4.9,5.85,5.85,5.6,5.6,5.15,5.15,4.8,4.8,4.62,4.62,4.73,4.73
11,2015-01-04,上海银行,3.66,3.66,4.9,4.9,5.85,5.85,5.75,5.75,5.15,5.15,4.75,4.75,4.62,4.62,4.72,4.72
12,2015-01-04,汇丰中国,3.65,3.65,4.9,4.9,5.8,5.8,5.55,5.55,5.15,5.15,4.75,4.75,4.62,4.62,4.73,4.73
13,2015-01-04,渣打银行,3.53,3.53,4.64,4.64,5.58,5.58,5.59,5.59,5.14,5.14,4.74,4.74,4.62,4.62,4.73,4.73
14,2015-01-04,华夏银行,3.65,3.65,4.9,4.9,5.8,5.8,5.6,5.6,5.3,5.3,5.0,5.0,4.9,4.9,4.8,4.8
15,2015-01-04,广发银行,3.68,3.68,4.86,4.86,5.8,5.8,5.6,5.6,5.0,5.0,5.1,5.1,5.2,5.2,5.0,5.0
16,2015-01-04,邮储银行,3.68,3.68,4.95,4.95,5.9,5.9,5.88,5.88,5.13,5.13,4.75,4.75,4.62,4.62,4.77,4.77
17,2015-01-04,国开行,3.61,3.61,4.84,4.84,5.79,5.79,5.5,5.5,4.73,4.73,4.55,4.55,4.56,4.56,4.77,4.77
18,2015-01-05,工商银行,3.39,3.39,4.65,4.65,5.5,5.5,5.5,5.5,4.6,4.6,4.4,4.4,4.4,4.4,4.6,4.6
19,2015-01-05,农业银行,3.2,3.2,4.74,4.74,5.64,5.64,5.15,5.15,5.1,5.1,4.72,4.72,4.6,4.6,4.7,4.7
20,2015-01-05,中国银行,3.23,3.23,4.65,4.65,5.5,5.5,5.13,5.13,5.13,5.13,4.7,4.7,4.65,4.65,4.72,4.72
21,2015-01-05,建设银行,3.0,3.0,4.2,4.2,5.42,5.42,5.23,5.23,5.08,5.08,4.83,4.83,4.8,4.8,4.82,4.82
22,2015-01-05,交通银行,3.44,3.44,4.73,4.73,5.67,5.67,5.65,5.65,5.14,5.14,4.7575,4.7575,4.626,4.626,4.739,4.739
23,2015-01-05,招商银行,3.45,3.45,4.8,4.8,5.75,5.75,5.75,5.75,5.15,5.15,4.75,4.75,4.62,4.62,4.73,4.73
24,2015-01-05,中信银行,3.17,3.17,4.69,4.69,5.64,5.64,5.65,5.65,5.15,5.15,4.75,4.75,4.63,4.63,4.73,4.73
25,2015-01-05,光大银行,3.45,3.45,4.75,4.75,5.7,5.7,5.1,5.1,5.15,5.15,4.75,4.75,4.63,4.63,4.74,4.74
26,2015-01-05,兴业银行,3.39,3.39,4.7,4.7,5.64,5.64,5.0,5.0,5.0,5.0,5.0,5.0,4.85,4.85,4.85,4.85
27,2015-01-05,浦发银行,3.45,3.45,4.75,4.75,5.7,5.7,5.63,5.63,5.14,5.14,4.75,4.75,4.63,4.63,4.74,4.74
28,2015-01-05,北京银行,3.45,3.45,4.75,4.75,5.7,5.7,5.4,5.4,5.1,5.1,4.7,4.7,4.6,4.6,4.7,4.7
29,2015-01-05,上海银行,3.45,3.45,4.75,4.75,5.68,5.68,5.5,5.5,5.14,5.14,4.75,4.75,4.62,4.62,4.73,4.73
30,2015-01-05,汇丰中国,3.39,3.39,4.7,4.7,5.64,5.64,5.04,5.04,5.15,5.15,4.75,4.75,4.63,4.63,4.74,4.74
31,2015-01-05,渣打银行,3.64,3.64,4.88,4.88,5.79,5.79,5.63,5.63,5.14,5.14,4.75,4.75,4.62,4.62,4.74,4.74
32,2015-01-05,华夏银行,3.41,3.41,4.75,4.75,5.7,5.7,5.5,5.5,5.2,5.2,5.0,5.0,4.9,4.9,4.8,4.8
33,2015-01-05,广发银行,3.46,3.46,4.6,4.6,5.2,5.2,5.1,5.1,5.0,5.0,5.1,5.1,5.2,5.2,5.0,5.0
34,2015-01-05,邮储银行,3.45,3.45,4.75,4.75,5.7,5.7,5.1,5.1,5.13,5.13,4.75,4.75,4.62,4.62,4.77,4.77
35,2015-01-05,国开行,3.39,3.39,4.69,4.69,5.64,5.64,5.5,5.5,4.73,4.73,4.55,4.55,4.56,4.56,4.77,4.77
36,2015-01-06,工商银行,3.0,3.0,4.2,4.2,4.8,4.8,4.8,4.8,4.6,4.6,4.4,4.4,4.4,4.4,4.6,4.6
37,2015-01-06,农业银行,3.05,3.05,4.25,4.25,4.95,4.95,5.15,5.15,5.1,5.1,4.72,4.72,4.6,4.6,4.7,4.7
38,2015-01-06,中国银行,2.98,2.98,4.1,4.1,4.8,4.8,5.0,5.0,5.05,5.05,4.7,4.7,4.71,4.71,4.72,4.72
39,2015-01-06,建设银行,3.02,3.02,4.18,4.18,5.0,5.0,5.03,5.03,5.0,5.0,4.82,4.82,4.8,4.8,4.88,4.88
40,2015-01-06,交通银行,3.05,3.05,4.26,4.26,5.2,5.2,5.4,5.4,5.13,5.13,4.752,4.752,4.65,4.65,4.745,4.745
41,2015-01-06,招商银行,3.1,3.1,4.5,4.5,5.2,5.2,5.45,5.45,5.05,5.05,4.75,4.75,4.63,4.63,4.74,4.74
42,2015-01-06,中信银行,3.0,3.0,4.2,4.2,5.0,5.0,5.65,5.65,5.15,5.15,4.75,4.75,4.63,4.63,4.73,4.73
43,2015-01-06,光大银行,3.02,3.02,4.3,4.3,5.0,5.0,5.1,5.1,5.13,5.13,4.75,4.75,4.63,4.63,4.74,4.74
44,2015-01-06,兴业银行,3.05,3.05,4.2,4.2,4.9,4.9,4.5,4.5,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
45,2015-01-06,浦发银行,3.1,3.1,4.3,4.3,5.0,5.0,5.1,5.1,5.11,5.11,4.74,4.74,4.63,4.63,4.75,4.75
46,2015-01-06,北京银行,3.05,3.05,4.3,4.3,5.0,5.0,5.1,5.1,5.1,5.1,4.75,4.75,4.65,4.65,4.75,4.75
47,2015-01-06,上海银行,3.05,3.05,4.25,4.25,4.92,4.92,5.05,5.05,5.12,5.12,4.74,4.74,4.62,4.62,4.73,4.73
48,2015-01-06,汇丰中国,3.01,3.01,4.2,4.2,4.9,4.9,5.0,5.0,5.11,5.11,4.75,4.75,4.63,4.63,4.74,4.74
49,2015-01-06,渣打银行,3.01,3.01,4.73,4.73,5.67,5.67,5.36,5.36,5.13,5.13,4.75,4.75,4.63,4.63,4.74,4.74
50,2015-01-06,华夏银行,3.01,3.01,4.25,4.25,5.0,5.0,5.03,5.03,5.0,5.0,4.9,4.9,4.8,4.8,4.75,4.75
51,2015-01-06,广发银行,3.08,3.08,4.2,4.2,4.8,4.8,4.9,4.9,4.95,4.95,5.0,5.0,5.1,5.1,5.0,5.0
52,2015-01-06,邮储银行,3.06,3.06,4.3,4.3,4.98,4.98,5.1,5.1,5.13,5.13,4.75,4.75,4.62,4.62,4.77,4.77
53,2015-01-06,国开行,3.01,3.01,4.2,4.2,4.9,4.9,5.5,5.5,4.73,4.73,4.55,4.55,4.56,4.56,4.77,4.77
54,2015-01-07,工商银行,2.85,2.85,3.8,3.8,4.5,4.5,4.5,4.5,4.6,4.6,4.4,4.4,4.4,4.4,4.6,4.6
55,2015-01-07,农业银行,2.86,2.86,3.83,3.83,4.69,4.69,5.03,5.03,5.0,5.0,4.72,4.72,4.6,4.6,4.7,4.7
56,2015-01-07,中国银行,2.83,2.83,3.8,3.8,4.7,4.7,4.95,4.95,5.0,5.0,4.7,4.7,4.71,4.71,4.72,4.72
57,2015-01-07,建设银行,2.95,2.95,3.94,3.94,4.79,4.79,4.85,4.85,4.93,4.93,4.84,4.84,4.8,4.8,4.85,4.85
58,2015-01-07,交通银行,2.9,2.9,3.85,3.85,4.75,4.75,5.0,5.0,5.1,5.1,4.751,4.751,4.6465,4.6465,4.746,4.746
59,2015-01-07,招商银行,2.95,2.95,4.0,4.0,4.85,4.85,5.1,5.1,5.05,5.05,4.75,4.75,4.63,4.63,4.74,4.74
60,2015-01-07,中信银行,2.85,2.85,3.83,3.83,4.7,4.7,5.0,5.0,5.05,5.05,4.75,4.75,4.63,4.63,4.73,4.73
61,2015-01-07,光大银行,2.9,2.9,3.9,3.9,4.7,4.7,5.1,5.1,5.08,5.08,4.75,4.75,4.64,4.64,4.75,4.75
62,2015-01-07,兴业银行,2.86,2.86,3.83,3.83,4.69,4.69,4.5,4.5,4.8,4.8,4.8,4.8,4.8,4.8,4.75,4.75
63,2015-01-07,浦发银行,2.95,2.95,4.0,4.0,4.9,4.9,4.9,4.9,5.05,5.05,4.75,4.75,4.65,4.65,4.75,4.75
64,2015-01-07,北京银行,2.9,2.9,3.9,3.9,4.8,4.8,5.1,5.1,5.1,5.1,4.75,4.75,4.65,4.65,4.75,4.75
65,2015-01-07,上海银行,2.9,2.9,3.9,3.9,4.75,4.75,5.0,5.0,5.1,5.1,4.75,4.75,4.63,4.63,4.74,4.74
66,2015-01-07,汇丰中国,2.86,2.86,3.83,3.83,4.69,4.69,4.9,4.9,5.05,5.05,4.75,4.75,4.64,4.64,4.75,4.75
67,2015-01-07,渣打银行,2.86,2.86,4.24,4.24,4.97,4.97,5.1,5.1,5.08,5.08,4.75,4.75,4.64,4.64,4.75,4.75
68,2015-01-07,华夏银行,2.87,2.87,3.9,3.9,4.75,4.75,4.65,4.65,4.9,4.9,4.8,4.8,4.7,4.7,4.75,4.75
69,2015-01-07,广发银行,2.92,2.92,3.9,3.9,4.6,4.6,4.7,4.7,4.85,4.85,4.9,4.9,4.95,4.95,5.0,5.0
70,2015-01-07,邮储银行,2.9,2.9,3.89,3.89,4.8,4.8,4.8,4.8,5.13,5.13,4.75,4.75,4.62,4.62,4.77,4.77
71,2015-01-07,国开行,2.86,2.86,3.83,3.83,4.69,4.69,5.3,5.3,4.73,4.73,4.55,4.55,4.56,4.56,4.77,4.77
72,2015-01-08,工商银行,2.8,2.8,3.5,3.5,4.5,4.5,4.5,4.5,4.6,4.6,4.4,4.4,4.4,4.4,4.6,4.6
73,2015-01-08,农业银行,2.83,2.83,3.7,3.7,4.63,4.63,4.7,4.7,5.0,5.0,4.72,4.72,4.6,4.6,4.7,4.7
74,2015-01-08,中国银行,2.81,2.81,3.78,3.78,4.7,4.7,4.85,4.85,4.98,4.98,4.71,4.71,4.73,4.73,4.74,4.74
75,2015-01-08,建设银行,2.86,2.86,3.84,3.84,4.78,4.78,4.73,4.73,4.88,4.88,4.79,4.79,4.75,4.75,4.84,4.84
76,2015-01-08,交通银行,2.84,2.84,3.71,3.71,4.66,4.66,4.98,4.98,5.05,5.05,4.751,4.751,4.6465,4.6465,4.748,4.748
77,2015-01-08,招商银行,2.86,2.86,3.8,3.8,4.75,4.75,5.0,5.0,5.05,5.05,4.75,4.75,4.64,4.64,4.75,4.75
78,2015-01-08,中信银行,2.82,2.82,3.69,3.69,4.65,4.65,4.85,4.85,4.95,4.95,4.75,4.75,4.63,4.63,4.73,4.73
79,2015-01-08,光大银行,2.82,2.82,3.8,3.8,4.7,4.7,4.95,4.95,5.3,5.3,4.75,4.75,4.65,4.65,4.75,4.75
