,code,name,count,bamount,samount,net,bcount,scount
0,000778,新兴铸管,1,49622.87,11792.91,37829.97,5,5
1,300107,建新股份,1,47136.13,24720.43,22415.71,7,8
2,002457,青龙管业,2,45020.02,27147.54,17872.48,10,9
3,300117,嘉寓股份,2,68401.23,51343.64,17057.59,10,10
4,600804,鹏博士,1,15621.15,0.0,15621.15,5,0
5,300157,恒泰艾普,2,36927.76,21653.68,15274.08,9,10
6,600592,龙溪股份,2,34112.16,19478.71,14633.45,10,10
7,300554,三超新材,4,29419.11,15439.71,13979.41,17,19
8,300604,长川科技,6,52680.74,38757.89,13922.85,20,24
9,601003,柳钢股份,2,34703.09,22165.93,12537.15,13,10
10,000151,中成股份,1,15726.81,3979.76,11747.05,5,5
11,300334,津膜科技,2,57345.08,46142.57,11202.51,10,8
12,000615,京汉股份,6,104581.29,93386.45,11194.84,25,22
13,300539,横河模具,2,18132.26,7016.4,11115.85,10,10
14,002795,永和智控,3,26011.79,15000.98,11010.81,15,15
15,603050,科林电气,4,39498.93,28967.73,10531.2,18,20
16,601008,连云港,1,13383.3,2855.8,10527.5,5,5
17,000401,冀东水泥,2,48346.78,37982.87,10363.91,9,10
18,603603,博天环境,1,22114.48,11759.8,10354.68,7,9
19,000652,泰达股份,1,14842.49,4848.06,9994.43,5,5
20,000893,东凌国际,1,14099.41,4941.93,9157.48,5,5
21,300481,濮阳惠成,2,19669.62,10657.99,9011.63,8,10
22,601991,大唐发电,1,11675.69,2729.47,8946.22,5,3
23,002137,麦达数字,1,35496.78,26673.3,8823.49,6,6
24,002307,北新路桥,1,25107.11,16465.74,8641.38,5,5
25,002839,张家港行,3,29173.31,21352.64,7820.67,15,15
26,300642,透景生命,2,22508.39,15157.69,7350.7,9,10
27,000795,英洛华,1,8131.05,914.37,7216.68,5,5
28,000975,银泰资源,1,18515.64,11391.24,7124.4,5,5
29,300645,正元智慧,4,13226.07,6388.97,6837.1,16,20
30,300020,银江股份,1,16935.13,10577.99,6357.14,5,5
31,000806,银河生物,1,30387.05,24215.66,6171.39,5,5
32,000923,河北宣工,2,20011.72,13965.13,6046.59,10,8
33,600339,中油工程,1,9082.34,3226.95,5855.39,5,5
34,002866,传艺科技,6,16452.76,10968.41,5484.35,21,25
35,300632,光莆股份,1,7077.45,1648.03,5429.42,5,4
36,600908,无锡银行,2,49573.88,44260.18,5313.7,9,11
37,300323,华灿光电,2,11454.94,6253.31,5201.64,5,8
38,002865,钧达股份,5,36659.37,31476.23,5183.14,22,23
39,002863,今飞凯达,4,25478.22,20434.87,5043.35,13,18
40,300502,新易盛,1,6792.67,2024.02,4768.66,5,5
41,603985,恒润股份,4,5423.74,671.2,4752.54,8,20
42,000554,泰山石油,1,10223.79,5720.3,4503.49,5,5
43,300562,乐心医疗,2,11621.35,7352.69,4268.67,9,10
44,600572,康恩贝,1,4211.46,0.0,4211.46,5,0
45,300162,雷曼股份,1,4766.31,573.19,4193.12,5,4
46,002282,博深工具,1,8920.93,4771.7,4149.23,5,5
47,300602,飞荣达,1,6761.57,2699.7,4061.87,5,5
48,002867,周大生,1,7805.19,3864.97,3940.22,5,5
49,300648,星云股份,4,8236.15,4403.91,3832.24,12,20
50,002095,生意宝,1,5570.62,1914.17,3656.45,5,5
51,603232,格尔软件,2,6861.15,3281.62,3579.53,10,10
52,002868,绿康生化,4,3083.46,176.62,2906.84,9,19
53,603797,联泰环保,3,39374.8,36519.22,2855.58,12,10
54,002323,雅百特,1,4561.89,1708.39,2853.49,5,5
55,300640,德艺文创,2,8246.65,5459.56,2787.09,9,10
56,002782,可立克,1,3643.47,948.32,2695.15,5,5
57,600667,太极实业,1,10417.26,7865.11,2552.15,5,5
58,002803,吉宏股份,1,7400.97,5078.67,2322.3,5,5
59,002858,力盛赛车,5,42602.85,40299.06,2303.79,19,19
60,300515,三德科技,1,3992.18,1860.24,2131.94,5,5
61,600139,西部资源,1,10506.66,8408.31,2098.35,5,5
62,603903,中持股份,2,15953.3,13874.46,2078.84,10,9
63,300213,佳讯飞鸿,1,6522.96,4544.26,1978.7,5,4
64,000018,神州长城,1,12591.95,10643.87,1948.08,5,2
65,603787,新日股份,5,1922.82,77.29,1845.53,8,21
66,002729,好利来,1,4572.2,2728.69,1843.51,5,5
