,code,name,bamount,bcount,samount,scount,net
0,300604,长川科技,10967.47,7,1770.31,2,9197.16
1,300323,华灿光电,7370.45,6,2177.46,3,5192.99
2,002858,力盛赛车,4655.81,3,827.21,1,3828.6
3,002797,第一创业,3664.0,1,0.0,0,3664.0
4,600760,中航黑豹,3113.23,2,0.0,0,3113.23
5,000856,冀东装备,3891.72,1,2298.44,1,1593.28
6,300602,飞荣达,1566.28,1,0.0,0,1566.28
7,002307,北新路桥,1505.53,1,0.0,0,1505.53
8,000612,焦作万方,1486.41,1,0.0,0,1486.41
9,300212,易华录,3700.04,1,2249.79,1,1450.25
10,000615,京汉股份,1407.67,1,0.0,0,1407.67
11,000893,东凌国际,1228.0,1,0.0,0,1228.0
12,601991,大唐发电,2538.45,1,1659.77,3,878.68
13,002839,张家港行,728.2,1,0.0,0,728.2
14,300085,银之杰,570.0,1,0.0,0,570.0
15,603577,汇金通,412.93,1,0.0,0,412.93
16,300263,隆华节能,1129.01,2,847.69,2,281.32
17,002699,美盛文化,244.19,3,0.0,0,244.19
18,002553,南方轴承,241.93,1,0.0,0,241.93
19,300398,飞凯材料,186.8,1,0.0,0,186.8
20,300650,太龙照明,181.72,4,0.0,0,181.72
21,000702,正虹科技,109.83,1,0.0,0,109.83
22,002868,绿康生化,82.16,2,38.5,3,43.67
23,300514,友讯达,38.0,2,5.24,2,32.76
24,002865,钧达股份,38.09,1,12.37,4,25.72
25,300649,杭州园林,11.37,3,0.0,0,11.37
26,603501,韦尔股份,0.0,0,1.01,1,-1.01
27,300647,超频三,0.0,0,2.59,1,-2.59
28,603787,新日股份,0.0,0,8.63,2,-8.63
29,300648,星云股份,67.47,1,98.8,1,-31.33
30,300645,正元智慧,0.0,0,77.94,1,-77.94
31,002866,传艺科技,100.39,2,273.32,3,-172.93
32,300374,恒通科技,0.0,0,241.74,1,-241.74
33,300640,德艺文创,0.0,0,298.35,1,-298.35
34,300162,雷曼股份,0.0,0,310.58,2,-310.58
35,000975,银泰资源,0.0,0,407.38,1,-407.38
36,300496,中科创达,0.0,0,556.68,1,-556.68
37,002659,中泰桥梁,911.81,2,1515.12,2,-603.31
38,002867,周大生,0.0,0,608.29,1,-608.29
39,000659,*ST中富,0.0,0,629.88,1,-629.88
40,600071,凤凰光学,0.0,0,700.78,1,-700.78
41,000582,北部湾港,0.0,0,744.8,1,-744.8
42,300632,光莆股份,0.0,0,775.2,2,-775.2
43,002209,达意隆,0.0,0,981.15,2,-981.15
44,300157,恒泰艾普,0.0,0,981.6,1,-981.6
45,000965,天保基建,0.0,0,995.83,2,-995.83
46,000554,泰山石油,0.0,0,1020.06,1,-1020.06
47,000040,东旭蓝天,0.0,0,1276.58,1,-1276.58
48,603609,禾丰牧业,0.0,0,1518.11,3,-1518.11
49,300429,强力新材,666.91,1,2198.74,1,-1531.83
50,300215,电科院,0.0,0,1577.87,1,-1577.87
51,300562,乐心医疗,0.0,0,1690.62,1,-1690.62
52,000401,冀东水泥,0.0,0,1713.71,1,-1713.71
53,000516,国际医学,62.57,1,1789.25,2,-1726.68
54,603169,兰石重装,0.0,0,1944.11,1,-1944.11
55,002056,横店东磁,1.78,0,2635.82,2,-2634.04
56,300588,熙菱信息,2030.85,3,4665.3,4,-2634.45
57,300213,佳讯飞鸿,0.0,0,3145.59,2,-3145.59
58,300629,新劲刚,0.0,0,3294.4,1,-3294.4
59,600602,云赛智联,0.0,0,4289.77,4,-4289.77
60,000525,红太阳,499.55,1,5644.39,4,-5144.84
61,002043,兔宝宝,5331.21,2,10594.92,4,-5263.71
62,600893,航发动力,2282.05,2,7780.7,2,-5498.65
63,000812,陕西金叶,0.0,0,6106.81,1,-6106.81
64,600967,内蒙一机,1582.4,1,8301.14,2,-6718.74
65,000852,石化机械,0.0,0,6789.91,4,-6789.91
66,300267,尔康制药,0.0,0,7359.01,3,-7359.01
67,300334,津膜科技,0.0,0,7531.61,3,-7531.61
68,000712,锦龙股份,0.0,0,8041.99,3,-8041.99
69,000018,神州长城,0.0,0,9066.64,4,-9066.64
70,600469,风神股份,1692.07,2,11101.56,4,-9409.5
71,000928,中钢国际,0.0,0,10328.11,5,-10328.11
72,600581,八一钢铁,3187.8,1,21445.26,2,-18257.46
73,600151,航天机电,949.1,2,20183.52,6,-19234.42
74,002350,北京科锐,0.0,0,20099.06,6,-20099.06
75,002373,千方科技,0.0,0,27981.51,6,-27981.51
