,code,name,date,bamount,samount,type
0,300604,长川科技,2017-05-11,0.0,1280.13,换手率达20%的证券
1,600469,风神股份,2017-05-11,1692.07,11101.56,连续三个交易日内，跌幅偏离值累计达20%的证券
2,000615,京汉股份,2017-05-11,1407.67,0.0,换手率达20%的证券
3,300647,超频三,2017-05-11,0.0,2.59,连续三个交易日内，涨幅偏离值累计达20%的证券
4,600469,风神股份,2017-05-11,1692.07,11101.56,跌幅偏离值达7%的证券
5,000659,*ST中富,2017-05-11,0.0,629.88,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
6,300604,长川科技,2017-05-11,0.0,1280.13,涨幅偏离值达7%的证券
7,000612,焦作万方,2017-05-11,1486.41,0.0,跌幅偏离值达7%的证券
8,000582,北部湾港,2017-05-11,0.0,744.8,跌幅偏离值达7%的证券
9,300496,中科创达,2017-05-11,0.0,556.68,跌幅偏离值达7%的证券
10,000516,国际医学,2017-05-11,0.0,1555.65,连续三个交易日内，跌幅偏离值累计达20%的证券
11,300514,友讯达,2017-05-11,0.0,3.23,涨幅偏离值达7%的证券
12,000516,国际医学,2017-05-11,0.0,1555.65,跌幅偏离值达7%的证券
13,300334,津膜科技,2017-05-11,0.0,3937.88,涨幅偏离值达7%的证券
14,000525,红太阳,2017-05-11,499.55,5644.39,跌幅偏离值达7%的证券
15,300334,津膜科技,2017-05-11,0.0,3937.88,连续三个交易日内，日均换手率与前五个交易日的日均换手率的比值达到30倍，且换手率累计达20%的股票
16,300374,恒通科技,2017-05-11,0.0,241.74,涨幅偏离值达7%的证券
17,300212,易华录,2017-05-11,3700.04,2249.79,跌幅偏离值达7%的证券
18,600602,云赛智联,2017-05-11,0.0,3138.01,连续三个交易日内，跌幅偏离值累计达20%的证券
19,002868,绿康生化,2017-05-11,0.0,31.3,连续三个交易日内，涨幅偏离值累计达20%的证券
20,002868,绿康生化,2017-05-11,0.0,31.3,涨幅偏离值达7%的证券
21,600151,航天机电,2017-05-11,515.16,10866.43,连续三个交易日内，跌幅偏离值累计达20%的证券
22,002858,力盛赛车,2017-05-11,0.0,827.21,换手率达20%的证券
23,002797,第一创业,2017-05-11,3664.0,0.0,跌幅偏离值达7%的证券
24,002659,中泰桥梁,2017-05-11,911.81,1515.12,涨幅偏离值达7%的证券
25,300650,太龙照明,2017-05-11,169.76,0.0,连续三个交易日内，涨幅偏离值累计达20%的证券
26,300650,太龙照明,2017-05-11,169.76,0.0,涨幅偏离值达7%的证券
27,002209,达意隆,2017-05-11,0.0,981.15,跌幅偏离值达7%的证券
28,000856,冀东装备,2017-05-11,1097.9,2298.44,换手率达20%的证券
29,600760,中航黑豹,2017-05-11,3113.23,0.0,振幅值达15%的证券
30,000856,冀东装备,2017-05-11,1097.9,2298.44,涨幅偏离值达7%的证券
31,000852,石化机械,2017-05-11,0.0,1585.37,跌幅偏离值达7%的证券
32,300649,杭州园林,2017-05-11,3.64,0.0,连续三个交易日内，涨幅偏离值累计达20%的证券
33,000812,陕西金叶,2017-05-11,0.0,6106.81,连续三个交易日内，跌幅偏离值累计达20%的证券
