,code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
0,000605,渤海股份,4.0969,29539.05,14739.56,14799.49,日换手率达到20%的前五只证券,0.09,0.09,2017-05-05
1,000615,京汉股份,6.2338,49281.97,32784.65,16497.33,日涨幅偏离值达到7%的前五只证券,0.10,0.05,2017-05-05
2,000615,京汉股份,6.2338,49281.97,32784.65,16497.33,日换手率达到20%的前五只证券,0.10,0.05,2017-05-05
3,000622,恒立实业,-8.4263,2548.66,1068.82,1479.83,日跌幅偏离值达到7%的前五只证券,0.14,0.19,2017-05-05
4,000712,锦龙股份,-9.9891,28369.10,8415.37,19953.73,日跌幅偏离值达到7%的前五只证券,0.09,0.21,2017-05-05
5,000712,锦龙股份,-9.9891,37947.18,11218.63,26728.54,连续三个交易日内，跌幅偏离值累计达到20%的证券,0.10,0.23,2017-05-05
6,000727,华东科技,5.7971,11834.87,5973.95,5860.92,日涨幅偏离值达到7%的前五只证券,0.14,0.14,2017-05-05
7,000736,中房地产,-9.9775,6814.94,2949.73,3865.21,日跌幅偏离值达到7%的前五只证券,0.08,0.10,2017-05-05
8,000736,中房地产,-9.9775,44370.29,9263.99,35106.30,连续三个交易日内，跌幅偏离值累计达到20%的证券,0.06,0.22,2017-05-05
9,000856,冀东装备,-1.466,37738.97,21017.12,16721.85,日换手率达到20%的前五只证券,0.09,0.08,2017-05-05
10,000975,银泰资源,9.0766,22424.43,14184.46,8239.97,日涨幅偏离值达到7%的前五只证券,0.57,0.33,2017-05-05
11,002056,横店东磁,10.045,16773.45,9068.31,7705.15,日涨幅偏离值达到7%的前五只证券,0.14,0.12,2017-05-05
12,002297,博云新材,-9.0411,6628.45,2662.98,3965.47,日跌幅偏离值达到7%的前五只证券,0.05,0.08,2017-05-05
13,002494,华斯股份,9.8692,33498.44,22493.05,11005.39,日换手率达到20%的前五只证券,0.11,0.05,2017-05-05
14,002524,光正集团,10.0304,45282.04,18682.65,26599.39,日涨幅偏离值达到7%的前五只证券,0.25,0.35,2017-05-05
15,002542,中化岩土,-10,32005.17,10902.10,21103.07,日跌幅偏离值达到7%的前五只证券,0.05,0.10,2017-05-05
16,002795,永和智控,10,9715.61,6425.97,3289.64,日涨幅偏离值达到7%的前五只证券,0.13,0.07,2017-05-05
17,002795,永和智控,10,14415.91,10229.77,4186.14,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.13,0.05,2017-05-05
18,002803,吉宏股份,5.6604,10093.61,6248.93,3844.69,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.12,0.08,2017-05-05
19,002807,江阴银行,-10.005,24764.10,6384.09,18380.00,日跌幅偏离值达到7%的前五只证券,0.04,0.13,2017-05-05
20,002836,新宏泽,-9.93,9895.80,4607.80,5288.00,日跌幅偏离值达到7%的前五只证券,0.07,0.08,2017-05-05
21,002836,新宏泽,-9.93,9895.80,4607.80,5288.00,日换手率达到20%的前五只证券,0.07,0.08,2017-05-05
22,002858,力盛赛车,-8.8047,16785.54,9184.56,7600.98,日振幅值达到15%的前五只证券,0.15,0.12,2017-05-05
23,002858,力盛赛车,-8.8047,16785.54,9184.56,7600.98,日换手率达到20%的前五只证券,0.15,0.12,2017-05-05
24,002861,瀛通通讯,-9.9977,4360.82,1612.32,2748.50,日跌幅偏离值达到7%的前五只证券,0.05,0.09,2017-05-05
25,002863,今飞凯达,2.8407,9228.25,5794.54,3433.71,日换手率达到20%的前五只证券,0.07,0.04,2017-05-05
26,002863,今飞凯达,2.8407,9228.25,5794.54,3433.71,日均换手率与前五个交易日的日均换手率的比值达到30倍，且换手率累计达20%的证券,0.07,0.04,2017-05-05
27,002865,钧达股份,10.0087,157.45,149.71,7.73,日涨幅偏离值达到7%的前五只证券,1.00,0.05,2017-05-05
28,002865,钧达股份,10.0087,197.15,187.81,9.34,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.05,2017-05-05
29,002866,传艺科技,10.0032,236.80,218.04,18.77,日涨幅偏离值达到7%的前五只证券,1.00,0.09,2017-05-05
30,002867,周大生,6.2143,10289.59,6901.54,3388.04,日换手率达到20%的前五只证券,0.05,0.02,2017-05-05
31,002867,周大生,6.2143,10289.59,6901.54,3388.04,日均换手率与前五个交易日的日均换手率的比值达到30倍，且换手率累计达20%的证券,0.05,0.02,2017-05-05
32,002868,绿康生化,10.0083,29.96,23.33,6.62,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.28,2017-05-05
33,300313,天山生物,-9.9877,8775.95,2039.56,6736.39,日跌幅偏离值达到7%的前五只证券,0.17,0.57,2017-05-05
34,300334,津膜科技,9.9958,16123.95,10884.05,5239.89,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.59,0.28,2017-05-05
35,300428,四通新材,2.7389,11254.04,3210.30,8043.74,日换手率达到20%的前五只证券,0.03,0.08,2017-05-05
36,300502,新易盛,10.0049,8816.69,6792.67,2024.02,日涨幅偏离值达到7%的前五只证券,0.34,0.10,2017-05-05
37,300531,优博讯,10.0024,6460.65,3889.52,2571.13,日涨幅偏离值达到7%的前五只证券,0.17,0.11,2017-05-05
38,300534,陇神戎发,10.0027,9134.90,6648.74,2486.16,日涨幅偏离值达到7%的前五只证券,0.47,0.18,2017-05-05
39,300539,横河模具,10.0026,11581.27,6934.37,4646.89,日涨幅偏离值达到7%的前五只证券,0.31,0.21,2017-05-05
40,300554,三超新材,10.0022,327.74,315.01,12.73,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.04,2017-05-05
41,300588,熙菱信息,-9.9957,8179.35,2937.30,5242.05,日跌幅偏离值达到7%的前五只证券,0.18,0.32,2017-05-05
42,300602,飞荣达,10.0022,9461.26,6761.56,2699.70,日涨幅偏离值达到7%的前五只证券,0.32,0.13,2017-05-05
43,300604,长川科技,3.6096,20124.37,11724.84,8399.53,日换手率达到20%的前五只证券,0.22,0.15,2017-05-05
44,300629,新劲刚,-9.9965,8271.64,4035.72,4235.92,日跌幅偏离值达到7%的前五只证券,0.12,0.13,2017-05-05
45,300629,新劲刚,-9.9965,8271.64,4035.72,4235.92,日换手率达到20%的前五只证券,0.12,0.13,2017-05-05
46,300638,广和通,-8.9162,4605.19,2777.17,1828.02,日跌幅偏离值达到7%的前五只证券,0.12,0.08,2017-05-05
47,300640,德艺文创,-5.7683,6196.06,3077.49,3118.58,日换手率达到20%的前五只证券,0.11,0.11,2017-05-05
48,300642,透景生命,-9.3601,16279.50,4586.03,11693.47,日跌幅偏离值达到7%的前五只证券,0.07,0.17,2017-05-05
49,300642,透景生命,-9.3601,16279.50,4586.03,11693.47,日换手率达到20%的前五只证券,0.07,0.17,2017-05-05
50,300643,万通智控,43.9535,6.92,5.37,1.55,无价格涨跌幅限制的证券,1.00,0.29,2017-05-05
51,300645,正元智慧,9.9948,262.87,250.56,12.31,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.05,2017-05-05
52,300647,超频三,10.007,13.07,9.17,3.90,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.43,2017-05-05
53,300648,星云股份,10.01,252.67,233.63,19.04,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.08,2017-05-05
54,300649,杭州园林,44.0266,8.58,5.33,3.25,无价格涨跌幅限制的证券,1.00,0.61,2017-05-05
55,300650,太龙照明,10,12.00,6.48,5.53,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.85,2017-05-05
56,600629,华建集团,9.9957,17491.20,9416.52,8074.68,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.11,0.09,2017-05-05
57,600892,大晟文化,10.0041,4914.27,3215.76,1698.51,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.19,0.10,2017-05-05
58,600908,无锡银行,9.9442,26812.97,15353.43,11459.54,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,0.16,0.12,2017-05-05
59,601003,柳钢股份,10.0877,14600.63,7226.32,7374.31,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.18,0.18,2017-05-05
60,601003,柳钢股份,10.0877,26921.77,19177.57,7744.20,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.26,0.11,2017-05-05
61,603050,科林电气,1.8562,18998.82,12944.39,6054.43,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.10,0.05,2017-05-05
62,603081,大丰实业,-10.0033,7152.58,2761.58,4391.01,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.06,0.10,2017-05-05
63,603232,格尔软件,10.0036,2824.65,2749.21,75.44,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.03,2017-05-05
64,603505,金石资源,9.9494,14.81,11.61,3.20,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.28,2017-05-05
65,603616,韩建河山,-4.9439,42476.83,19695.24,22781.58,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,0.07,0.08,2017-05-05
66,603616,韩建河山,-4.9439,42476.83,19695.24,22781.58,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.07,0.08,2017-05-05
67,603628,清源股份,-3.632,12535.47,6052.30,6483.17,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.05,0.06,2017-05-05
68,603787,新日股份,10.0389,74.80,65.89,8.91,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,1.00,0.14,2017-05-05
69,603797,联泰环保,-10.0061,19255.26,5493.49,13761.77,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.06,0.16,2017-05-05
70,603826,坤彩科技,-10.0142,22486.65,11531.78,10954.88,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.09,0.09,2017-05-05
71,603985,恒润股份,44.0119,74.18,54.76,19.42,无价格涨跌幅限制的证券,1.00,0.35,2017-05-05
