,broker,count,bamount,bcount,samount,scount,top3
0,中国银河证券股份有限公司杭州庆春路证券营业部,3,5397.51,2,1406.02,1,"泰达股份,张家港行,东旭蓝天"
1,东方证券股份有限公司杭州体育场路证券营业部,2,5465.83,1,4393.98,1,渤海股份
2,海通证券股份有限公司许昌建设路证券营业部,5,9484.48,3,6786.28,2,"京汉股份,三超新材"
3,光大证券股份有限公司佛山季华六路证券营业部,5,8910.39,4,1801.82,1,"中油工程,神州长城,科林电气,"
4,国海证券股份有限公司太原体育路证券营业部,2,3216.37,1,793.43,1,"泰达股份,东方中科"
5,国泰君安证券股份有限公司上海江苏路证券营业部,9,14539.74,6,4601.82,3,"先河环保,华斯股份,神州长城,"
6,国泰君安证券股份有限公司杭州五星路证券营业部,5,7235.36,2,7494.33,3,"渤海股份,青龙管业"
7,广州证券股份有限公司常州高新科技园证券营业部,10,6482.13,5,7240.36,5,"京汉股份,坤彩科技,钧达股份,"
8,中信证券（山东）有限责任公司淄博分公司,8,12436.37,6,5611.45,2,"恒泰艾普,泰达股份,四通新材,"
9,华泰证券股份有限公司成都南一环路第二证券营业部,8,18764.88,7,4153.77,1,"建新股份,太极实业,银江股份,"
10,华泰证券股份有限公司溧水珍珠南路证券营业部,2,2238.76,1,2353.03,1,渤海股份
11,海通证券股份有限公司绵阳长虹大道证券营业部,1,1532.75,1,0.0,0,京汉股份
12,长江证券股份有限公司深圳福华一路证券营业部,1,2238.2,1,0.0,0,泰达股份
13,万和证券股份有限公司成都通盈街证券营业部,4,4380.82,3,2061.98,1,"神州长城,禾丰牧业,钧达股份,"
14,中信证券股份有限公司诸暨暨东路证券营业部,1,1327.01,1,0.0,0,京汉股份
15,中泰证券股份有限公司宁波江东北路证券营业部,7,8130.14,4,3755.05,3,"清源股份,兰石重装,神州长城,"
16,华泰证券股份有限公司厦门厦禾路证券营业部,32,45546.7,18,31441.8,14,"冀东装备,柳钢股份,恒泰艾普,"
